IRI,uniqueVar,variable,dataFile,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/OBI_0001169,household member level data 25m survey_final::ageyrs,ageyrs,household member level data 25m survey_final,Age,Age in years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,,,,yes,,llineup25_survey,years,http://purl.obolibrary.org/obo/UO_0000036,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010367,household member level data 25m survey_final::agecat,agecat,household member level data 25m survey_final,Age group,Age group,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,Age categories,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000376,household member level data 25m survey_final::relation,relation,household member level data 25m survey_final,Relationship to household head,Relationship of the participant to the household head.,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044138,household member level data 25m survey_final::relationcat,relationcat,household member level data 25m survey_final,Relationship to household head categorization,Categorization of the relationship of the participant to the household head.,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,variable,Relationship categories,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000376,household member level data 25m survey_final::relation_oth,relation_oth,household member level data 25m survey_final,Relationship to household head,Relationship of the participant to the household head.,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,variable,Enter [[participantsname]]'s relationship to the household head | What is [[participantsname]]'s relationship to the household head?,"String | 0: Self (household head), 1: husband/wife, 2: son/daughter, 3: father/mother, 4: grandson/granddaughter/great-grandson/great-granddaughter, 5: grandmother/grandfather/great-grandmother/great-grandfather, 6: Brother/Sister, 7: Aunt/Uncle, 8: Cousin, 9: Niece/Nephew, 10: Stepchild, 11: Foster child, 12: Girlfriend, 13: Boyfriend, 14: House helper, 15: Employee, 16: Renter, 17: Student-boarder 18: Other",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044101,household member level data 25m survey_final::inclusion_criteria,inclusion_criteria,household member level data 25m survey_final,Eligible for clinical survey,Whether the participant was eligible to be included in the clinical survey. All children aged 2-10 years from enrolled households who were present were eligible for participation in the clinical survey.,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Is participant eligible for Clinical Survey,"1 - Yes, 0 - No",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020225,household member level data 25m survey_final::anynet,anynet,household member level data 25m survey_final,Bednet count,Number of bednets of any type in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025013,household member level data 25m survey_final::anynet,anynet,household member level data 25m survey_final,Bednet last night,Whether the participant slept under any bednet during the prior night.,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,variable,Whether household member slept under any bednet the prior night,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0041014,household member level data 25m survey_final::itn,itn,household member level data 25m survey_final,ITN bednet count,Number of insecticide-treated bednets (ITNs) in the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000216,household member level data 25m survey_final::itn,itn,household member level data 25m survey_final,ITN last night,Whether the participant slept under any insecticide-treated bednet (ITN) last night).,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,variable,Whether household member slept under any ITN the prior night,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035024,household member level data 25m survey_final::cluster,cluster,household member level data 25m survey_final,Cluster ID,"Clusters--defined as one health sub-district--were randomly assigned to one of four study arms. 104 clusters cover 48 districts in Eastern and Western Uganda, and were the unit of randomization for intervention assignment.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Cluster Code / Health sub-district number,Cluster codes 001-104,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044168,household member level data 25m survey_final::wave,wave,household member level data 25m survey_final,UCC LLIN wave,"Wave of long-lasting insecticide-treated bednet (LLIN) distribution during the 2016-2017 Universal Coverage Campaign (UCC). LLINs were distributed across Uganda in groups of districts at a time, and the LLIN distribution schedule was divided into waves. The LLINEUP study took place in districts that received LLINs during waves 2, 3, and 4.",Household,http://purl.obolibrary.org/obo/EUPATH_0044150,Universal Coverage Campaign,variable,Wave of ITN distribution,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044180,household member level data 25m survey_final::region,region,household member level data 25m survey_final,Region in Uganda,"Because of vectors and suspected differences in insecticide resistance patterns, randomization of intervention assignment was stratified by region. 66 health sub-districts were in Western regions and 38 in Eastern regions, representing approximately half of the country.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,Ordered regions of the country,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044179,household member level data 25m survey_final::district,district,household member level data 25m survey_final,District in Uganda,"48 districts in Eastern and Western Uganda were included, covering a wide range of epidemiological settings with varying levels of malaria transmission and insecticide resistance.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044120,household member level data 25m survey_final::health_sub_district,health_sub_district,household member level data 25m survey_final,Health sub-district,"104 health sub-districts (each serving approximately 100,000 people) cover 48 districts in Eastern and Western Uganda.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044121,household member level data 25m survey_final::llindich,llindich,household member level data 25m survey_final,"Cluster study arm, dichotomized",Type of net assigned to the cluster for the intention-to-treat analysis. Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Intervention arm dichotomized,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044154,household member level data 25m survey_final::llindichpp,llindichpp,household member level data 25m survey_final,"Cluster as-treated, dichotomized","The type of long-lasting insecticide-treated bednet (LLIN) received by the cluster during the 2016-2017 Universal Coverage Campaign (UCC), for the as-treated analysis. LLINs were distributed to clusters after the baseline survey was performed at the 0 month 'Study timepoint'. Clusters received either conventional LLINs or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus. Certain clusters received a different LLIN type than that which was originally assigned to that cluster ('Cluster study arm'). For the as-treated analysis, clusters were grouped by type of LLINs received according to household data from the 6-month study timepoint ('UCC LLIN type'). For clusters with mixed LLIN distribution, the number of LLINs from the dominant type received was divided by the total number of LLINs received in that cluster; non-study nets were excluded. To be included in the as-treated analyses, the proportion of the dominant LLIN had to be more than 75%. 'Cluster as-treated' analyses were presented as the main study findings.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Intervention arm dichotomized for per protocol analysis,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044124,household member level data 25m survey_final::llincat,llincat,household member level data 25m survey_final,Cluster study arm,"Type of net assigned to the cluster, for the intention-to-treat analysis. Clusters were randomized to receive one of 4 types of long-lasting insecticide-treated bednets (LLINs).",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Type of LLIN cluster assinged to,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044153,household member level data 25m survey_final::llincatpp,llincatpp,household member level data 25m survey_final,Cluster as-treated,"The type of long-lasting insecticide-treated bednet (LLIN) received by the cluster during the 2016-2017 Universal Coverage Campaign (UCC), for the as-treated analysis. LLINs were distributed to clusters after the baseline survey was performed at the 0 month 'Study timepoint'. Certain clusters received a different LLIN type than that which was originally assigned to that cluster ('Cluster study arm'). For the as-treated analysis, clusters were grouped by type of LLINs received according to household data from the 6-month study timepoint ('UCC LLIN type'). For clusters with mixed LLIN distribution, the number of LLINs from the dominant type received was divided by the total number of LLINs received in that cluster; non-study nets were excluded. To be included in the as-treated analyses, the proportion of the dominant LLIN had to be more than 75%. 'Cluster as-treated' analyses were presented as the main study findings.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Type of LLIN recieved for per protocol analysis,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044174,household member level data 25m survey_final::logppb,logppb,household member level data 25m survey_final,Cluster-level parasite prevalence,"Log10 of the Plasmodium parasite prevalence in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",Community,http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,"variable,derived",Baseline cluster level parasite prevalence log10,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044172,household member level data 25m survey_final::loga11pb,loga11pb,household member level data 25m survey_final,Cluster-level anemia prevalence (hemoglobin <11 g/dL),"Log10 of the prevalence of anemia (defined as hemoglobin levels less than 11g/dL) in each cluster at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)).",Community,http://purl.obolibrary.org/obo/EUPATH_0044169,Baseline cluster-level characteristics,"variable,derived",Baseline cluster level Anemia (<11) prevalence log10,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044111,household member level data 25m survey_final::consent,consent,household member level data 25m survey_final,Consent for lab testing,Whether consent for laboratory testing was given. Only participants aged 2-10 years from enrolled households who were present  at the time of survey were 'Eligible for clinical survey' and asked to consent to lab testing.,Sample,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,variable,"Does [[participantsname]] consent to laboratory testing?
(Adult consents if it is a child)","1 - Yes, 0 - No, 2 - Not at home",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000097,household member level data 25m survey_final::febrile,febrile,household member level data 25m survey_final,Febrile,Subjective fever (reported in the past 48 hours) or elevated temperature of > 38 C.,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,variable,Subjective fever or elevated temperature,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027004,household member level data 25m survey_final::rdtiffebrile,rdtiffebrile,household member level data 25m survey_final,RDT performed,Whether a rapid diagnostic test (RDT) was performed. RDTs were only performed on participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing' and were 'Febrile'.,Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,variable,RDT done if febrile,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0024217,household member level data 25m survey_final::rdtrslt,rdtrslt,household member level data 25m survey_final,"Plasmodium, by RDT",Whether the participant tested positive for Plasmodium with a rapid diagnostic test (RDT). RDTs were only performed on participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing' and were 'Febrile'.,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,variable,Result of RDT,"1 - Positive, 2 - Negative, -9: Skipped",,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027005,household member level data 25m survey_final::hbdone,hbdone,household member level data 25m survey_final,Hemoglobin measurement performed,Whether measurement of hemoglobin was performed. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing'.,Sample,http://purl.obolibrary.org/obo/EUPATH_0027019,Blood tests performed,variable,Hemoglobin measured,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/CMO_0000026,household member level data 25m survey_final::hemoglobin,hemoglobin,household member level data 25m survey_final,Hemoglobin,Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing'.,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,variable,Record hemoglobin level,"1-20, -9: Skipped",,,,,llineup25_survey,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0011161,household member level data 25m survey_final::anemia11,anemia11,household member level data 25m survey_final,Anemia (hemoglobin <11 g/dL),"Whether the participant had anemia, defined as hemoglobin levels less than 11g/dL. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing' and had 'Hemoglobin (g/dL)' result recorded.",Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020209,household member level data 25m survey_final::anemia10,anemia10,household member level data 25m survey_final,Anemia (hemoglobin <10 g/dL),"Whether the participant had anemia, defined as hemoglobin levels less than 10g/dL. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing' and had 'Hemoglobin (g/dL)' result recorded.",Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,variable,Anemia defined as Hb < 10,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044112,household member level data 25m survey_final::anemia8,anemia8,household member level data 25m survey_final,Anemia (hemoglobin <8 g/dL),"Whether the participant had anemia, defined as hemoglobin levels less than 8g/dL. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing' and had 'Hemoglobin (g/dL)' result recorded.",Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,variable,Anemia defined as Hb < 8,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000092,household member level data 25m survey_final::parasitedensity,parasitedensity,household member level data 25m survey_final,"Plasmodium asexual stages, by microscopy result","Plasmodium parasite density (asexual stages per uL of blood), by microscopy. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing'.",Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,variable,,,,,,,llineup25_survey,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0027010,household member level data 25m survey_final::gametocytes,gametocytes,household member level data 25m survey_final,"Plasmodium falciparum gametocytes, by microscopy",Whether Plasmodium falciparum gametocytes were detected by microscopy. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing'.,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,variable,Gametocytaemia (whether gametocytes were present by microscopy),,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0024314,household member level data 25m survey_final::bsdich,bsdich,household member level data 25m survey_final,"Plasmodium, by thick smear microscopy","Whether Plasmodium parasites were detected, by thick smear microscopy. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing'.",Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,variable,Blood smear result dichotomized,,,,,,llineup25_survey,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0041029,household member level data 25m survey_final::bsdone,bsdone,household member level data 25m survey_final,Blood smear performed,Whether a blood smear was done and the results are available. Only assessed for participants who were 'Eligible for clinical survey' and gave 'Consent for lab testing'.,Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,variable,BS results available if consented | Whether blood smear was done (if consented),,,,,,llineup25_survey,,,,,,,,,
