codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments
121,,,healer_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
122,,,healer_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
123,,,healer_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
125,,,healer_trnsprt,gems1_huas_data.sas7bdat,,,,,,,"F42.2: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
124,,,healer_total,gems1_huas_data.sas7bdat,,,,,,,"F42.2: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a traditional healer. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
83,,,doc_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
84,,,doc_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
85,,,doc_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
86,,,doc_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
88,,,doc_trnsprt,gems1_huas_data.sas7bdat,"Unlicensed doctor, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010248,,,,,"F42.3: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,This variable associated with 'Previously sought care expenses'.
87,,,doc_total,gems1_huas_data.sas7bdat,"Unlicensed doctor, total expenses ",http://purl.obolibrary.org/obo/EUPATH_0010247,,,,,"F42.3: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from an unlicenced practitioner/village doctor/bush doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,This variable associated with 'Previously sought care expenses'.
229,,,privdoc_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
230,,,privdoc_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
231,,,privdoc_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
232,,,privdoc_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
234,,,privdoc_trnsprt,gems1_huas_data.sas7bdat,"Licensed doctor, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010250,,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
233,,,privdoc_total,gems1_huas_data.sas7bdat,"Licensed doctor, medical expenses ",http://purl.obolibrary.org/obo/EUPATH_0010249,,,,,"F42.4: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,
271,,,remdy_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation when buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
272,,,remdy_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics related to remedies/drugs bought at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
274,,,remdy_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges related to buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
273,,,remdy_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for remedies/drugs bought at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
276,,,remdy_trnsprt,gems1_huas_data.sas7bdat,"Bought remedy or medicine, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010252,,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a shop/market to buy remedies/drugs. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
275,,,remdy_total,gems1_huas_data.sas7bdat,"Bought remedy or medicine, medical expenses ",http://purl.obolibrary.org/obo/EUPATH_0010251,,,,,"F42.5: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses related to buying remedies/drugs at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,
35,,,ctr1_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
36,,,ctr1_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
37,,,ctr1_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
38,,,ctr1_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
40,,,ctr1_trnsprt,gems1_huas_data.sas7bdat,"1st choice hospital or health center, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010254,,,,,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In Gems1 and Gems1a, it is associated with 'Previously sought care expenses'. Need to confirm in this project, it refers to 'Previously sought care expenses' too."
39,,,ctr1_total,gems1_huas_data.sas7bdat,"1st choice hospital or health center, total expenses ",http://purl.obolibrary.org/obo/EUPATH_0010253,,,,,"F42.6: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,"In Gems1 and Gems1a, it is associated with 'Previously sought care expenses'. Need to confirm in this project, it refers to 'Previously sought care expenses' too."
41,,,ctr2_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
42,,,ctr2_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
43,,,ctr2_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
44,,,ctr2_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
46,,,ctr2_trnsprt,gems1_huas_data.sas7bdat,"2nd choice hospital or health center, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010256,,,,,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In Gems1 and Gems1a, it is associated with 'Previously sought care expenses'. Need to confirm in this project, it refers to 'Previously sought care expenses' too."
45,,,ctr2_total,gems1_huas_data.sas7bdat,"2nd choice hospital or health center, total expenses ",http://purl.obolibrary.org/obo/EUPATH_0010255,,,,,"F42.7: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,"In Gems1 and Gems1a, it is associated with 'Previously sought care expenses'. Need to confirm in this project, it refers to 'Previously sought care expenses' too."
47,,,ctr3_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
48,,,ctr3_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
49,,,ctr3_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
50,,,ctr3_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In GEMS1 project, we have previous and current health care expenses, not clear these variables are previous or current?"
52,,,ctr3_trnsprt,gems1_huas_data.sas7bdat,"3rd choice hospital or health center, transport expenses ",http://purl.obolibrary.org/obo/EUPATH_0010258,,,,,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,"In Gems1 and Gems1a, it is associated with 'Previously sought care expenses'. Need to confirm in this project, it refers to 'Previously sought care expenses' too."
51,,,ctr3_total,gems1_huas_data.sas7bdat,"3rd choice hospital or health center, total expenses ",http://purl.obolibrary.org/obo/EUPATH_0010257,,,,,"F42.8: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,"In Gems1 and Gems1a, it is associated with 'Previously sought care expenses'. Need to confirm in this project, it refers to 'Previously sought care expenses' too."
199,,,other_consult,gems1_huas_data.sas7bdat,,,,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
200,,,other_diag,gems1_huas_data.sas7bdat,,,,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
201,,,other_drug,gems1_huas_data.sas7bdat,,,,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
202,,,other_othr,gems1_huas_data.sas7bdat,,,,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
204,,,other_trnsprt,gems1_huas_data.sas7bdat,Other transportation expenses ,http://purl.obolibrary.org/obo/EUPATH_0010261,,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from other sources of health care of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,
203,,,other_total,gems1_huas_data.sas7bdat,Previously sought care other expenses (amount) ,http://purl.obolibrary.org/obo/EUPATH_0010260,,,,,"F42.9: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,
177,,,mony_donat,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Asking for donations outside of the household. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,"The F43 variables associated with 'previously sought care expenses'. So, we cannot reuse borrowing, donation, etc. under 'current care expenses', right?"
176,,,mony_borrow,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Borrowing. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
178,,,mony_meal,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down expenses from meals. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
179,,,mony_othexp,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down other expenses. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
181,,,mony_relative,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Relative or friend paid on your behalf. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
175,,,mony_asset,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Selling assets. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
182,,,mony_svngs,gems1_huas_data.sas7bdat,,,,,,,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Using savings. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
180,,,mony_othr,gems1_huas_data.sas7bdat,,,,,,,"F43.1: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Other, specify. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",Multifilter,
162,,,lose_earn,gems1_huas_data.sas7bdat,Lost earnings due to care ,http://purl.obolibrary.org/obo/EUPATH_0010273,,,,,"F44: Health care expenses. Did you lose some earnings due to seeking or providing care during your child's illness. Only complete part F if the answer to E29 is ""yes"". Use local currency","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,"F44 to F47 variables are associated with 'current care expenses' ontology terms, is it correct? "
163,,,lose_total,gems1_huas_data.sas7bdat,Amount earnings lost due to care ,http://purl.obolibrary.org/obo/EUPATH_0010274,,,,,"F44: Health care expenses. If yes, how much? (if lose_earn=2). Only complete part F if the answer to E29 is ""yes"". Use local currency",,,
205,,,othrlose_earn,gems1_huas_data.sas7bdat,Other lost earnings ,http://purl.obolibrary.org/obo/EUPATH_0010275,,,,,"F45: Health care expenses. Did other caregivers lose some earinings due to seeking or providing care during the child's illness. Only complete part F if the answer to E29 is ""yes"". Use local currency","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,
206,,,othrlose_total,gems1_huas_data.sas7bdat,Amount other lost earnings ,http://purl.obolibrary.org/obo/EUPATH_0010276,,,,,"F45: Health care expenses. If yes, how much? (if othrlose_earn=2). Only complete part F if the answer to E29 is ""yes"". Use local currency",,,
55,,,dayslost_care,gems1_huas_data.sas7bdat,Income days lost while seeking care ,http://purl.obolibrary.org/obo/EUPATH_0010277,,,,,"F46: Health care expenses. How much time have you spent taking care of the child when otherwise you would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days",,,
56,,,dayslost_othrcre,gems1_huas_data.sas7bdat,Other caregivers income days lost while seeking care ,http://purl.obolibrary.org/obo/EUPATH_0010278,,,,,"F47: Health care expenses. How much time have other caregivers spent taking care of the child when otherwise they would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days",,,
307,,,trt_blood,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Blood in stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
308,,,trt_coma,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Coma/loss of consciousness. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
309,,,trt_decurin,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Decreased urination. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
324,,,trt_vomit,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea and vomiting. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
310,,,trt_dehydr,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with dehydration. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
312,,,trt_fever,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with fever. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
323,,,trt_sunkeyes,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with sunken eyes. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
325,,,trt_wrnkskin,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with wrinkled skin. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
311,,,trt_dry,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Dry mouth. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
316,,,trt_loose710,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (7-10 per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",Multifilter,
317,,,trt_looseg10,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (more than 10 per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",Multifilter,
318,,,trt_loosel6,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Frequent loose stools (6+ per day). Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",Multifilter,
315,,,trt_lethrgy,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Lethargy. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
319,,,trt_mucus,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Mucus/pus in stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",Multifilter,
322,,,trt_rice,gems1_huas_data.sas7bdat,,,,,,,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Rice watery stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know",Multifilter,
14,,,agree_doc,gems1_huas_data.sas7bdat,,,,,,,"G49: Health care attitudes. If a doctor or nurse recommended that you take your child for care at the nearest sentinel health center (specify which one), would you be likely to agree to do this. Section G: skip for children who had diarrhea in the last 2 weeks. If yes, go to G51. If no, continue.","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,
195,,,notagree,gems1_huas_data.sas7bdat,,,,,,,"G50: Health care attitudes. If you would not agree with the doctor/nurse to take your child for care at the nearest sentinel center, why. Skip if G49=""yes"". Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Not happy with care provided at the hospital, 11=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Cannot take time off from work, 5=Most diarrheas are not serious enough, 6=Local situation (weather, natural, or political reasons), 7=Cost for treatment too high, 8=Other children at home could not be left alone, 9=Not confident about the care from the center, NA=NA",,
