variable,variable_huas,variable_lite,variable_kenya,dataFile,type,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,codebookValues,codebookDescription
hometrt_othr2,HOMETRT_OTHR2,NA,NA,gems1_huas_data.sas7bdat,num,179,NA,NA,,,"0=No, 1=Yes, NA=NA","E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_othrliq,HOMETRT_OTHRLIQ,NA,NA,gems1_huas_data.sas7bdat,num,173,NA,NA,,,"0=No, 1=Yes, NA=NA","E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hometrt_zinc,HOMETRT_ZINC,NA,NA,gems1_huas_data.sas7bdat,num,171,NA,NA,,,"0=No, 1=Yes, NA=NA","E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks"
hospab_spec,HOSPAB_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,194,NA,NA,,,,E41.2: Health care utilization. Specify antibiotics (if hosptrt_ab=1). Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hospcare,hospcare,NA,NA,gems1_huas_data.sas7bdat,num,409,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
hospctr1,HOSPCTR1,NA,NA,gems1_huas_data.sas7bdat,num,142,NA,NA,,,,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks
hospctr2,HOSPCTR2,NA,NA,gems1_huas_data.sas7bdat,num,144,NA,NA,,,,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks
hospctr3,HOSPCTR3,NA,NA,gems1_huas_data.sas7bdat,num,146,NA,NA,,,,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks
hospothr_spec,HOSPOTHR_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,196,NA,NA,,,,E41.4: Health care utilization. Specify other treatment (if hosptrt_othr=1). Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_ab,HOSPTRT_AB,NA,NA,gems1_huas_data.sas7bdat,num,193,NA,NA,,,"0=No, 1=Yes, NA=NA",E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_dk,HOSPTRT_DK,NA,NA,gems1_huas_data.sas7bdat,num,191,NA,NA,,,"0=No, 1=Yes, NA=NA",E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_intfld,HOSPTRT_INTFLD,NA,NA,gems1_huas_data.sas7bdat,num,188,NA,NA,,,"0=No, 1=Yes, NA=NA",E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_medinj,HOSPTRT_MEDINJ,NA,NA,gems1_huas_data.sas7bdat,num,189,NA,NA,,,"0=No, 1=Yes, NA=NA",E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_ors,HOSPTRT_ORS,NA,NA,gems1_huas_data.sas7bdat,num,190,NA,NA,,,"0=No, 1=Yes, NA=NA",E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_othr,HOSPTRT_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,195,NA,NA,,,"0=No, 1=Yes, NA=NA",E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
hosptrt_zinc,HOSPTRT_ZINC,NA,NA,gems1_huas_data.sas7bdat,num,192,NA,NA,,,"0=No, 1=Yes, NA=NA",E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.
house_bike,HOUSE_BIKE,NA,NA,gems1_huas_data.sas7bdat,num,51,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.
house_boat,HOUSE_BOAT,NA,NA,gems1_huas_data.sas7bdat,num,55,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.
house_car,HOUSE_CAR,NA,NA,gems1_huas_data.sas7bdat,num,52,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.
house_elec,HOUSE_ELEC,NA,NA,gems1_huas_data.sas7bdat,num,47,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  Electricity. Must be functioning. Select all that apply.
house_fridge,HOUSE_FRIDGE,NA,NA,gems1_huas_data.sas7bdat,num,54,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.
house_none,HOUSE_NONE,NA,NA,gems1_huas_data.sas7bdat,num,56,NA,NA,,,"0=No, 1=Yes, NA=NA",B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.
house_phone,HOUSE_PHONE,NA,NA,gems1_huas_data.sas7bdat,num,53,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.
house_radio,HOUSE_RADIO,NA,NA,gems1_huas_data.sas7bdat,num,50,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.
house_scoot,HOUSE_SCOOT,NA,NA,gems1_huas_data.sas7bdat,num,49,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.
house_tele,HOUSE_TELE,NA,NA,gems1_huas_data.sas7bdat,num,48,NA,NA,,,"0=No, 1=Yes",B17: Household information. Multifilter: Does your house have:  A television. Must be functioning. Select all that apply.
hsize,hsize,NA,NA,gems1_huas_data.sas7bdat,num,419,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
i,i,NA,NA,gems1_huas_data.sas7bdat,num,373,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"21, 7",
id_child,ID_CHILD,NA,NA,gems1_huas_data.sas7bdat,num,12,NA,NA,,,"1=No, 2=Yes, 3=Died","A02: Eligibility information. Have you been able to identify the child. If ""no"" or ""died"", stop here"
int_code,INT_CODE,INT_CODE,int_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,23,15,16,,,,A07.3: Eligibility information. Interviewer name (staff code).
int_code2,INT_CODE2,INT_CODE2,int_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,354,73,5,,,,A07.4: Eligibility information. Interviewer name 2 (staff code).
interview,interview,REASON,reason,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,365,12,13,variables 'interview' & 'reason' should map to the same display label & IRI,,"1=Conducted, 10=Child >59 months, 11=Interview date missing, 12=Birthdate missing or invalid, 2=Not identified, 3=Child died, 4=Refused consent, 5=Not available after 3 attempts, 6=Not conducted - other, 7=Consent question not answered, 8=ID child question not answered, 9=Interview status question nt answered, 0=NOT IN CODEBOOK","A07.2: Eligibility information. Interview status (Conducted if status=1 & id_child=2 & consent=1 & agecat=1,2,3)."
iv_hosp,IV_Hosp,NA,NA,gems1_huas_data.sas7bdat,num,377,NA,NA,,,"1=IV only, 2=Hospital admission only, 3=IV & hospital admission, 4=Neither, 5=Unknown",E34.1: Health care utilization. IV & hospital admission. Only complete for children who had diarrhea in the last 2 weeks
lbpar,lbpar,NA,NA,gems1_huas_data.sas7bdat,num,417,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
licprac,licprac,NA,NA,gems1_huas_data.sas7bdat,num,407,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
licprov,licprov,NA,NA,gems1_huas_data.sas7bdat,num,411,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
lose_earn,LOSE_EARN,NA,NA,gems1_huas_data.sas7bdat,num,267,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA","F44: Health care expenses. Did you lose some earnings due to seeking or providing care during your child's illness. Only complete part F if the answer to E29 is ""yes"". Use local currency"
lose_total,LOSE_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,268,NA,NA,,,,"F44: Health care expenses. If yes, how much? (if lose_earn=2). Only complete part F if the answer to E29 is ""yes"". Use local currency"
lowcost,LOWCOST,NA,NA,gems1_huas_data.sas7bdat,num,349,NA,NA,,,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA","H63: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the lowest costs. Select only 1"
lst_dangr,LST_DANGR,NA,NA,gems1_huas_data.sas7bdat,num,344,NA,NA,,,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",H61 : Attitudes about diarrheal illness. Which of the following is the least dangerous for a child. Select only 1
max_stools,MAX_STOOLS,MAX_STOOLS,max_stools,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,100,20,19,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=3-6 times per dy, 2=7-10 times per day, 3=More than 10 times per day, 4=Don't know, NA=NA",D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks
mght1_op,MGHT1_OP,NA,NA,gems1_huas_data.sas7bdat,num,310,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",G52.1: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #1. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker
mght2_op,MGHT2_OP,NA,NA,gems1_huas_data.sas7bdat,num,312,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",G52.3: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #2. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker
mght3_op,MGHT3_OP,NA,NA,gems1_huas_data.sas7bdat,num,314,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",G52.4: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #3. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker
mghtrec1,MGHTREC1,NA,NA,gems1_huas_data.sas7bdat,num,309,NA,NA,,,,G52: Health care attitudes. Sentinel health center code #1 (for mght1_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker
mghtrec2,MGHTREC2,NA,NA,gems1_huas_data.sas7bdat,num,311,NA,NA,,,,G52.2: Health care attitudes. Sentinel health center code #2 (for mght2_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker
mghtrec3,MGHTREC3,NA,NA,gems1_huas_data.sas7bdat,num,313,NA,NA,,,,G52.4: Health care attitudes. Sentinel health center code #3 (for mght3_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker
mod_severe,Mod_Severe,NA,Mod_Severe,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",num,375,NA,75,,,"1=Moderate to severe diarrhea, 2=Had diarrhea, not moderate to severe, 3=No diarrhea in the last 2 weeks, 99=Missing/error",D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks
mom_live,MOM_LIVE,NA,NA,gems1_huas_data.sas7bdat,num,35,NA,NA,,,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",B09: Household information. Where does the child's mother live.
mony_asset,MONY_ASSET,NA,NA,gems1_huas_data.sas7bdat,num,262,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Selling assets. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_borrow,MONY_BORROW,NA,NA,gems1_huas_data.sas7bdat,num,261,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Borrowing. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_donat,MONY_DONAT,NA,NA,gems1_huas_data.sas7bdat,num,263,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Asking for donations outside of the household. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_meal,MONY_MEAL,NA,NA,gems1_huas_data.sas7bdat,num,258,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down expenses from meals. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_othexp,MONY_OTHEXP,NA,NA,gems1_huas_data.sas7bdat,num,259,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down other expenses. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_othr,MONY_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,265,NA,NA,,,"0=No, 1=Yes, NA=NA","F43.1: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Other, specify. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_relative,MONY_RELATIVE,NA,NA,gems1_huas_data.sas7bdat,num,264,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Relative or friend paid on your behalf. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mony_spec,MONY_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,266,NA,NA,,,,"F43.2: Health care expenses. Specify (if mony_othr=1). Only complete part F if the answer to E29 is ""yes""."
mony_svngs,MONY_SVNGS,NA,NA,gems1_huas_data.sas7bdat,num,260,NA,NA,,,"0=No, 1=Yes, NA=NA","F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Using savings. Only complete part F if the answer to E29 is ""yes"". Mark all that apply"
mst_dangr,MST_DANGR,NA,NA,gems1_huas_data.sas7bdat,num,343,NA,NA,,,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",H60: Attitudes about diarrheal illness. Whh of the following is the most dangerous for a child. Select only 1
newseekcare,NA,NA,newseekcare,gems1_huas_lite_data_kenya.sas7bdat,num,NA,NA,76,,variable not in HUAS codebook (CRF01 HUAS),"1, 2",
nocare,nocare,NA,NA,gems1_huas_data.sas7bdat,num,413,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
nohosp,NOHOSP,NA,NA,gems1_huas_data.sas7bdat,num,165,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Could not take time off from work, 5=Local situation (weather, natural, or political reasons), 6=Cost for treatment too high, 7=Other children at home could not be left alone, 8=Did not think child was sick enough, 9=Not happy with care provided at the hospital, NA=NA",E37: Health care utilization. What was the single most important reason that the child not taken to the hospital. Skip if E36=no. Only complete for children who had diarrhea in the last 2 weeks
nohosp_spec,NOHOSP_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,166,NA,NA,,,,E37.1: Health care utilization. Specify (if nohosp=10). Skip if E36=no. Only complete for children who had diarrhea in the last 2 weeks
noseek_noneed,NOSEEK_NONEED,NOSEEK_NONEED,noseek_noneed,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,120,35,34,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Child did not seem to need care. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_nothappy,NOSEEK_NOTHAPPY,NOSEEK_NOTHAPPY,noseek_nothappy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,128,42,41,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Not happy with clinical services in the area. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_othr,NOSEEK_OTHR,NOSEEK_OTHER,noseek_other,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,129,44,43,variables 'noseek_othr' & 'noseek_other' should map to the same display label & IRI,,"0=No, 1=Yes, NA=NA","E30.1: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other, specify. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_othrchld,NOSEEK_OTHRCHLD,NOSEEK_OTHRCHLD,noseek_othrchld,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,127,40,39,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other children at home could not be left alone. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_politic,NOSEEK_POLITIC,NOSEEK_POLITIC,noseek_politic,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,124,46,45,"combine 'noseek_politic' & 'noseek_weather' where 'noseek_weather'==1: if noseek_weather==1, noseek_politic==1; if noseek_weather==0, do not change noseek_politic",,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_spec,NOSEEK_SPEC,NOSEEK_SPEC,noseek_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,130,45,44,,,,"E30.02: Health care utilization. Specify (noseek_other=1). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_toofar,NOSEEK_TOOFAR,NOSEEK_TOOFAR,noseek_toofar,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,121,37,36,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Clinic too far from home. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_trnsprt,NOSEEK_TRNSPRT,NOSEEK_TRNSPRT,noseek_trnsprt,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,122,39,38,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Unable to find transport. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_trtmtcost,NOSEEK_TRTMTCOST,NOSEEK_TRTMTCOST,noseek_trtmtcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,126,38,37,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for treatment too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_trvlcost,NOSEEK_TRVLCOST,NOSEEK_TRVLCOST,noseek_trvlcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,125,36,35,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for travel too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_weather,NA,NOSEEK_WEATHER,noseek_weather,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,43,42,"combine 'noseek_weather' into 'noseek_politic' (see notes in 'noseek_politic'), then drop 'noseek_weather",,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
noseek_work,NOSEEK_WORK,NOSEEK_WORK,noseek_work,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,123,41,40,,,"0=No, 1=Yes, NA=NA","E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Could not take time off from work. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks"
notagree,NOTAGREE,NA,NA,gems1_huas_data.sas7bdat,num,294,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Not happy with care provided at the hospital, 11=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Cannot take time off from work, 5=Most diarrheas are not serious enough, 6=Local situation (weather, natural, or political reasons), 7=Cost for treatment too high, 8=Other children at home could not be left alone, 9=Not confident about the care from the center, NA=NA","G50: Health care attitudes. If you would not agree with the doctor/nurse to take your child for care at the nearest sentinel center, why. Skip if G49=""yes"". Section G: skip for children who had diarrhea in the last 2 weeks"
notagree_spec,NOTAGREE_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,295,NA,NA,,,,"G50.1: Health care attitudes. Specify (if notagree=11). Skip if G49=""yes"". Section G: skip for children who had diarrhea in the last 2 weeks. There are a maimum of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility coding list. Use 010=licenced or private practitiner; 020=pharmacy; 030=friend/relative; 040=traditional healer; 050=unlicenced practitioner/village doctor/bush doctor; 060=buy medication at shop/market; 090=other facilities not coded."
offr_drink,OFFR_DRINK,OFFER_DRINK,offer_drink,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,184,71,70,variables 'offr_drink' & 'offer_drink' should map to the same display label & IRI,response values 0 & 4 not in codebook. Categories may be different in lite/kenya as compared to huas.,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK",E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks
offr_eat,OFFR_EAT,OFFER_EAT,offer_eat,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,186,72,71,variables 'offr_eat' & 'offer_eat' should map to the same display label & IRI,"response values 0, 4, & 5 not in codebook. Categories may be different in lite/kenya as compared to huas.","0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK, 5=NOT IN CODEBOOK",E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.
ors_work,ORS_WORK,NA,NA,gems1_huas_data.sas7bdat,num,342,NA,NA,,,"1=No, 2=Yes, 3=Don't know, NA=NA","H59: Attitudes about diarrheal illness. In your opinion, does ORS work well to treat diarrhea."
other_consult,OTHER_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,249,NA,NA,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
other_diag,OTHER_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,251,NA,NA,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
other_drug,OTHER_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,250,NA,NA,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
other_othr,OTHER_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,253,NA,NA,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
other_spec,OTHER_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,246,NA,NA,,,,"F42.9: Health care expenses. Specify other sources of health care. Only complete part F if the answer to E29 is ""yes""."
other_total,OTHER_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,254,NA,NA,,,,"F42.9: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
other_trnsprt,OTHER_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,252,NA,NA,,,,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from other sources of health care of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
othercare,othercare,NA,NA,gems1_huas_data.sas7bdat,num,410,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
