<<<<<<< .mine,,,,,
variable,dataFile,codebookDescription,suggested_IRI,suggested_label,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_milk,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015087,No special remedies given,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_none,gems1_huas_data.sas7bdat,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015082,ORALITE or ORS,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0011141,Had to eat a limited variety of foods last month,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_ors,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015085,Home remedy or herbal medication,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_othr1,gems1_huas_data.sas7bdat,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015085,Home remedy or herbal medication,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_othr2,gems1_huas_data.sas7bdat,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015088,Any other liquids,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_othrliq,gems1_huas_data.sas7bdat,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0022033,Traveled in the 2 weeks before 4th most recent malaria episode,
hometrt_zinc,gems1_huas_data.sas7bdat,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks",http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hospcare,gems1_huas_data.sas7bdat,,,,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021091,Antimalarial medication in last 2 weeks,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010155,1st choice hospital or health center,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010157,1st choice facility code,
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010253,"1st choice hospital or health center, total expenses",
hospctr1,gems1_huas_data.sas7bdat,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010254,"1st choice hospital or health center, transport expenses",
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010163,2nd choice facility code,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010161,2nd choice hospital or health center,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021091,Antimalarial medication in last 2 weeks,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0022031,Traveled in the 2 weeks before 2nd most recent malaria episode,
hospctr2,gems1_huas_data.sas7bdat,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010255,"2nd choice hospital or health center, total expenses",
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010169,3rd choice facility code,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010167,3rd choice hospital or health center,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0021091,Antimalarial medication in last 2 weeks,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0022032,Traveled in the 2 weeks before 3rd most recent malaria episode,
hospctr3,gems1_huas_data.sas7bdat,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0010257,"3rd choice hospital or health center, total expenses",
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
