Isolate source	Isolate source category	Mapped Ontology Term IRI	Mapped Ontology Term Label
DNA samples provided by Dr. David Sibley at Washington University School of Medicine in St. Louis, MO	Unknown		
DNA samples provided by Drs. Marie-laure Darde and Daniel Ajzenberg at the University of Limoges in France.	Unknown		
dog	Unknown		
Dr. Hilda Pena	Unknown		
East Africa	Unknown		
Echimys dasythrix	Unknown		
eggs	Unknown		
eggstrings	Unknown		
Ejido Carrillo puerto	Unknown		
Ejido Consejo Agrario	Unknown		
Ejido Cozalapa-Benito Juarez	Unknown		
Eublepharis macularis captive in Czech Republic	Unknown		
Eumeces schneideri imported to Czech Republic	Unknown		
Eurasian collared-dove 11785	Unknown		
Eurasian collared-dove 15937	Unknown		
experimentaly infected intermediate hosts (laboratory mice)	Unknown		
experimentaly infected intermediate hosts (Meriones)	Unknown		
fallow deer	Unknown		
farm	Unknown	http://purl.obolibrary.org/obo/ENVO_00000078	farm
farmed Salmo salar	Unknown		
farmed Salvelinus alpinus	Unknown		
female	Unknown		
female adult silkmoth	Unknown		
ferret	Unknown		
field isolate	Unknown		
field isolate from patient	Unknown		
Finca San Antonio Nexapa	Unknown		
Finca Vega de los gatos	Unknown		
finch	Unknown		
FMT-AM	Unknown		
forest	Unknown	http://purl.obolibrary.org/obo/ENVO_00000111	forest
Fraccion El Retiro	Unknown		
Fraccion La Ceiba	Unknown		
free-range chicken	Unknown		
from Afghani patient from Iran, Sistan and Bluchistan Province, Iranshahr District	Unknown		
from Iranian patient from Iran, Sistan and Bluchistan Province, Chahbahar District	Unknown		
from Iranian patient from Iran, Sistan and Bluchistan Province, Iranshahr District	Unknown		
from Iranian patient from Iran, Sistan and Bluchistan Province, Iranshahr/Sarbaz District	Unknown		
from Pakistani patient from Iran, Sistan and Bluchistan Province, Chahbahar District	Unknown		
from patient with drug resistance	Unknown		
furcocercariae	Unknown		
Geopelia humeralis	Unknown		
Geopelia striata	Unknown		
Giardia duodenalis trophozoite QIMR stock BRIS/87/HEPU/713	Unknown		
Giardia duodenalis trophozoite QIMR stock BRIS/91/HEPU/1279	Unknown		
gills	Unknown		
goat	Unknown		
Gyraulus albus exp. infection	Unknown		
Hantoub	Unknown		
Hemignathus virens	Unknown		
high performance farms	Unknown	http://purl.obolibrary.org/obo/ENVO_00000078	farm
HIV infected adult	Unknown		
HIV positive adult	Unknown		
HIV+ person	Unknown		
HIV-infected patient	Unknown		
HIV-positive patient	Unknown		
Hluhluwe-iMfolozi Game Park	Unknown		
Holstein cattle	Unknown		
Homo sapiens	Unknown		
hospital patient	Unknown		
host collected from Atlantic salmon (salmo salar)	Unknown		
human	Unknown		
Human	Unknown		
human patient with ocular infection	Unknown		
Indochina	Unknown		
industrial area	Unknown		
infected buffalo	Unknown		
infected child	Unknown		
infected patient	Unknown		
insect	Unknown		
Iranian patient	Unknown		
isolated from animal during laboratory passages; originally isolated from natural environmental infections	Unknown		
isolated from Homo sapiens patient infected with HIV	Unknown		
isolated from mosquito whole body	Unknown		
isolated in 1968 from a camel and passaged 140 times in mice	Unknown		
isolated in 2003 from a camel and passaged once in mice	Unknown		
Italian imported malaria case from Mozambique	Unknown		
Italian imported malaria case from Sri Lanka	Unknown		
Japanese female	Unknown		
Japanese grass snake	Unknown		
Jarrah Forest (Dwellingup, WA)	Unknown	http://purl.obolibrary.org/obo/ENVO_00000111	forest
John Ellis	Unknown		
Kala-azar patient	Unknown		
kala-azar patient	Unknown		
Kamrup	Unknown		
Kataragama	Unknown		
keratitis infection	Unknown		
Korea	Unknown		
Kuwaiti Children	Unknown		
larvae with M. glareolus	Unknown		
larvae with M. rufocanus	Unknown		
larvae with M. rutilus	Unknown		
Le Treport (50deg04' N, 1deg22' E), La Manche sea	Unknown		
lens	Unknown		
lesion cutaneous	Unknown		
lesion mucosa	Unknown	http://purl.obolibrary.org/obo/UBERON_0000344	mucosa
liquor, GAE	Unknown		
liver aspirates of an amoebic liver abscess patient	Unknown	http://purl.obolibrary.org/obo/UBERON_0002107	liver
lizard	Unknown		
low performance farms	Unknown	http://purl.obolibrary.org/obo/ENVO_00000078	farm
Lutzomyia hartmanni	Unknown		
malaria patient	Unknown		
malaria patient in Chabahar, Sistan and Baluchistan, Iran	Unknown		
malaria patient ZBP	Unknown		
malarial patient	Unknown		
Malaysian aborigine	Unknown		
male	Unknown		
male adult silkmoth	Unknown		
member of the Jarawas tribe	Unknown		
Mergus serrator	Unknown		
mesh in plughole	Unknown		
metalworking fluid system	Unknown		
Microtus agrestis	Unknown		
miracidia	Unknown		
monkey	Unknown		
mosquito head-thorax portion 8078 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8084 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8089 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8097 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8103 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8113 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8114 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8119 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8124 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8126 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8127 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mosquito head-thorax portion 8129 (NHM)	Unknown	http://purl.obolibrary.org/obo/UBERON_0000033	head
mountain	Unknown	http://purl.obolibrary.org/obo/ENVO_00000081	mountain
MRA-350G from ATCC	Unknown		
MRA-352G from ATCC	Unknown		
MRA-486F from ATCC	Unknown		
MRA-488F from ATCC	Unknown		
Nadiad	Unknown		
nasal lesion	Unknown		
nasal mucosa	Unknown	http://purl.obolibrary.org/obo/UBERON_0000344	mucosa
nasal tissue	Unknown	http://purl.obolibrary.org/obo/UBERON_0005384	nasal cavity epithelium
nasale mucosa	Unknown	http://purl.obolibrary.org/obo/UBERON_0000344	mucosa
natural populations	Unknown		
naturally acquired Lancaster	Unknown		
naturally infected calf	Unknown		
naturally infected dog with clinical babesiosis	Unknown		
naturally infected host	Unknown		
naturally infected host tissue	Unknown	http://purl.obolibrary.org/obo/UBERON_0000479	tissue
naturally-infected buffalo	Unknown		
North America	Unknown		
North Gondar	Unknown		
oocyst	Unknown	http://purl.obolibrary.org/obo/ENVO_00002006	water
Opuntia fruit	Unknown	http://purl.obolibrary.org/obo/PO_0009001	fruit
oral	Unknown		
Pakistani patient	Unknown		
Panna	Unknown		
Papua New Guinea	Unknown		
patient	Unknown		
patient 1	Unknown		
patient 2	Unknown		
patient infected with HIV	Unknown		
patient sample	Unknown		
Patient sample	Unknown		
patient with mild symptoms	Unknown		
patient with severe symptoms	Unknown		
patient with sickle cell trait	Unknown		
patient with visceral leishmaniasis	Unknown		
Phaps chalcoptera	Unknown		
Phlebotomus group Caucasicus	Unknown		
Phlebotomus papatasi	Unknown		
Phlebotomus sergenti	Unknown		
pied imperial-pigeon	Unknown		
pool of ten sandflies	Unknown		
primary culture	Unknown		
questing adult female	Unknown		
questing adult male	Unknown		
questing nymph	Unknown		
raccoon dog	Unknown		
Racing pigeon 231	Unknown		
Racing pigeon 7895	Unknown		
Racing pigeon 8855	Unknown		
Radix peregra	Unknown		
Rattus norvegicus	Unknown		
reindeer	Unknown		
Rhodnius prolixus	Unknown		
Rondonia	Unknown		
Saimiri scireus	Unknown		
Salmo salar [Atlantic salmon]	Unknown		
San Francisco Campamento	Unknown		
scar	Unknown		
Sciurus granatensis	Unknown		
Senegalese individual with cerebral malaria	Unknown		
Senegalese non-pregnant adults	Unknown		
Senegalese pregnant woman	Unknown		
Shambat	Unknown		
shoreline	Unknown	http://purl.obolibrary.org/obo/ENVO_00000486	shoreline
sika deer (Cervus nippon yesoensis)	Unknown		
single cyst in minced meat	Unknown		
South Africa	Unknown		
South America	Unknown		
Southeast Asia	Unknown		
southeast Asia	Unknown		
Spain: Galicia	Unknown		
Spanish bee infected with Nosema ceranae spores founded and isolated in Avignon, France	Unknown		
Spanish bee infected with Nosema ceranae spores founded and isolated in Guadalajara, Spain	Unknown		
Spanish woman	Unknown		
splectomized chimpanzee Oscar	Unknown		
squirrel monkey	Unknown		
T. gondii isolated from a dead toucan from Costa Rican National Zoo	Unknown		
tail-tip	Unknown	http://purl.obolibrary.org/obo/UBERON_0002415	tail
Taiwan	Unknown		
Teresina_PI	Unknown		
Thymallus thymallus	Unknown		
Toque monkey	Unknown		
traveller	Unknown		
uncomplicated malaria patients without cerebral malaria	Unknown		
Varanus exanthematicus imported to Czech Republic	Unknown		
Vesteria coccinea	Unknown		
Visceral leishmaniasis	Unknown		
Visceral leishmaniasis + post kala azar leishmaniasis	Unknown		
West Africa	Unknown		
west Africa	Unknown		
Western Brazilian Amazon	Unknown		
white-tailed deer no. 36	Unknown		
white-tailed deer no. 53	Unknown		
whole body	Unknown		
wild	Unknown		
wild colony	Unknown		
wild macaques	Unknown		
wild Salvelinus alpinus	Unknown		
woodrat	Unknown		
Yport (49deg44' N, 0deg19' E), La Manche sea	Unknown	http://purl.obolibrary.org/obo/ENVO_00000016	sea
urinal sediment	urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine
urine from symptomatic Burmese man	urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine
urine from Thai man co-infected with Leishmania sp. 'siamensis' and HIV	urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine
urine from visceral leishmaniasis in Thai man	urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine
urine sample from immunocompetent human	urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine
air condition water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
air conditioner water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
anoxic pond in wastewater treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00000033	pond
aquarium water sample	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
artificial lake	water	http://purl.obolibrary.org/obo/ENVO_00000377	artificial lake
biofilm of recirculating aquaculture system	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
Boiling Springs Lake	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
boring water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
canal	water	http://purl.obolibrary.org/obo/ENVO_00000014	canal
canal water	water	http://purl.obolibrary.org/obo/ENVO_00000014	canal
canal water sample	water	http://purl.obolibrary.org/obo/ENVO_00000014	canal
Chao Phraya River water	water	http://purl.obolibrary.org/obo/ENVO_00000022	river
cooling water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
Dabie Duze Lake (Lubczyna)	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Dabie Male Lake (Szczecin)	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
dehydrated wastewater	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
dialysis unit water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
drinking water	water	http://purl.obolibrary.org/obo/ENVO_00003064	drinking water
drinking water distribution system pipe biofilm	water	http://purl.obolibrary.org/obo/ENVO_00003064	drinking water
drinking water network	water	http://purl.obolibrary.org/obo/ENVO_00003064	drinking water
drinking water reservoir	water	http://purl.obolibrary.org/obo/ENVO_00003064	drinking water
effluent of a wastewater treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
environmental water sample	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
fixed biofilms in hot spring water	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site A12	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site A24	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site A27	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site A32	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site A9	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B14	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B18	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B21	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B22	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B27	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B28	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B31	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site B9	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C16	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C17	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C18	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C21	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C24	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C25	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C26	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C3	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C5	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site C7	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site D3	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site D9	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site E10	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site E11	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site E9	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F13	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F14	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F17	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F18	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F22	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F23	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F26	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F28	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F29	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F3	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F35	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F5	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F7	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water, sampling site F8	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:A11	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:C16	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:C2	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:C31	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:C4	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:C7	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:F25	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilm in hot spring water; sampling site:F32	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
floating biofilms in hot spring water	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
fountain	water		
fresh water	water	http://purl.obolibrary.org/obo/ENVO_00002011	fresh water
freshwater aquarium	water	http://purl.obolibrary.org/obo/ENVO_00002011	fresh water
garden pond	water	http://purl.obolibrary.org/obo/ENVO_00000033	pond
Glebokie Lake (Szczecin)	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
hard water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
hospital drinking water network	water	http://purl.obolibrary.org/obo/ENVO_00003064	drinking water
hospital wastewater in the Kathmandu Valley, Nepal	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
hospital water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
hot spring	water	http://purl.obolibrary.org/obo/ENVO_00000051	hot spring
hot spring water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
hot springs	water	http://purl.obolibrary.org/obo/ENVO_00000051	hot spring
influent of a wastewater treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
lake	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Albert	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Albert region	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Malawi	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Malawi-Chembe	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Malawi-Likoma	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Victoria	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Lake Victoria region	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
lake water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
open water reservoir	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
personal hot tub	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
pond	water	http://purl.obolibrary.org/obo/ENVO_00000033	pond
pool water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
public bath	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
public hot tub	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
raw domestic water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
raw sewage of a wastewater treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00002018	sewage
raw surface water	water	http://purl.obolibrary.org/obo/ENVO_00002042	surface water
raw wastewater	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
raw water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
reclaimed wastewater	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
recreational lake water	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
reservoirs	water	http://purl.obolibrary.org/obo/ENVO_00000025	reservoir
river	water	http://purl.obolibrary.org/obo/ENVO_00000022	river
River	water	http://purl.obolibrary.org/obo/ENVO_00000022	river
river water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
river water in the Kathmandu Valley, Nepal	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
Rusalka Lake (Szczecin)	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
salt cave salt water	water	http://purl.obolibrary.org/obo/ENVO_00002010	saline water
secondary-treated sewage of a wastewater treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00002018	sewage
sediment of a water reservoir	water	http://purl.obolibrary.org/obo/ENVO_00002007	sediment
sewage	water	http://purl.obolibrary.org/obo/ENVO_00002018	sewage
sewage canal water sample	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
sewage water	water	http://purl.obolibrary.org/obo/ENVO_00002018	sewage
sewage-polluted river	water	http://purl.obolibrary.org/obo/ENVO_00002018	sewage
soft water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
solid-liquid interface biofilm in hot spring water, sampling site A10	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site A18	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site A8	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site C1	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site C12	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site C17	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site C4	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site D3	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site E5	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site F11	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site F14	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site F17	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water, sampling site F26	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:C2	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:E3	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F13	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F14	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F17	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F20	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F21	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F23	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F25	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F3	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
solid-liquid interface biofilm in hot spring water; sampling site:F6	water	http://purl.obolibrary.org/obo/ENVO_00002034	biofilm
spined water from sludge	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
spring water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
stagnant water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
storm water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
stream water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
surface river water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
surface water	water	http://purl.obolibrary.org/obo/ENVO_00002042	surface water
Surface water	water	http://purl.obolibrary.org/obo/ENVO_00002042	surface water
surface water sample after HCT-8 cell culture	water	http://purl.obolibrary.org/obo/ENVO_00002042	surface water
surface water source	water	http://purl.obolibrary.org/obo/ENVO_00002042	surface water
swamp	water	http://purl.obolibrary.org/obo/ENVO_00000233	swamp
swamp water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
swimming pool	water	http://purl.obolibrary.org/obo/ENVO_00000033	pond
swimming pool scrape	water	http://purl.obolibrary.org/obo/ENVO_00000033	pond
swimming pool water	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
swimming pool water sample	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
tap hot water	water	http://purl.obolibrary.org/obo/ENVO_00003096	tap water
tap water	water	http://purl.obolibrary.org/obo/ENVO_00003096	tap water
tapwater	water	http://purl.obolibrary.org/obo/ENVO_00003096	tap water
treated drinking water	water	http://purl.obolibrary.org/obo/ENVO_00003064	drinking water
treated wastewater	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
waste water	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
wastewater	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
wastewater treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
wastewater treatment plant effluent	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
water boring sample	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water from air conditioning unit	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water from rice field	water	http://purl.obolibrary.org/obo/ENVO_00000056	fishpond
water reservior sediment	water	http://purl.obolibrary.org/obo/ENVO_00002007	sediment
water reservoir	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water sample	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water samples from hot spring	water	http://purl.obolibrary.org/obo/ENVO_00000051	hot spring
water samples from hot spring and swimming pool-soil from parks and agricultural area	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water samples from hot spring-soil samples from parks and agricultural area	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water samples from swimming pool-soil samples from parks and agricultural area	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
water treatment plant	water	http://purl.obolibrary.org/obo/ENVO_00002001	waste water
water with sediment	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
Well Water Guinea Bissau	water	http://purl.obolibrary.org/obo/ENVO_00002006	water
Weltynskie Lake (Weltyn)	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
Xinlicheng lake water	water	http://purl.obolibrary.org/obo/ENVO_00000020	lake
