variable,dataFile,dataSet,keepDiscard,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,Notes
X68J._Dose,inpatient_treatment_drug_4,South Asia,keep,33,dbl,NA,NA,NA,2.5,200,2.5 to 200,8,0,once,NA,
X68K._Dose,inpatient_treatment_drug_4,South Asia,keep,36,dbl,NA,NA,NA,2.5,45,2.5 to 45,6,0,once,NA,
X68L._Dose,inpatient_treatment_drug_4,South Asia,keep,39,dbl,NA,NA,NA,2.5,45,2.5 to 45,6,0,once,NA,
X68M._Dose,inpatient_treatment_drug_4,South Asia,keep,42,dbl,NA,NA,NA,2.5,45,2.5 to 45,6,0,once,NA,
X68N._Dose,inpatient_treatment_drug_4,South Asia,keep,45,dbl,NA,NA,NA,2.5,45,2.5 to 45,6,0,once,NA,
X68O._Dose,inpatient_treatment_drug_4,South Asia,keep,48,dbl,NA,NA,NA,3.75,15,3.75 to 15,2,0,once,NA,
X68P._Dose,inpatient_treatment_drug_4,South Asia,keep,51,int,NA,NA,NA,15,15,15 to 15,1,0,once,NA,
X69._Time_of_observation,inpatient_care_chart_review,South Asia,keep,3,chr,4:00PM,NA,NA,n/a,n/a,>10 unique values,316,0.000707214,repeated,NA,
X69A._Method,inpatient_treatment_drug_4,South Asia,keep,7,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X69B._Method,inpatient_treatment_drug_4,South Asia,keep,10,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X69C._Method,inpatient_treatment_drug_4,South Asia,keep,13,chr,NA,NA,NA,n/a,n/a,"01_-_IV, 02_-_PO, NA",2,0,once,NA,
X69D._Method,inpatient_treatment_drug_4,South Asia,keep,16,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69E._Method,inpatient_treatment_drug_4,South Asia,keep,19,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69F._Method,inpatient_treatment_drug_4,South Asia,keep,22,chr,NA,NA,NA,n/a,n/a,"02_-_PO, 03_-_IM, NA",2,0,once,NA,
X69G._Method,inpatient_treatment_drug_4,South Asia,keep,25,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69H._Method,inpatient_treatment_drug_4,South Asia,keep,28,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69I._Method,inpatient_treatment_drug_4,South Asia,keep,31,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69J._Method,inpatient_treatment_drug_4,South Asia,keep,34,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69K._Method,inpatient_treatment_drug_4,South Asia,keep,37,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69L._Method,inpatient_treatment_drug_4,South Asia,keep,40,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69M._Method,inpatient_treatment_drug_4,South Asia,keep,43,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69N._Method,inpatient_treatment_drug_4,South Asia,keep,46,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69O._Method,inpatient_treatment_drug_4,South Asia,keep,49,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X69P._Method,inpatient_treatment_drug_4,South Asia,keep,52,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X7._Patient_meets_all_enrollment_criteria.,enrollment_form,South Asia,discard,7,int,1,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,May be useful to identify which participant IDs to load. 01 - Yes | 02 - No | 00 - Missing | 99 - Uncertain
X7._Patient_meets_all_enrollment_criteria.,enrollment_form_labkey_correctid,South Asia,NA,7,chr,01_-_Yes,NA,NA,n/a,n/a,"01_-_Yes, 02_-_No, NA",2,0,once,duplicated variable,NA
X70._Additional_antimalarial,inpatient_treatment_drug_5,South Asia,keep,2,int,2,NA,NA,1,2,1 to 2,2,0,once,NA,
X71._Generic_antimalarial_name,inpatient_treatment_drug_5,South Asia,keep,3,chr,NA,NA,NA,n/a,n/a,"02_-_PQ, 07_-_Lum, 09_-_ART, 11_-_Other, 12_-_PY, 13_-_DX, NA",6,0,once,NA,
X71._Temperature,inpatient_care_chart_review,South Asia,keep,4,dbl,101,NA,NA,-99,110,-99 to 110,90,0,repeated,NA,In F
X71a._Name_of_other_antimalarial,inpatient_treatment_drug_5,South Asia,discard,4,chr,NA,NA,NA,n/a,n/a,"Pyrimethamine, Sviz_LFD, NA",2,0,once,NA,
X72._Temperature_method,inpatient_care_chart_review,South Asia,keep,5,chr,01-Axillary,NA,NA,n/a,n/a,"-88-Missing, -99, 01-Axillary, 02-Oral, 05-Other",5,0,repeated,NA,"01, 01 - Axillary | 02, 02 - Oral | 03, 03 - Rectal | 04, 04 - Tympanic | 05, 05 - Other | -88, -88 - Missing | -99, -99 - Uncertain"
X72A._Timepoint,inpatient_treatment_drug_5,South Asia,keep,5,int,NA,NA,NA,0,5,0 to 5,5,0,once,NA,
X72B._Timepoint,inpatient_treatment_drug_5,South Asia,keep,8,dbl,NA,NA,NA,0.5,4,0.5 to 4,5,0,once,NA,
X72C._Timepoint,inpatient_treatment_drug_5,South Asia,keep,11,int,NA,NA,NA,1,5,1 to 5,4,0,once,NA,
X72D._Timepoint,inpatient_treatment_drug_5,South Asia,keep,14,dbl,NA,NA,NA,1.5,6,1.5 to 6,5,0,once,NA,
X72E._Timepoint,inpatient_treatment_drug_5,South Asia,keep,17,int,NA,NA,NA,3,7,3 to 7,4,0,once,NA,
X72F._Timepoint,inpatient_treatment_drug_5,South Asia,keep,20,dbl,NA,NA,NA,3.5,8,3.5 to 8,4,0,once,NA,
X72G._Timepoint,inpatient_treatment_drug_5,South Asia,keep,23,int,NA,NA,NA,7,9,7 to 9,2,0,once,NA,
X72H._Timepoint,inpatient_treatment_drug_5,South Asia,keep,26,int,NA,NA,NA,10,10,10 to 10,1,0,once,NA,
X72I._Timepoint,inpatient_treatment_drug_5,South Asia,keep,29,int,NA,NA,NA,11,11,11 to 11,1,0,once,NA,
X72J._Timepoint,inpatient_treatment_drug_5,South Asia,keep,32,int,NA,NA,NA,12,12,12 to 12,1,0,once,NA,
X72K._Timepoint,inpatient_treatment_drug_5,South Asia,keep,35,int,NA,NA,NA,13,13,13 to 13,1,0,once,NA,
X72L._Timepoint,inpatient_treatment_drug_5,South Asia,keep,38,int,NA,NA,NA,14,14,14 to 14,1,0,once,NA,
X72M._Timepoint,inpatient_treatment_drug_5,South Asia,keep,41,int,NA,NA,NA,15,15,15 to 15,1,0,once,NA,
X72N._Timepoint,inpatient_treatment_drug_5,South Asia,keep,44,int,NA,NA,NA,16,16,16 to 16,1,0,once,NA,
X73._Blood_pressure_._systolic,inpatient_care_chart_review,South Asia,keep,6,int,90,NA,NA,-88,230,-88 to 230,83,0,repeated,NA,(XXX mmHg)
X73A._Dose,inpatient_treatment_drug_5,South Asia,keep,6,int,NA,NA,NA,5,480,5 to 480,7,0,once,NA,
X73B._Dose,inpatient_treatment_drug_5,South Asia,keep,9,int,NA,NA,NA,5,480,5 to 480,5,0,once,NA,
X73C._Dose,inpatient_treatment_drug_5,South Asia,keep,12,int,NA,NA,NA,5,480,5 to 480,5,0,once,NA,
X73D._Dose,inpatient_treatment_drug_5,South Asia,keep,15,int,NA,NA,NA,5,480,5 to 480,5,0,once,NA,
X73E._Dose,inpatient_treatment_drug_5,South Asia,keep,18,int,NA,NA,NA,5,480,5 to 480,4,0,once,NA,
X73F._Dose,inpatient_treatment_drug_5,South Asia,keep,21,int,NA,NA,NA,5,480,5 to 480,4,0,once,NA,
X73G._Dose,inpatient_treatment_drug_5,South Asia,keep,24,int,NA,NA,NA,5,100,5 to 100,2,0,once,NA,
X73H._Dose,inpatient_treatment_drug_5,South Asia,keep,27,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X73I._Dose,inpatient_treatment_drug_5,South Asia,keep,30,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X73J._Dose,inpatient_treatment_drug_5,South Asia,keep,33,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X73K._Dose,inpatient_treatment_drug_5,South Asia,keep,36,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X73L._Dose,inpatient_treatment_drug_5,South Asia,keep,39,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X73M._Dose,inpatient_treatment_drug_5,South Asia,keep,42,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X73N._Dose,inpatient_treatment_drug_5,South Asia,keep,45,int,NA,NA,NA,5,5,5 to 5,1,0,once,NA,
X74._Blood_pressure_._diastolic,inpatient_care_chart_review,South Asia,keep,7,int,70,NA,NA,-88,120,-88 to 120,63,0,repeated,NA,(XXX mmHg)
X74A._Method,inpatient_treatment_drug_5,South Asia,keep,7,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74B._Method,inpatient_treatment_drug_5,South Asia,keep,10,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74C._Method,inpatient_treatment_drug_5,South Asia,keep,13,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74D._Method,inpatient_treatment_drug_5,South Asia,keep,16,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74E._Method,inpatient_treatment_drug_5,South Asia,keep,19,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74F._Method,inpatient_treatment_drug_5,South Asia,keep,22,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74G._Method,inpatient_treatment_drug_5,South Asia,keep,25,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74H._Method,inpatient_treatment_drug_5,South Asia,keep,28,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74I._Method,inpatient_treatment_drug_5,South Asia,keep,31,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74J._Method,inpatient_treatment_drug_5,South Asia,keep,34,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74K._Method,inpatient_treatment_drug_5,South Asia,keep,37,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74L._Method,inpatient_treatment_drug_5,South Asia,keep,40,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74M._Method,inpatient_treatment_drug_5,South Asia,keep,43,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X74N._Method,inpatient_treatment_drug_5,South Asia,keep,46,chr,NA,NA,NA,n/a,n/a,"02_-_PO, NA",1,0,once,NA,
X75._Heart_rate,inpatient_care_chart_review,South Asia,keep,8,int,110,NA,NA,-88,180,-88 to 180,87,0,repeated,NA,(XXX beats/min)
X76._Respiration_rate,inpatient_care_chart_review,South Asia,keep,9,int,22,NA,NA,-88,80,-88 to 80,43,0,repeated,NA,(XX breaths/min)
X77._Glascow_coma_score_._eye,inpatient_care_chart_review,South Asia,keep,10,int,4,NA,NA,-88,5,-88 to 5,6,0,repeated,NA,(1-4)
X78._Glascow_coma_score_._verbal,inpatient_care_chart_review,South Asia,keep,11,int,5,NA,NA,-88,5,-88 to 5,7,0,repeated,NA,(1-5)
X79._Glascow_coma_score_._motor,inpatient_care_chart_review,South Asia,keep,12,int,6,NA,NA,-88,6,-88 to 6,7,0,repeated,NA,(1-6)
X8._Date_enrolled,enrollment_form,South Asia,keep,8,chr,4/23/12,date?,%Y-%m-%d,n/a,n/a,>10 unique values,862,0.209662289,once,duplicated variable,
X8._Date_enrolled,enrollment_form_labkey_correctid,South Asia,NA,8,chr,4/23/12,date?,%Y-%m-%d,n/a,n/a,>10 unique values,1002,0,once,duplicated variable,NA
X80._Glascow_coma_score_._total,inpatient_care_chart_review,South Asia,keep,13,int,15,NA,NA,-88,15,-88 to 15,14,0,repeated,NA,(3-15)
X81._Blantyre_coma_score_._eye,inpatient_care_chart_review,South Asia,keep,14,int,-88,NA,NA,-88,1,-88 to 1,3,0,repeated,NA,(0-1)
X82._Blantyre_coma_score_._verbal,inpatient_care_chart_review,South Asia,keep,15,int,-88,NA,NA,-88,2,-88 to 2,4,0,repeated,NA,(0-2)
X83._Blantyre_coma_score_._motor,inpatient_care_chart_review,South Asia,keep,16,int,-88,NA,NA,-88,2,-88 to 2,4,0,repeated,NA,(0-2)
X84._Blantyre_coma_score_._total,inpatient_care_chart_review,South Asia,keep,17,int,-88,NA,NA,-88,5,-88 to 5,6,0,repeated,NA,(0-5)
X86._Hemoglobin,inpatient_care_chart_review,South Asia,keep,18,dbl,9.2,NA,NA,-88,19.4,-88 to 19.4,132,0,repeated,NA,(XX.X g/dl)
X87._Total_WBC_count,inpatient_care_chart_review,South Asia,keep,19,int,6500,NA,NA,-99,49000,-99 to 49000,211,0,repeated,NA,(XXXX units/mm^3)
X88._Hematocrit.PCV,inpatient_care_chart_review,South Asia,keep,20,dbl,28,NA,NA,-88,88,-88 to 88,240,0,repeated,NA,(XX %)
X89._Fasting_blood_sugar_level,inpatient_care_chart_review,South Asia,keep,21,dbl,-88,NA,NA,-88,523,-88 to 523,211,0,repeated,NA,(XXX mg %)
X9._Time_enrolled,enrollment_form,South Asia,keep,9,chr,0:00,NA,NA,n/a,n/a,>10 unique values,169,0.209662289,once,duplicated variable,
X9._Time_enrolled,enrollment_form_labkey_correctid,South Asia,NA,9,chr,0:00AM,NA,NA,n/a,n/a,>10 unique values,244,0,once,duplicated variable,NA
X90._Blood_urea,inpatient_care_chart_review,South Asia,keep,22,dbl,13,NA,NA,-88,469,-88 to 469,365,0,repeated,NA,(XX mg %)
X91._Serum_creatinine,inpatient_care_chart_review,South Asia,keep,23,dbl,0.5,NA,NA,-88,38,-88 to 38,291,0,repeated,NA,(X.X mg %)
X92._Serum_bilirubin_._total,inpatient_care_chart_review,South Asia,keep,24,dbl,1,NA,NA,-88,127,-88 to 127,309,0,repeated,NA,(X.X mg %)
X93._PO2,inpatient_care_chart_review,South Asia,keep,25,dbl,-88,NA,NA,-99,250,-99 to 250,337,0,repeated,NA,(XXX mmHg)
X94._Bicarbonates,inpatient_care_chart_review,South Asia,keep,26,dbl,-88,NA,NA,-99,98.8,-99 to 98.8,171,0,repeated,NA,(XX mmol/l)
X95._Platelet_count,inpatient_care_chart_review,South Asia,keep,27,dbl,90000,NA,NA,-88,4.00E+05,-88 to 4e+05,102,0,repeated,NA,platelets per uL blood
X96._Pulmonary_oedema,inpatient_care_chart_review,South Asia,keep,28,chr,02-No,NA,NA,n/a,n/a,"-88-Missing, 01-Yes, 02-No, NA",3,0,repeated,NA,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain"
X97._Enlarged_spleen,inpatient_care_chart_review,South Asia,keep,29,chr,02-No,NA,NA,n/a,n/a,"-88-Missing, -99-Uncertain, 01-Yes, 02-No, NA",4,0,repeated,NA,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain"
X98._Altered_levels_of_consciousness,inpatient_care_chart_review,South Asia,keep,30,chr,02-No,NA,NA,n/a,n/a,"-88-Missing, 01-Yes, 02-No",3,0,repeated,NA,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain"
X99._Abnormal_bleeding,inpatient_care_chart_review,South Asia,keep,31,chr,02-No,NA,NA,n/a,n/a,"-88-Missing, 01-Yes, 02-No, NA",3,0,repeated,NA,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain"
