order,uniqueVar,variable,dataFile,keepDiscard,notesforDL,codebookDescription,codebookValues,timeVaryng,duplicated,dateTime,flag,notesforOnt,type,example,minValue,maxValue,values,uniqueValueCount,percentMissing,In OWL FILE
139,F4A_TRIP_DAY,f4a_trip_day,vida_enrl.csv,keep,,"On average, how many trips do you and members from your Household has make to fetch water each day?",,,,NA,NA,GEMS,chr,1,n/a,n/a,>10 unique values,36,0.794083054,YES
140,F4A_TRIP_WEEK,f4a_trip_week,vida_enrl.csv,keep,,"On average, how many trips do you and members from your Household has make to fetch water each week? [If no trips are made, complete as ""00"".]",,,,NA,NA,GEMS,chr,2,n/a,n/a,>10 unique values,45,0.861304623,YES
214,F4A_VAX_CARD,f4a_vax_card,vida_enrl.csv,keep,,Immunization card:,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.563376459,YES
215,F4A_VAX_SOURCE,f4a_vax_source,vida_enrl.csv,keep,,"If immunization card was not available, was vaccine data available from another source?","N=No, 
D=Yes, DSS, 
R=Yes, RVS, 
Y=Yes, Other Specify",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1, 2, 3",5,0.972677101,YES
141,F4A_WATER_AVAIL,f4a_water_avail,vida_enrl.csv,keep,,"In the last two weeks, how often has water been available from this main source?","01=All the time, 
02=Several hours every day, 
03=A few times per week, 
04=Less frequent than a few times per week",,,NA,NA,GEMS,chr,2,n/a,n/a,"., 1, 2, 3, 4",5,0.562109834,YES
132,F4A_WATER_BORE,f4a_water_bore,vida_enrl.csv,keep,,Bore hole,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
131,F4A_WATER_BOUGHT,f4a_water_bought,vida_enrl.csv,keep,,"Bought (tank, bottles)","Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
118,F4A_WATER_COVPWELL,f4a_water_covpwell,vida_enrl.csv,keep,,Covered public well,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
116,F4A_WATER_COVWELL,f4a_water_covwell,vida_enrl.csv,keep,,Covered well house yard,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
127,F4A_WATER_DAM,f4a_water_dam,vida_enrl.csv,keep,,Dam or earth,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
129,F4A_WATER_DEEPWELL,f4a_water_deepwell,vida_enrl.csv,keep,,Deep tube well,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
115,F4A_WATER_HOUSE,f4a_water_house,vida_enrl.csv,keep,,Piped into house,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
133,F4A_WATER_OTHR,f4a_water_othr,vida_enrl.csv,keep,,Water source other,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
126,F4A_WATER_POND,f4a_water_pond,vida_enrl.csv,keep,,Pond or lake,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
120,F4A_WATER_PROSPRING,f4a_water_prospring,vida_enrl.csv,keep,,Protected spring,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
119,F4A_WATER_PUBTAP,f4a_water_pubtap,vida_enrl.csv,keep,,Public tap or standpipe,"Y, """"",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.562109834,YES
123,F4A_WATER_PUBWELL,f4a_water_pubwell,vida_enrl.csv,keep,,Open public well,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
128,F4A_WATER_RAIN,f4a_water_rain,vida_enrl.csv,keep,,Rainwater,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
124,F4A_WATER_RIV,f4a_water_riv,vida_enrl.csv,keep,,River,"Y, """"",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
130,F4A_WATER_SHALLWELL,f4a_water_shallwell,vida_enrl.csv,keep,,Shallow tube well,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
125,F4A_WATER_STR,f4a_water_str,vida_enrl.csv,keep,,Stream,"Y, """"",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
122,F4A_WATER_UNSPRING,f4a_water_unspring,vida_enrl.csv,keep,,Unprotected spring,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
121,F4A_WATER_WELL,f4a_water_well,vida_enrl.csv,keep,,Open well in house yard,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
117,F4A_WATER_YARD,f4a_water_yard,vida_enrl.csv,keep,,Piped into yard,"Y, """"",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
69,F4A_YNG_CHILDREN,f4a_yng_children,vida_enrl.csv,keep,,How many children younger than 60 months live in the Household has?,,,,NA,NA,GEMS,chr,8,n/a,n/a,>10 unique values,32,0.562109834,YES
307,F4B_ABN_HAIR,f4b_abn_hair,vida_enrl.csv,keep,,"Abnormal hair: sparse, loose, straight:","1=Absent, 2=Present",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
356,F4B_ADM_ADV,f4b_adm_adv,vida_enrl.csv,keep,,"13x. If ""No"", was it advised that the child be admitted to a hospital?","N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.680358274,YES
357,F4B_ADM_ADVSP,f4b_adm_advsp,vida_enrl.csv,keep,,"If Yes, specify:","1=Yes, but parent refused, 
2=Yes, referred to another hospital, 
3=Yes, but child died before admission",,,NA,NA,,chr,2,n/a,n/a,"., 1, 2",3,0.996923912,YES
355,F4B_ADMIT,f4b_admit,vida_enrl.csv,keep,,Was the child admitted to a hospital?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562471727,YES
306,F4B_BIPEDAL,f4b_bipedal,vida_enrl.csv,keep,,Bipedal edema [Both feet]:,"1=Absent, 2=Present",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
299,F4B_CAPIL,f4b_capil,vida_enrl.csv,keep,,Capillary refill,"1=Normal (<2 sec.), 
2=Slow (2-3 sec.), 
3=Very slow (>3 sec.)",,,NA,NA,,chr,1,n/a,n/a,"., 1, 2, 3",4,0.562109834,YES
300,F4B_CHEST_INDRW,f4b_chest_indrw,vida_enrl.csv,keep,,Chest indrawing,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
322,F4B_CHILD_COMP_REHYD,f4b_child_comp_rehyd,vida_enrl.csv,keep,,Was the child completely rehydrated?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1",3,0.875961277,YES
320,F4B_CHILD_EVAL,f4b_child_eval,vida_enrl.csv,keep,,Was the child evaluated after 4 hours?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.784221478,YES
335,F4B_CHILD_IV,f4b_child_iv,vida_enrl.csv,keep,,Does the child require additional oral/IV fluid for rehydration?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.875961277,YES
333,F4B_CHILD_OUTPUT,f4b_child_output,vida_enrl.csv,keep,,Was the total stool output within the last four hours measured?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.875961277,YES
332,F4B_CHILD_PURGE,f4b_child_purge,vida_enrl.csv,keep,,Does the child continue to purge large volumes of watery stool?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.875961277,YES
285,F4B_DATE,f4b_date,vida_enrl.csv,keep,,,,,,date?,NA,GEMS,date,5/11/2015,.,12/31/2017,. to 12/31/17,1008,0.562109834,YES
430,F4B_DATE_DEATH,f4b_date_death,vida_enrl.csv,keep,,"If the child died, what was the date of death:",,,,date?,NA,GEMS,date,9/29/2015,.,9/29/2015,. to 09/29/15,7,0.999457161,YES
428,F4B_DISCHARGE_DATE,f4b_discharge_date,vida_enrl.csv,keep,,Date of discharge:,,,,date?,NA,,date,5/11/2015,.,12/31/2017,. to 12/31/17,1023,0.562652673,YES
429,F4B_DISCHARGE_TIME,f4b_discharge_time,vida_enrl.csv,keep,,Time of discharge:,,,,NA,NA,,chr,12:26,n/a,n/a,>10 unique values,641,0.562652673,YES
301,F4B_EYES,f4b_eyes,vida_enrl.csv,keep,,Eyes,"1=Normal, 2=Sunken [Confirm with the mother that the eyes are more sunken than usual.]",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.562109834,YES
330,F4B_FIND_MOUTH,f4b_find_mouth,vida_enrl.csv,keep,,Mouth:,"1=Normal, 2=Somewhat dry, 3=Very dry",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1, 2",4,0.875961277,YES
327,F4B_FIND_MUAC1,f4b_find_muac1,vida_enrl.csv,keep,,MUAC:,,,,NA,NA,,chr,14.4,n/a,n/a,>10 unique values,88,0.875961277,YES
328,F4B_FIND_MUAC2,f4b_find_muac2,vida_enrl.csv,keep,,2nd:,,,,NA,NA,,chr,14.5,n/a,n/a,>10 unique values,87,0.875961277,YES
329,F4B_FIND_MUAC3,f4b_find_muac3,vida_enrl.csv,keep,,3rd:,,,,NA,NA,,chr,14.4,n/a,n/a,>10 unique values,87,0.876051751,YES
331,F4B_FIND_SKIN_PINCH,f4b_find_skin_pinch,vida_enrl.csv,keep,,Skin pinch:,"1=Normal, 2=Slow return [? 2 sec.], 3=Very slow [>2 sec.]",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1, 2",4,0.875961277,YES
326,F4B_FIND_WT,f4b_find_wt,vida_enrl.csv,keep,,24-59 months old: (Weight of child alone):,Weight of child,,,NA,NA,GEMS,chr,9.6,n/a,n/a,>10 unique values,106,0.966796345,YES
324,F4B_FIND_WT_CARE,f4b_find_wt_care,vida_enrl.csv,keep,,Weight of caretaker,Weight of caretaker,,,NA,NA,GEMS,chr,107.7,n/a,n/a,>10 unique values,366,0.909164933,YES
323,F4B_FIND_WT_CHILD,f4b_find_wt_child,vida_enrl.csv,keep,,Weight of caretaker+child,Weight of caretaker+child,,,NA,NA,GEMS,chr,115.6,n/a,n/a,>10 unique values,383,0.909164933,YES
359,F4B_HOSP,f4b_hosp,vida_enrl.csv,keep,,Is the child still in hospital > 60 days?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.977291233,YES
290,F4B_HT1,f4b_ht1,vida_enrl.csv,keep,,0-23 month first height,,,,NA,NA,GEMS,chr,68.7,n/a,n/a,>10 unique values,532,0.562109834,YES
291,F4B_HT2,f4b_ht2,vida_enrl.csv,keep,,0-23 month second height,,,,NA,NA,GEMS,chr,68.6,n/a,n/a,>10 unique values,541,0.562109834,YES
292,F4B_HT3,f4b_ht3,vida_enrl.csv,keep,,0-23 month third height,,,,NA,NA,GEMS,chr,68.5,n/a,n/a,>10 unique values,537,0.562109834,YES
304,F4B_MENTAL,f4b_mental,vida_enrl.csv,keep,,Mental status,"1=Normal, 2=Restless, irritable, 3=Lethargic/unconscious",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1, 2",4,0.562109834,YES
302,F4B_MOUTH,f4b_mouth,vida_enrl.csv,keep,,Mouth,"1=Normal, 2=Somewhat dry, 3=Very dry",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1, 2",4,0.562109834,YES
293,F4B_MUAC1,f4b_muac1,vida_enrl.csv,keep,,First MUAC,,,,NA,NA,GEMS,chr,13.4,n/a,n/a,>10 unique values,93,0.562109834,YES
294,F4B_MUAC2,f4b_muac2,vida_enrl.csv,keep,,Second MUAC,,,,NA,NA,GEMS,chr,13.5,n/a,n/a,>10 unique values,93,0.562109834,YES
295,F4B_MUAC3,f4b_muac3,vida_enrl.csv,keep,,Third MUAC,,,,NA,NA,GEMS,chr,13.2,n/a,n/a,>10 unique values,92,0.562200308,YES
311,F4B_NATURE_STOOL,f4b_nature_stool,vida_enrl.csv,keep,,"If ""Yes"", what was the nature of the stool?","1 = 'Loose/liquid stool without blood', 
2 = 'Loose/liquid stool with blood', 
3 = 'Normal stool'",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1, 2",4,0.563285986,YES
310,F4B_OBSERVE_STOOL,f4b_observe_stool,vida_enrl.csv,keep,,Did either the interviewer or the study staff observe a stool sample from this child?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.562109834,YES
351,F4B_OUT_MUAC1,f4b_out_muac1,vida_enrl.csv,keep,,MUAC:,,,,NA,NA,,chr,11.3,n/a,n/a,>10 unique values,68,0.968424862,YES
352,F4B_OUT_MUAC2,f4b_out_muac2,vida_enrl.csv,keep,,2nd:,,,,NA,NA,,chr,11.5,n/a,n/a,>10 unique values,69,0.968424862,YES
353,F4B_OUT_MUAC3,f4b_out_muac3,vida_enrl.csv,keep,,3rd:,,,,NA,NA,,chr,11.4,n/a,n/a,>10 unique values,69,0.968424862,YES
349,F4B_OUT_WT,f4b_out_wt,vida_enrl.csv,keep,,24-59 months old: (Weight of child alone):,,,,NA,NA,GEMS,chr,9.6,n/a,n/a,>10 unique values,58,0.99059079,YES
347,F4B_OUT_WT_CARE,f4b_out_wt_care,vida_enrl.csv,keep,,Weight of caretaker,,,,NA,NA,GEMS,chr,47.9,n/a,n/a,>10 unique values,178,0.977653126,YES
346,F4B_OUT_WT_CHILD,f4b_out_wt_child,vida_enrl.csv,keep,,0-23 months old: (Weight of caretaker with and without child):,,,,NA,NA,GEMS,chr,54.4,n/a,n/a,>10 unique values,183,0.977653126,YES
427,F4B_OUTCOME,f4b_outcome,vida_enrl.csv,keep,,Outcome when leaving hospital/health center.,"1=Resolved or healthy, 
2=Improved, 
3=No better, 
4=Worse, 
5=Died in hospital/health center, 
6=Unknown/lost to follow up",,,NA,NA,GEMS,chr,3,n/a,n/a,"., 1, 2, 3, 4, 5, 6",7,0.562109834,YES
364,F4B_OUTCOME_BACT,f4b_outcome_bact,vida_enrl.csv,keep,,Bacterial infection,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
358,F4B_OUTCOME_DAYS,f4b_outcome_days,vida_enrl.csv,keep,,"If admitted to the hospital, for how many days?",,,,NA,NA,GEMS,chr,1,n/a,n/a,>10 unique values,12,0.977291233,YES
360,F4B_OUTCOME_DRH,f4b_outcome_drh,vida_enrl.csv,keep,,Diarrhea,"Y=Answer selected, 'Null'=Not selected",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.565185922,YES
361,F4B_OUTCOME_DYS,f4b_outcome_dys,vida_enrl.csv,keep,,Dysentery,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
365,F4B_OUTCOME_MALA,f4b_outcome_mala,vida_enrl.csv,keep,,Malaria,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
366,F4B_OUTCOME_MLNT,f4b_outcome_mlnt,vida_enrl.csv,keep,,Malnutrition,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
363,F4B_OUTCOME_MNGTS,f4b_outcome_mngts,vida_enrl.csv,keep,,Meningitis,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
368,F4B_OUTCOME_OTHR,f4b_outcome_othr,vida_enrl.csv,keep,,Other,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
362,F4B_OUTCOME_PNEU,f4b_outcome_pneu,vida_enrl.csv,keep,,Pneumonia,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.565185922,YES
367,F4B_OUTCOME_TYPHOID,f4b_outcome_typhoid,vida_enrl.csv,keep,,Typhoid,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.565185922,YES
313,F4B_RECEIV_REQ,f4b_receiv_req,vida_enrl.csv,keep,,Did the child receive recommended rehydration at this hospital/health center?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.57794264,YES
305,F4B_RECTAL,f4b_rectal,vida_enrl.csv,keep,,Rectal prolapse,"1=Absent, 2=Present",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
337,F4B_REHYD_DATE,f4b_rehyd_date,vida_enrl.csv,keep,,Date of completed rehydration:,,,,date?,NA,GEMS,date,9/15/2015,.,12/23/2015,. to 12/23/15,114,0.988148014,YES
336,F4B_REHYD_HOSP,f4b_rehyd_hosp,vida_enrl.csv,keep,,Was the child completely rehydrated in the hospital?,"N=No, Y=Yes (0=No, 1=Yes)",,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.976205555,YES
343,F4B_REHYD_MUAC1,f4b_rehyd_muac1,vida_enrl.csv,keep,,MUAC:,,,,NA,NA,,chr,11,n/a,n/a,>10 unique values,56,0.988148014,YES
344,F4B_REHYD_MUAC2,f4b_rehyd_muac2,vida_enrl.csv,keep,,2nd:,,,,NA,NA,,chr,11.2,n/a,n/a,>10 unique values,53,0.988148014,YES
345,F4B_REHYD_MUAC3,f4b_rehyd_muac3,vida_enrl.csv,keep,,3rd:,,,,NA,NA,,chr,11,n/a,n/a,>10 unique values,55,0.988148014,YES
314,F4B_REHYD_REC,f4b_rehyd_rec,vida_enrl.csv,keep,,IV or oral rehydration,"1=Received IV rehydration at this center, 
2=Received oral rehydration at this center, 
3=Received both oral and IV rehydration at this center",,,NA,NA,,chr,2,n/a,n/a,"., 1, 2, 3",4,0.784221478,YES
315,F4B_REHYD_REF,f4b_rehyd_ref,vida_enrl.csv,keep,,Not rehydrated reason,"1=Referred to another center, 
2=Parents refused, 
3=Prescribed ORS for use at home",,,NA,NA,,chr,3,n/a,n/a,"., 1, 2, 3",4,0.793721162,YES
316,F4B_REHYD_START_DATE,f4b_rehyd_start_date,vida_enrl.csv,keep,,Start date,,,,date?,NA,,date,5/11/2015,.,12/31/2016,. to 12/31/16,838,0.784221478,YES
317,F4B_REHYD_START_TIME,f4b_rehyd_start_time,vida_enrl.csv,keep,,Start time,,,,NA,NA,,chr,20:40,n/a,n/a,>10 unique values,419,0.784221478,YES
318,F4B_REHYD_STOP_DATE,f4b_rehyd_stop_date,vida_enrl.csv,keep,,Stop date,,,,date?,NA,,date,5/11/2015,.,12/31/2016,. to 12/31/16,851,0.784221478,YES
319,F4B_REHYD_STOP_TIME,f4b_rehyd_stop_time,vida_enrl.csv,keep,,Stop time,,,,NA,NA,,chr,23:50,n/a,n/a,>10 unique values,473,0.784221478,YES
338,F4B_REHYD_TIME,f4b_rehyd_time,vida_enrl.csv,keep,,Time of completed rehydration:,,,,NA,NA,GEMS,chr,12:15,n/a,n/a,>10 unique values,91,0.988148014,YES
342,F4B_REHYD_WT,f4b_rehyd_wt,vida_enrl.csv,keep,,24-59 months old: (Weight of child alone):,24-59 months old: (Weight of child alone):,,,NA,NA,GEMS,chr,8,n/a,n/a,>10 unique values,27,0.997014385,YES
340,F4B_REHYD_WT_CARE,f4b_rehyd_wt_care,vida_enrl.csv,keep,,Weight of caretaker,Caretaker alone:,,,NA,NA,GEMS,chr,45.6,n/a,n/a,>10 unique values,85,0.991224102,YES
339,F4B_REHYD_WT_CHILD,f4b_rehyd_wt_child,vida_enrl.csv,keep,,0-23 months old: (Weight of caretaker with and without child):,0-23 months old: (Weight of caretaker with and without child):,,,NA,NA,GEMS,chr,49.9,n/a,n/a,>10 unique values,87,0.991224102,YES
312,F4B_REQ_REHYD,f4b_req_rehyd,vida_enrl.csv,keep,,Does the child require rehydration?,"1 = 'No', 
2 = 'Yes, oral rehydration', 
3 = 'Yes, IV rehydration', 
4 = 'Yes, both IV and oral rehydration'",,,NA,NA,,chr,1,n/a,n/a,"., 0, 1, 2, 3",5,0.562109834,YES
297,F4B_RESP1,f4b_resp1,vida_enrl.csv,keep,,First respiratory rate,,,,NA,NA,GEMS,chr,48,n/a,n/a,>10 unique values,60,0.562109834,YES
298,F4B_RESP2,f4b_resp2,vida_enrl.csv,keep,,Second respiratory rate,,,,NA,NA,GEMS,chr,51,n/a,n/a,>10 unique values,62,0.562109834,YES
303,F4B_SKIN,f4b_skin,vida_enrl.csv,keep,,Skin pinch,"1=Normal, 2=Slow return [? 2 sec.], 3=Very slow [>2 sec.]",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1, 2",4,0.562109834,YES
309,F4B_SKIN_FLAKY,f4b_skin_flaky,vida_enrl.csv,keep,,Skin has 'flaky paint' appearance:,"1=Absent, 2=Present",,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.562109834,YES
296,F4B_TEMP,f4b_temp,vida_enrl.csv,keep,,Axillary temperature,,,,NA,NA,GEMS,chr,36.7,n/a,n/a,>10 unique values,56,0.562109834,YES
391,F4B_TRT_GIVE_AMOX,f4b_trt_give_amox,vida_enrl.csv,keep,,Amoxycillin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
397,F4B_TRT_GIVE_AMPI,f4b_trt_give_ampi,vida_enrl.csv,keep,,Ampicillin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
413,F4B_TRT_GIVE_ANTI,f4b_trt_give_anti,vida_enrl.csv,keep,,Antimalarial center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
385,F4B_TRT_GIVE_AZI,f4b_trt_give_azi,vida_enrl.csv,keep,,Azithromycin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
393,F4B_TRT_GIVE_CEF,f4b_trt_give_cef,vida_enrl.csv,keep,,Ceftriaxone center,,,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
381,F4B_TRT_GIVE_CHLOR,f4b_trt_give_chlor,vida_enrl.csv,keep,,Chloramphenicol center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
395,F4B_TRT_GIVE_CIP,f4b_trt_give_cip,vida_enrl.csv,keep,,Cephalosporin center,,,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
401,F4B_TRT_GIVE_CPNR,f4b_trt_give_cpnr,vida_enrl.csv,keep,,Ciprofloxacin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
377,F4B_TRT_GIVE_CXL,f4b_trt_give_cxl,vida_enrl.csv,keep,,Cotrimoxazole center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
383,F4B_TRT_GIVE_ERY,f4b_trt_give_ery,vida_enrl.csv,keep,,Erythromycin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
405,F4B_TRT_GIVE_FLAG,f4b_trt_give_flag,vida_enrl.csv,keep,,Metronidazole center,,,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
379,F4B_TRT_GIVE_GENT,f4b_trt_give_gent,vida_enrl.csv,keep,,Gentamycin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
411,F4B_TRT_GIVE_HOME,f4b_trt_give_home,vida_enrl.csv,keep,,Homemade fluid center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.566452547,YES
373,F4B_TRT_GIVE_IV,f4b_trt_give_iv,vida_enrl.csv,keep,,IV center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
387,F4B_TRT_GIVE_MACR,f4b_trt_give_macr,vida_enrl.csv,keep,,Other macrolides center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.566452547,YES
399,F4B_TRT_GIVE_NALID,f4b_trt_give_nalid,vida_enrl.csv,keep,,Nalidixic acid center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
371,F4B_TRT_GIVE_ORS,f4b_trt_give_ors,vida_enrl.csv,keep,,ORS center,,,,NA,NA,GEMS,chr,1,n/a,n/a,"., 0, 1",3,0.566452547,YES
407,F4B_TRT_GIVE_OTHR,f4b_trt_give_othr,vida_enrl.csv,keep,,"Other antibiotic, center",,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
415,F4B_TRT_GIVE_OTHR1,f4b_trt_give_othr1,vida_enrl.csv,keep,,Other medicine center 1,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
419,F4B_TRT_GIVE_OTHR2,f4b_trt_give_othr2,vida_enrl.csv,keep,,Other medicine center 2,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
423,F4B_TRT_GIVE_OTHR3,f4b_trt_give_othr3,vida_enrl.csv,keep,,Other medicine center 3,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
389,F4B_TRT_GIVE_PEN,f4b_trt_give_pen,vida_enrl.csv,keep,,Penicillin center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
403,F4B_TRT_GIVE_SLPY,f4b_trt_give_slpy,vida_enrl.csv,keep,,Selexid center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
375,F4B_TRT_GIVE_ZINC,f4b_trt_give_zinc,vida_enrl.csv,keep,,Zinc center,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
426,F4B_TRT_NONE,f4b_trt_none,vida_enrl.csv,keep,,None prescribed,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0",2,0.566452547,YES
390,F4B_TRT_PRES_AMOX,f4b_trt_pres_amox,vida_enrl.csv,keep,,Amoxycillin home,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
396,F4B_TRT_PRES_AMPI,f4b_trt_pres_ampi,vida_enrl.csv,keep,,Ampicillin home,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
412,F4B_TRT_PRES_ANTI,f4b_trt_pres_anti,vida_enrl.csv,keep,,Antimalarial home,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
384,F4B_TRT_PRES_AZI,f4b_trt_pres_azi,vida_enrl.csv,keep,,Azithromycin home,,,,NA,NA,GEMS,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
392,F4B_TRT_PRES_CEF,f4b_trt_pres_cef,vida_enrl.csv,keep,,Ceftriaxone home,,,,NA,NA,,chr,0,n/a,n/a,"., 0, 1",3,0.566452547,YES
