variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
lcontra2,BC-3 mothers delivery database FINAL,keep,,Strength of contractions2,"0=Mild,
1=Moderate,
2=Strong",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lcontra2
lcontra3,BC-3 mothers delivery database FINAL,keep,,Strength of contractions3,"0=Mild,
1=Moderate,
2=Strong",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lcontra3
lcontra4,BC-3 mothers delivery database FINAL,keep,,Strenght of contractions4,"0=Mild,
1=Moderate,
2=Strong",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lcontra4
lcontra5,BC-3 mothers delivery database FINAL,keep,,Strenght of contractions5,"0=Mild,
1=Moderate,
2=Strong",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lcontra5
lcontra6,BC-3 mothers delivery database FINAL,discard,,Strenght of contractions6,"0=Mild,
1=Moderate,
2=Strong",NA,,,,All NA's,BC-3 mothers delivery database FINAL::lcontra6
lcontra7,BC-3 mothers delivery database FINAL,discard,,Strenght of contractions7,"0=Mild,
1=Moderate,
2=Strong",NA,,,,All NA's,BC-3 mothers delivery database FINAL::lcontra7
ldate1,BC-3 mothers delivery database FINAL,keep,,Date1,date,NA,,,,,BC-3 mothers delivery database FINAL::ldate1
ldate2,BC-3 mothers delivery database FINAL,keep,,Date2,date,NA,,,,,BC-3 mothers delivery database FINAL::ldate2
ldate3,BC-3 mothers delivery database FINAL,keep,,Date3,date,NA,,,,,BC-3 mothers delivery database FINAL::ldate3
ldate4,BC-3 mothers delivery database FINAL,keep,,Date4,date,NA,,,,,BC-3 mothers delivery database FINAL::ldate4
ldate5,BC-3 mothers delivery database FINAL,keep,,Date5,date,NA,,,,,BC-3 mothers delivery database FINAL::ldate5
ldate6,BC-3 mothers delivery database FINAL,discard,,Date6,date,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ldate6
ldate7,BC-3 mothers delivery database FINAL,discard,,Date7,date,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ldate7
ldhead1,BC-3 mothers delivery database FINAL,keep,,Descent of head1,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ldhead1
ldhead2,BC-3 mothers delivery database FINAL,keep,,Descent of head2,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ldhead2
ldhead3,BC-3 mothers delivery database FINAL,keep,,Descent of head3,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ldhead3
ldhead4,BC-3 mothers delivery database FINAL,keep,,Descent of head4,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ldhead4
ldhead5,BC-3 mothers delivery database FINAL,keep,,Descent of head5,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ldhead5
ldhead6,BC-3 mothers delivery database FINAL,discard,,Descent of head6,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ldhead6
ldhead7,BC-3 mothers delivery database FINAL,discard,,Descent of head7,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ldhead7
letha,BC-3 childs all visit database FINAL,keep,,Lethargy,1=checked,NA,,,,,BC-3 childs all visit database FINAL::letha
lfheart1,BC-3 mothers delivery database FINAL,keep,,Fetal heart tones1,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lfheart1
lfheart2,BC-3 mothers delivery database FINAL,keep,,Fetal heart tones2,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lfheart2
lfheart3,BC-3 mothers delivery database FINAL,keep,,Fetal heart tones3,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lfheart3
lfheart4,BC-3 mothers delivery database FINAL,keep,,Fetal heart tones4,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lfheart4
lfheart5,BC-3 mothers delivery database FINAL,keep,,Fetal heart tones5,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lfheart5
lfheart6,BC-3 mothers delivery database FINAL,discard,,Fetal heart tones6,"0=No,
1=Yes",NA,,,,All NA's,BC-3 mothers delivery database FINAL::lfheart6
lfheart7,BC-3 mothers delivery database FINAL,discard,,Fetal heart tones7,"0=No,
1=Yes",NA,,,,All NA's,BC-3 mothers delivery database FINAL::lfheart7
lhrate1,BC-3 mothers delivery database FINAL,keep,,Heart rate1,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lhrate1
lhrate2,BC-3 mothers delivery database FINAL,keep,,Heart rate2,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lhrate2
lhrate3,BC-3 mothers delivery database FINAL,keep,,Heart rate3,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lhrate3
lhrate4,BC-3 mothers delivery database FINAL,keep,,Heart rate4,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lhrate4
lhrate5,BC-3 mothers delivery database FINAL,discard,,Heart rate5,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::lhrate5
lhrate6,BC-3 mothers delivery database FINAL,discard,,Heart rate6,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::lhrate6
lhrate7,BC-3 mothers delivery database FINAL,discard,,Heart rate7,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::lhrate7
lmemb1,BC-3 mothers delivery database FINAL,keep,,Rupture of membranes1,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lmemb1
lmemb2,BC-3 mothers delivery database FINAL,keep,,Rupture of membranes2,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lmemb2
lmemb3,BC-3 mothers delivery database FINAL,keep,,Rupture of membranes3,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lmemb3
lmemb4,BC-3 mothers delivery database FINAL,keep,,Rupture of membranes4,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lmemb4
lmemb5,BC-3 mothers delivery database FINAL,keep,,Rupture of membranes5,"0=No,
1=Yes",NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::lmemb5
lmemb6,BC-3 mothers delivery database FINAL,discard,,Rupture of membranes6,"0=No,
1=Yes",NA,,,,All NA's,BC-3 mothers delivery database FINAL::lmemb6
lmemb7,BC-3 mothers delivery database FINAL,discard,,Rupture of membranes7,"0=No,
1=Yes",NA,,,,All NA's,BC-3 mothers delivery database FINAL::lmemb7
locat1,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat1
locat2,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat2
locat3,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat3
locat4,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat4
locat5,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat5
locat6,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat6
locat7,BC-3 enrollment database FINAL,keep,,Location,"0=Home,
1=Health Facility",NA,,,,,BC-3 enrollment database FINAL::locat7
locationdelivery,Individual level database FINAL,discard,,Location of delivery,"1=Health Facility, 2=Home",NA,,,,DROP - Use delivery,Individual level database FINAL::locationdelivery
lod,BC-3 mothers delivery database FINAL,keep,,Location of delivery,"1=Masafu Hospital,2=TDH,3=Home,4=Other",NA,,,,,BC-3 mothers delivery database FINAL::lod
loedema1,BC-3 mothers delivery database FINAL,keep,,Oedema1,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::loedema1
loedema2,BC-3 mothers delivery database FINAL,keep,,Oedema2,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::loedema2
loedema3,BC-3 mothers delivery database FINAL,keep,,Oedema3,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::loedema3
loedema4,BC-3 mothers delivery database FINAL,keep,,Oedema4,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::loedema4
loedema5,BC-3 mothers delivery database FINAL,discard,,Oedema5,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::loedema5
loedema6,BC-3 mothers delivery database FINAL,discard,,Oedema6,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::loedema6
loedema7,BC-3 mothers delivery database FINAL,discard,,Oedema7,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::loedema7
ltemp1,BC-3 mothers delivery database FINAL,keep,,Temp1,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltemp1
ltemp2,BC-3 mothers delivery database FINAL,discard,,Temp2,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltemp2
ltemp3,BC-3 mothers delivery database FINAL,keep,,Temp3,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltemp3
ltemp4,BC-3 mothers delivery database FINAL,keep,,Temp4,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltemp4
ltemp5,BC-3 mothers delivery database FINAL,discard,,Temp5,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltemp5
ltemp6,BC-3 mothers delivery database FINAL,discard,,Temp6,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltemp6
ltemp7,BC-3 mothers delivery database FINAL,discard,,Temp7,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltemp7
ltimehrs1,BC-3 mothers delivery database FINAL,keep,,Time1:Hours,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimehrs1
ltimehrs2,BC-3 mothers delivery database FINAL,keep,,Time2:Hours,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimehrs2
ltimehrs3,BC-3 mothers delivery database FINAL,keep,,Time3:Hours,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimehrs3
ltimehrs4,BC-3 mothers delivery database FINAL,keep,,Time4:Hours,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimehrs4
ltimehrs5,BC-3 mothers delivery database FINAL,keep,,Time5:Hours,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimehrs5
ltimehrs6,BC-3 mothers delivery database FINAL,discard,,Time6:Hours,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltimehrs6
ltimehrs7,BC-3 mothers delivery database FINAL,discard,,Time7:Hours,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltimehrs7
ltimemin1,BC-3 mothers delivery database FINAL,keep,,Time1: Minutes,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimemin1
ltimemin2,BC-3 mothers delivery database FINAL,keep,,Time2: Minutes,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimemin2
ltimemin3,BC-3 mothers delivery database FINAL,keep,,Time3: Minutes,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimemin3
ltimemin4,BC-3 mothers delivery database FINAL,keep,,Time4: Minutes,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimemin4
ltimemin5,BC-3 mothers delivery database FINAL,keep,,Time5: Minutes,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::ltimemin5
ltimemin6,BC-3 mothers delivery database FINAL,discard,,Time6: Minutes,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltimemin6
ltimemin7,BC-3 mothers delivery database FINAL,discard,,Time7: Minutes,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::ltimemin7
luprotein1,BC-3 mothers delivery database FINAL,keep,,Urine protein1,,NA,,,,,BC-3 mothers delivery database FINAL::luprotein1
luprotein2,BC-3 mothers delivery database FINAL,keep,,Urine protein2,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::luprotein2
luprotein3,BC-3 mothers delivery database FINAL,keep,,Urine protein3,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::luprotein3
luprotein4,BC-3 mothers delivery database FINAL,keep,,Urine protein4,,NA,,,,Flagged as within visit longitudinal,BC-3 mothers delivery database FINAL::luprotein4
luprotein5,BC-3 mothers delivery database FINAL,discard,,Urine protein5,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::luprotein5
luprotein6,BC-3 mothers delivery database FINAL,discard,,Urine protein6,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::luprotein6
luprotein7,BC-3 mothers delivery database FINAL,discard,,Urine protein7,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::luprotein7
m20wks,BC-3 enrollment database FINAL,discard,,Is mother 20 weeks of gestation today?,"0 = No,
1=Yes",NA,,,,DROP - not of interest,BC-3 enrollment database FINAL::m20wks
mal0to12,BC-3 children individual level database FINAL,discard,,(sum) mal0to12,,NA,,,,,BC-3 children individual level database FINAL::mal0to12
mal0to3,BC-3 children individual level database FINAL,discard,,(sum) mal0to3,,NA,,,,,BC-3 children individual level database FINAL::mal0to3
mal3to9,BC-3 children individual level database FINAL,discard,,(sum) mal3to9,,NA,,,,,BC-3 children individual level database FINAL::mal3to9
mal9to12,BC-3 children individual level database FINAL,discard,,(sum) mal9to12,,NA,,,,,BC-3 children individual level database FINAL::mal9to12
malaiseae,Individual level database FINAL,discard,,(sum) malaiseAE,"0,1,2,3",NA,,,,aggregate observation data,Individual level database FINAL::malaiseae
malaria,BC-3 mothers expanded database FINAL,discard,,Malaria diagnosed today,"0=No,1=Yes",NA,,,,,BC-3 mothers expanded database FINAL::malaria
malaria,Individual level database FINAL,keep,,Episodes of malaria,"0,1,2",NA,,,,,Individual level database FINAL::malaria
malariadays,Individual level database FINAL,discard,,Days at risk for malaria,,NA,,,,,Individual level database FINAL::malariadays
malariafuday,BC-3 childs expanded database FINAL,discard,,Malaria follow-up day,,NA,,,,,BC-3 childs expanded database FINAL::malariafuday
matbsdich,BC-3 childs expanded database FINAL,discard,,Number of positive routine BS during pregnancy,"0,1,2,3,4,5,6,7",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::matbsdich
matbsdich,BC-3 children individual level database FINAL,keep,,Number of positive routine BS during pregnancy,,NA,,,,aggregate observation data,BC-3 children individual level database FINAL::matbsdich
matbsdone,BC-3 childs expanded database FINAL,discard,,Total number of routine BS during pregnancy,"3,4,5,6,7,8",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::matbsdone
matbsdone,BC-3 children individual level database FINAL,keep,,Total number of routine BS during pregnancy,"3,4,5,6,7,8",NA,,,,,BC-3 children individual level database FINAL::matbsdone
matdaysrisk,BC-3 childs expanded database FINAL,discard,,Mother's days at risk for malaria during pregnancy,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::matdaysrisk
matdaysrisk,BC-3 children individual level database FINAL,discard,,Mother's days at risk for malaria during pregnancy,,NA,,,,,BC-3 children individual level database FINAL::matdaysrisk
matmalaria,BC-3 childs expanded database FINAL,discard,,Episodes of malaria during pregnancy,"0,1,2,3",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::matmalaria
matmalaria,BC-3 children individual level database FINAL,keep,,Episodes of malaria during pregnancy,"0,1,2,3",NA,,,,,BC-3 children individual level database FINAL::matmalaria
matmalincidence,BC-3 childs expanded database FINAL,discard,,Incidence of malaria PPY during pregnancy,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::matmalincidence
matmalincidence,BC-3 children individual level database FINAL,keep,,Incidence of malaria PPY during pregnancy,,NA,,,,,BC-3 children individual level database FINAL::matmalincidence
matpp,BC-3 childs expanded database FINAL,discard,,Parasite prevalence by microscopy during pregnancy,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::matpp
matpp,BC-3 children individual level database FINAL,keep,,Parasite prevalence by microscopy during pregnancy,,NA,,,,,BC-3 children individual level database FINAL::matpp
mboat,BC3_Household_Survey_Data,keep,,a boat with a motor?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::mboat
mconsent,BC-3 screening database FINAL,discard,,Mother's willingness to provide informed consent for herself and her unborn chil,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::mconsent
mdeath,BC-3 childs deaths FINAL,keep,,Was subjects death related to malaria,"0=No,
1=Definitely,
2=Probably,
3=Possibly,
9=unknown        ",NA,,,,,BC-3 childs deaths FINAL::mdeath
med1,BC-3 mothers all visits database FINAL,keep,,Any medications outside the study since last seen,,NA,,,,,BC-3 mothers all visits database FINAL::med1
med1,BC-3 mothers delivery database FINAL,keep,,Any medications outside the study since last seen,,NA,,,,,BC-3 mothers delivery database FINAL::med1
med1,BC-3 childs all visit database FINAL,keep,,Medication1,,NA,,,,,BC-3 childs all visit database FINAL::med1
med2,BC-3 mothers all visits database FINAL,keep,,Any medications outside the study since last seen,,NA,,,,,BC-3 mothers all visits database FINAL::med2
med2,BC-3 mothers delivery database FINAL,discard,,Any medications outside the study since last seen,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::med2
med2,BC-3 childs all visit database FINAL,keep,,Medication2,,NA,,,,,BC-3 childs all visit database FINAL::med2
med3,BC-3 mothers all visits database FINAL,discard,,Any medications outside the study since last seen,,NA,,,,All NA's,BC-3 mothers all visits database FINAL::med3
med3,BC-3 mothers delivery database FINAL,discard,,Any medications outside the study since last seen,,NA,,,,All NA's,BC-3 mothers delivery database FINAL::med3
med3,BC-3 childs all visit database FINAL,keep,,Medication3,,NA,,,,,BC-3 childs all visit database FINAL::med3
med4,BC-3 mothers all visits database FINAL,discard,,Any medications outside the study since last seen,,NA,,,,All NA's,BC-3 mothers all visits database FINAL::med4
med4,BC-3 childs all visit database FINAL,keep,,Medication 4,,NA,,,,,BC-3 childs all visit database FINAL::med4
mhosp,BC-3 mothers all visits database FINAL,keep,,was the mother hospitalized today,"0=No,
1=Yes",NA,,,,,BC-3 mothers all visits database FINAL::mhosp
mmewalls,BC3_Household_Survey_Data,keep,,main material of the exterior walls.,"mud and poles, burnt bricks with plaster/cement",NA,,,,,BC3_Household_Survey_Data::mmewalls
mmewallsdich,BC3_Household_Survey_Data,keep,,Materials used for walls,"0=thatched or mud, 1= plaster or cement",NA,,,,,BC3_Household_Survey_Data::mmewallsdich
mmfloor,BC3_Household_Survey_Data,keep,,main material of the floor,"Earth or sand, earth and dung, parquet or polished wood, cement, stones, others, skipped",NA,,,,,BC3_Household_Survey_Data::mmfloor
mmfloordich,BC3_Household_Survey_Data,keep,,Materials used for floor,"0=Earth, 1=Concrete/wood/stones",NA,,,,,BC3_Household_Survey_Data::mmfloordich
mmroof,BC3_Household_Survey_Data,keep,,main material of the roof.,"Thatched,mud,wood/planks,iron sheets,asbestos,other, skipped",NA,,,,,BC3_Household_Survey_Data::mmroof
mmroofdich,BC3_Household_Survey_Data,keep,,Materials used for roof,"0=Thatched, 1=Iron sheets/wood",NA,,,,,BC3_Household_Survey_Data::mmroofdich
mnths1,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net1?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths1
mnths10,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net10?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths10
mnths2,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net2?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths2
mnths3,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net3?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths3
mnths4,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net4?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths4
mnths5,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net5?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths5
mnths6,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net6?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths6
mnths7,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net7?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths7
mnths8,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net8?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths8
mnths9,BC3_Household_Survey_Data,discard,,how many months ago did your household obtain the mosquito net9?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::mnths9
mobile,BC3_Household_Survey_Data,keep,,mobile phone?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::mobile
mod,BC-3 mothers delivery database FINAL,keep,,Mode of delivery,"1=Vaginal, 
2=Cesarean",NA,,,,,BC-3 mothers delivery database FINAL::mod
mode1,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode1
mode2,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode2
mode3,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode3
mode4,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode4
mode5,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode5
mode6,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode6
mode7,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",NA,,,,,BC-3 enrollment database FINAL::mode7
mortality,BC-3 children individual level database FINAL,discard,,(sum) mortality,,NA,,,,,BC-3 children individual level database FINAL::mortality
motherbsdich,BC-3 mothers delivery database FINAL,keep,,maternal peripheral BS dichotomized,"0,1,2",NA,,,,,BC-3 mothers delivery database FINAL::motherbsdich
motherbsdich,Individual level database FINAL,discard,,maternal peripheral BS dichotomized,"0,1,2",NA,,,,DROP - Use delivery,Individual level database FINAL::motherbsdich
motherbsdich,BC-3 childs expanded database FINAL,discard,,maternal peripheral BS dichotomized,"0,1,2",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::motherbsdich
motherbsdich,BC-3 children individual level database FINAL,discard,,maternal peripheral BS dichotomized,,NA,,,,,BC-3 children individual level database FINAL::motherbsdich
motherid,BC-3 children individual level database FINAL,discard,,Mother's ID number,5 digits,NA,,,,,BC-3 children individual level database FINAL::motherid
motherid,BC-3 childs expanded database FINAL,discard,,Mother's ID number,5 digit number,NA,,,,,BC-3 childs expanded database FINAL::motherid
moveout,BC-3 screening database FINAL,discard,,"Intention of moving outside of Busia District, Uganda","0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::moveout
mseiz,BC-3 mothers all visits database FINAL,discard,,3 or more seizures over 24 hours,1=checked,NA,,,,All NA's,BC-3 mothers all visits database FINAL::mseiz
mseiz,BC-3 mothers delivery database FINAL,discard,,3 or more seizures over 24 hours,1=checked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::mseiz
mseiz,BC-3 childs all visit database FINAL,keep,,3 or more seizures over 24 hours,1=checked,NA,,,,,BC-3 childs all visit database FINAL::mseiz
msga,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):radio?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msga
msgb,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):tv?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgb
msgc,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):newspaper/leaflet?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgc
msgd,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):health worker/cmd?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgd
msge,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):neighbour/relative/friend,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msge
msgf,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):community leader?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgf
msgg,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):village public adress system,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgg
msgh,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):don't know,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgh
msgi,BC3_Household_Survey_Data,keep,,where did you hear or see message(s):other,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::msgi
msk,BC-3 enrollment database FINAL,discard,,msk,,NA,,,,All NA's,BC-3 enrollment database FINAL::msk
msk,BC-3 mothers all visits database FINAL,keep,,msk,,NA,,,,,BC-3 mothers all visits database FINAL::msk
msk,BC-3 childs all visit database FINAL,keep,,msk,,NA,,,,,BC-3 childs all visit database FINAL::msk
mskdur,BC-3 enrollment database FINAL,discard,,MSK Duration,,NA,,,,All NA's,BC-3 enrollment database FINAL::mskdur
mskdur,BC-3 mothers all visits database FINAL,keep,,MSK Duration,,NA,,,,,BC-3 mothers all visits database FINAL::mskdur
mskdur,BC-3 childs all visit database FINAL,keep,,MSK Duration,,NA,,,,,BC-3 childs all visit database FINAL::mskdur
mskgrade,BC-3 enrollment database FINAL,discard,,MSK Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,All NA's,BC-3 enrollment database FINAL::mskgrade
mskgrade,BC-3 mothers all visits database FINAL,keep,,MSK Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::mskgrade
mskgrade,BC-3 childs all visit database FINAL,keep,,MSK Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::mskgrade
mspray,BC3_Household_Survey_Data,keep,,"in the past 12 months, have you seen or heard any messages about spraying the in",,NA,,,,,BC3_Household_Survey_Data::mspray
mstatus,BC-3 enrollment database FINAL,discard,,Malaria status,"0=No Malaria diagnosed today,
1=Uncomplicated malaria treated with AL,
2=Complicated malaria treated with quinine",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::mstatus
mstatus,BC-3 mothers all visits database FINAL,keep,,Malaria status,"0=No malaria,
1=Uncomplicated(AL),
2=Complicated malaria(Quinine),
3=AL treatment failure,
4=Quinine/artesunate treatment failure",NA,,,,,BC-3 mothers all visits database FINAL::mstatus
