variable	IRI	values	mappedTerm
BC3_Household_Survey_Data.dta::brand4	BC3_Household_Survey_Data.dta::brand4	99	Refused to answer
BC3_Household_Survey_Data.dta::smnet4	BC3_Household_Survey_Data.dta::smnet4	-9	skipped
BC3_Household_Survey_Data.dta::smnet4	BC3_Household_Survey_Data.dta::smnet4	1	Yes
BC3_Household_Survey_Data.dta::smnet4	BC3_Household_Survey_Data.dta::smnet4	2	No
BC3_Household_Survey_Data.dta::smnet4	BC3_Household_Survey_Data.dta::smnet4	8	Not sure
BC3_Household_Survey_Data.dta::smnet4	BC3_Household_Survey_Data.dta::smnet4	9	Refused to answer
BC3_Household_Survey_Data.dta::slpnet4	BC3_Household_Survey_Data.dta::slpnet4	-9	skipped
BC3_Household_Survey_Data.dta::slpnet4	BC3_Household_Survey_Data.dta::slpnet4	1	Yes
BC3_Household_Survey_Data.dta::slpnet4	BC3_Household_Survey_Data.dta::slpnet4	2	No
BC3_Household_Survey_Data.dta::slpnet4	BC3_Household_Survey_Data.dta::slpnet4	8	Not sure
BC3_Household_Survey_Data.dta::slpnet4	BC3_Household_Survey_Data.dta::slpnet4	9	Refused to answer
BC3_Household_Survey_Data.dta::nuseda4	BC3_Household_Survey_Data.dta::nuseda4	-9	skipped
BC3_Household_Survey_Data.dta::nuseda4	BC3_Household_Survey_Data.dta::nuseda4	1	Yes
BC3_Household_Survey_Data.dta::nuseda4	BC3_Household_Survey_Data.dta::nuseda4	2	No
BC3_Household_Survey_Data.dta::nuseda4	BC3_Household_Survey_Data.dta::nuseda4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedb4	BC3_Household_Survey_Data.dta::nusedb4	-9	skipped
BC3_Household_Survey_Data.dta::nusedb4	BC3_Household_Survey_Data.dta::nusedb4	1	Yes
BC3_Household_Survey_Data.dta::nusedb4	BC3_Household_Survey_Data.dta::nusedb4	2	No
BC3_Household_Survey_Data.dta::nusedb4	BC3_Household_Survey_Data.dta::nusedb4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedc4	BC3_Household_Survey_Data.dta::nusedc4	-9	skipped
BC3_Household_Survey_Data.dta::nusedc4	BC3_Household_Survey_Data.dta::nusedc4	1	Yes
BC3_Household_Survey_Data.dta::nusedc4	BC3_Household_Survey_Data.dta::nusedc4	2	No
BC3_Household_Survey_Data.dta::nusedc4	BC3_Household_Survey_Data.dta::nusedc4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedd4	BC3_Household_Survey_Data.dta::nusedd4	-9	skipped
BC3_Household_Survey_Data.dta::nusedd4	BC3_Household_Survey_Data.dta::nusedd4	1	Yes
BC3_Household_Survey_Data.dta::nusedd4	BC3_Household_Survey_Data.dta::nusedd4	2	No
BC3_Household_Survey_Data.dta::nusedd4	BC3_Household_Survey_Data.dta::nusedd4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusede4	BC3_Household_Survey_Data.dta::nusede4	-9	skipped
BC3_Household_Survey_Data.dta::nusede4	BC3_Household_Survey_Data.dta::nusede4	1	Yes
BC3_Household_Survey_Data.dta::nusede4	BC3_Household_Survey_Data.dta::nusede4	2	No
BC3_Household_Survey_Data.dta::nusede4	BC3_Household_Survey_Data.dta::nusede4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedf4	BC3_Household_Survey_Data.dta::nusedf4	-9	skipped
BC3_Household_Survey_Data.dta::nusedf4	BC3_Household_Survey_Data.dta::nusedf4	1	Yes
BC3_Household_Survey_Data.dta::nusedf4	BC3_Household_Survey_Data.dta::nusedf4	2	No
BC3_Household_Survey_Data.dta::nusedf4	BC3_Household_Survey_Data.dta::nusedf4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedg4	BC3_Household_Survey_Data.dta::nusedg4	-9	skipped
BC3_Household_Survey_Data.dta::nusedg4	BC3_Household_Survey_Data.dta::nusedg4	1	Yes
BC3_Household_Survey_Data.dta::nusedg4	BC3_Household_Survey_Data.dta::nusedg4	2	No
BC3_Household_Survey_Data.dta::nusedg4	BC3_Household_Survey_Data.dta::nusedg4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedh4	BC3_Household_Survey_Data.dta::nusedh4	-9	skipped
BC3_Household_Survey_Data.dta::nusedh4	BC3_Household_Survey_Data.dta::nusedh4	1	Yes
BC3_Household_Survey_Data.dta::nusedh4	BC3_Household_Survey_Data.dta::nusedh4	2	No
BC3_Household_Survey_Data.dta::nusedh4	BC3_Household_Survey_Data.dta::nusedh4	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedi4	BC3_Household_Survey_Data.dta::nusedi4	-9	skipped
BC3_Household_Survey_Data.dta::nusedi4	BC3_Household_Survey_Data.dta::nusedi4	1	Yes
BC3_Household_Survey_Data.dta::nusedi4	BC3_Household_Survey_Data.dta::nusedi4	2	No
BC3_Household_Survey_Data.dta::nusedi4	BC3_Household_Survey_Data.dta::nusedi4	99	Refused to answer
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	-9	skipped
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	1	Nowhere to hang
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	2	Don't know how to hang net
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	3	No tools to hang net
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	4	Shape did not fit
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	5	Size did not fit
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	6	Don't want to hang
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	7	Extra net/Used for Visitor/ Owner not home
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	96	other
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	98	not sure
BC3_Household_Survey_Data.dta::nthung4	BC3_Household_Survey_Data.dta::nthung4	99	Refused to answer
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	-9	skipped
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	1	Gov't hospital
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	2	Gov't health center
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	3	Private hospital/clinic
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	4	Private pharmacy
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	5	Shop
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	6	Open market
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	7	Hawker
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	8	 Project/ngo
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	9	Campaign/VHT
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	10	Church
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	11	Friend/Relative
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	12	Village Leader
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	96	Other
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	98	Does not know
BC3_Household_Survey_Data.dta::wheren5	BC3_Household_Survey_Data.dta::wheren5	99	Refused to answer
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	-9	skipped
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	11	permanet
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	12	duranet
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	13	interceptor
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	14	netprotect
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	15	olyset
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	21	ko net
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	22	kooper net
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	23	iconet
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	24	safi net
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	31	B52
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	32	bamboo hut
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	33	century
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	34	lucky net
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	35	victoria
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	41	homemade net
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	96	other
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	98	Don't know brand
BC3_Household_Survey_Data.dta::brand5	BC3_Household_Survey_Data.dta::brand5	99	Refused to answer
BC3_Household_Survey_Data.dta::smnet5	BC3_Household_Survey_Data.dta::smnet5	-9	skipped
BC3_Household_Survey_Data.dta::smnet5	BC3_Household_Survey_Data.dta::smnet5	1	Yes
BC3_Household_Survey_Data.dta::smnet5	BC3_Household_Survey_Data.dta::smnet5	2	No
BC3_Household_Survey_Data.dta::smnet5	BC3_Household_Survey_Data.dta::smnet5	8	Not sure
BC3_Household_Survey_Data.dta::smnet5	BC3_Household_Survey_Data.dta::smnet5	9	Refused to answer
BC3_Household_Survey_Data.dta::slpnet5	BC3_Household_Survey_Data.dta::slpnet5	-9	skipped
BC3_Household_Survey_Data.dta::slpnet5	BC3_Household_Survey_Data.dta::slpnet5	1	Yes
BC3_Household_Survey_Data.dta::slpnet5	BC3_Household_Survey_Data.dta::slpnet5	2	No
BC3_Household_Survey_Data.dta::slpnet5	BC3_Household_Survey_Data.dta::slpnet5	8	Not sure
BC3_Household_Survey_Data.dta::slpnet5	BC3_Household_Survey_Data.dta::slpnet5	9	Refused to answer
BC3_Household_Survey_Data.dta::nuseda5	BC3_Household_Survey_Data.dta::nuseda5	-9	skipped
BC3_Household_Survey_Data.dta::nuseda5	BC3_Household_Survey_Data.dta::nuseda5	1	Yes
BC3_Household_Survey_Data.dta::nuseda5	BC3_Household_Survey_Data.dta::nuseda5	2	No
BC3_Household_Survey_Data.dta::nuseda5	BC3_Household_Survey_Data.dta::nuseda5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedb5	BC3_Household_Survey_Data.dta::nusedb5	-9	skipped
BC3_Household_Survey_Data.dta::nusedb5	BC3_Household_Survey_Data.dta::nusedb5	1	Yes
BC3_Household_Survey_Data.dta::nusedb5	BC3_Household_Survey_Data.dta::nusedb5	2	No
BC3_Household_Survey_Data.dta::nusedb5	BC3_Household_Survey_Data.dta::nusedb5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedc5	BC3_Household_Survey_Data.dta::nusedc5	-9	skipped
BC3_Household_Survey_Data.dta::nusedc5	BC3_Household_Survey_Data.dta::nusedc5	1	Yes
BC3_Household_Survey_Data.dta::nusedc5	BC3_Household_Survey_Data.dta::nusedc5	2	No
BC3_Household_Survey_Data.dta::nusedc5	BC3_Household_Survey_Data.dta::nusedc5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedd5	BC3_Household_Survey_Data.dta::nusedd5	-9	skipped
BC3_Household_Survey_Data.dta::nusedd5	BC3_Household_Survey_Data.dta::nusedd5	1	Yes
BC3_Household_Survey_Data.dta::nusedd5	BC3_Household_Survey_Data.dta::nusedd5	2	No
BC3_Household_Survey_Data.dta::nusedd5	BC3_Household_Survey_Data.dta::nusedd5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusede5	BC3_Household_Survey_Data.dta::nusede5	-9	skipped
BC3_Household_Survey_Data.dta::nusede5	BC3_Household_Survey_Data.dta::nusede5	1	Yes
BC3_Household_Survey_Data.dta::nusede5	BC3_Household_Survey_Data.dta::nusede5	2	No
BC3_Household_Survey_Data.dta::nusede5	BC3_Household_Survey_Data.dta::nusede5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedf5	BC3_Household_Survey_Data.dta::nusedf5	-9	skipped
BC3_Household_Survey_Data.dta::nusedf5	BC3_Household_Survey_Data.dta::nusedf5	1	Yes
BC3_Household_Survey_Data.dta::nusedf5	BC3_Household_Survey_Data.dta::nusedf5	2	No
BC3_Household_Survey_Data.dta::nusedf5	BC3_Household_Survey_Data.dta::nusedf5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedg5	BC3_Household_Survey_Data.dta::nusedg5	-9	skipped
BC3_Household_Survey_Data.dta::nusedg5	BC3_Household_Survey_Data.dta::nusedg5	1	Yes
BC3_Household_Survey_Data.dta::nusedg5	BC3_Household_Survey_Data.dta::nusedg5	2	No
BC3_Household_Survey_Data.dta::nusedg5	BC3_Household_Survey_Data.dta::nusedg5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedh5	BC3_Household_Survey_Data.dta::nusedh5	-9	skipped
BC3_Household_Survey_Data.dta::nusedh5	BC3_Household_Survey_Data.dta::nusedh5	1	Yes
BC3_Household_Survey_Data.dta::nusedh5	BC3_Household_Survey_Data.dta::nusedh5	2	No
BC3_Household_Survey_Data.dta::nusedh5	BC3_Household_Survey_Data.dta::nusedh5	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedi5	BC3_Household_Survey_Data.dta::nusedi5	-9	skipped
BC3_Household_Survey_Data.dta::nusedi5	BC3_Household_Survey_Data.dta::nusedi5	1	Yes
BC3_Household_Survey_Data.dta::nusedi5	BC3_Household_Survey_Data.dta::nusedi5	2	No
BC3_Household_Survey_Data.dta::nusedi5	BC3_Household_Survey_Data.dta::nusedi5	99	Refused to answer
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	-9	skipped
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	1	Nowhere to hang
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	2	Don't know how to hang net
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	3	No tools to hang net
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	4	Shape did not fit
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	5	Size did not fit
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	6	Don't want to hang
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	7	Extra net/Used for Visitor/ Owner not home
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	96	other
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	98	not sure
BC3_Household_Survey_Data.dta::nthung5	BC3_Household_Survey_Data.dta::nthung5	99	Refused to answer
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	-9	skipped
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	1	Gov't hospital
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	2	Gov't health center
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	3	Private hospital/clinic
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	4	Private pharmacy
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	5	Shop
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	6	Open market
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	7	Hawker
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	8	 Project/ngo
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	9	Campaign/VHT
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	10	Church
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	11	Friend/Relative
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	12	Village Leader
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	96	Other
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	98	Does not know
BC3_Household_Survey_Data.dta::wheren6	BC3_Household_Survey_Data.dta::wheren6	99	Refused to answer
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	-9	skipped
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	11	permanet
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	12	duranet
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	13	interceptor
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	14	netprotect
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	15	olyset
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	21	ko net
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	22	kooper net
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	23	iconet
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	24	safi net
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	31	B52
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	32	bamboo hut
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	33	century
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	34	lucky net
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	35	victoria
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	41	homemade net
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	96	other
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	98	Don't know brand
BC3_Household_Survey_Data.dta::brand6	BC3_Household_Survey_Data.dta::brand6	99	Refused to answer
BC3_Household_Survey_Data.dta::smnet6	BC3_Household_Survey_Data.dta::smnet6	-9	skipped
BC3_Household_Survey_Data.dta::smnet6	BC3_Household_Survey_Data.dta::smnet6	1	Yes
BC3_Household_Survey_Data.dta::smnet6	BC3_Household_Survey_Data.dta::smnet6	2	No
BC3_Household_Survey_Data.dta::smnet6	BC3_Household_Survey_Data.dta::smnet6	8	Not sure
BC3_Household_Survey_Data.dta::smnet6	BC3_Household_Survey_Data.dta::smnet6	9	Refused to answer
BC3_Household_Survey_Data.dta::slpnet6	BC3_Household_Survey_Data.dta::slpnet6	-9	skipped
BC3_Household_Survey_Data.dta::slpnet6	BC3_Household_Survey_Data.dta::slpnet6	1	Yes
BC3_Household_Survey_Data.dta::slpnet6	BC3_Household_Survey_Data.dta::slpnet6	2	No
BC3_Household_Survey_Data.dta::slpnet6	BC3_Household_Survey_Data.dta::slpnet6	8	Not sure
BC3_Household_Survey_Data.dta::slpnet6	BC3_Household_Survey_Data.dta::slpnet6	9	Refused to answer
BC3_Household_Survey_Data.dta::nuseda6	BC3_Household_Survey_Data.dta::nuseda6	-9	skipped
BC3_Household_Survey_Data.dta::nuseda6	BC3_Household_Survey_Data.dta::nuseda6	1	Yes
BC3_Household_Survey_Data.dta::nuseda6	BC3_Household_Survey_Data.dta::nuseda6	2	No
BC3_Household_Survey_Data.dta::nuseda6	BC3_Household_Survey_Data.dta::nuseda6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedb6	BC3_Household_Survey_Data.dta::nusedb6	-9	skipped
BC3_Household_Survey_Data.dta::nusedb6	BC3_Household_Survey_Data.dta::nusedb6	1	Yes
BC3_Household_Survey_Data.dta::nusedb6	BC3_Household_Survey_Data.dta::nusedb6	2	No
BC3_Household_Survey_Data.dta::nusedb6	BC3_Household_Survey_Data.dta::nusedb6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedc6	BC3_Household_Survey_Data.dta::nusedc6	-9	skipped
BC3_Household_Survey_Data.dta::nusedc6	BC3_Household_Survey_Data.dta::nusedc6	1	Yes
BC3_Household_Survey_Data.dta::nusedc6	BC3_Household_Survey_Data.dta::nusedc6	2	No
BC3_Household_Survey_Data.dta::nusedc6	BC3_Household_Survey_Data.dta::nusedc6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedd6	BC3_Household_Survey_Data.dta::nusedd6	-9	skipped
BC3_Household_Survey_Data.dta::nusedd6	BC3_Household_Survey_Data.dta::nusedd6	1	Yes
BC3_Household_Survey_Data.dta::nusedd6	BC3_Household_Survey_Data.dta::nusedd6	2	No
BC3_Household_Survey_Data.dta::nusedd6	BC3_Household_Survey_Data.dta::nusedd6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusede6	BC3_Household_Survey_Data.dta::nusede6	-9	skipped
BC3_Household_Survey_Data.dta::nusede6	BC3_Household_Survey_Data.dta::nusede6	1	Yes
BC3_Household_Survey_Data.dta::nusede6	BC3_Household_Survey_Data.dta::nusede6	2	No
BC3_Household_Survey_Data.dta::nusede6	BC3_Household_Survey_Data.dta::nusede6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedf6	BC3_Household_Survey_Data.dta::nusedf6	-9	skipped
BC3_Household_Survey_Data.dta::nusedf6	BC3_Household_Survey_Data.dta::nusedf6	1	Yes
BC3_Household_Survey_Data.dta::nusedf6	BC3_Household_Survey_Data.dta::nusedf6	2	No
BC3_Household_Survey_Data.dta::nusedf6	BC3_Household_Survey_Data.dta::nusedf6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedg6	BC3_Household_Survey_Data.dta::nusedg6	-9	skipped
BC3_Household_Survey_Data.dta::nusedg6	BC3_Household_Survey_Data.dta::nusedg6	1	Yes
BC3_Household_Survey_Data.dta::nusedg6	BC3_Household_Survey_Data.dta::nusedg6	2	No
BC3_Household_Survey_Data.dta::nusedg6	BC3_Household_Survey_Data.dta::nusedg6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedh6	BC3_Household_Survey_Data.dta::nusedh6	-9	skipped
BC3_Household_Survey_Data.dta::nusedh6	BC3_Household_Survey_Data.dta::nusedh6	1	Yes
BC3_Household_Survey_Data.dta::nusedh6	BC3_Household_Survey_Data.dta::nusedh6	2	No
BC3_Household_Survey_Data.dta::nusedh6	BC3_Household_Survey_Data.dta::nusedh6	99	Refused to answer
BC3_Household_Survey_Data.dta::nusedi6	BC3_Household_Survey_Data.dta::nusedi6	-9	skipped
BC3_Household_Survey_Data.dta::nusedi6	BC3_Household_Survey_Data.dta::nusedi6	1	Yes
BC3_Household_Survey_Data.dta::nusedi6	BC3_Household_Survey_Data.dta::nusedi6	2	No
BC3_Household_Survey_Data.dta::nusedi6	BC3_Household_Survey_Data.dta::nusedi6	99	Refused to answer
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	-9	skipped
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	1	Nowhere to hang
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	2	Don't know how to hang net
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	3	No tools to hang net
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	4	Shape did not fit
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	5	Size did not fit
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	6	Don't want to hang
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	7	Extra net/Used for Visitor/ Owner not home
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	96	other
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	98	not sure
BC3_Household_Survey_Data.dta::nthung6	BC3_Household_Survey_Data.dta::nthung6	99	Refused to answer
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	-9	skipped
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	1	Gov't hospital
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	2	Gov't health center
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	3	Private hospital/clinic
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	4	Private pharmacy
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	5	Shop
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	6	Open market
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	7	Hawker
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	8	 Project/ngo
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	9	Campaign/VHT
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	10	Church
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	11	Friend/Relative
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	12	Village Leader
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	96	Other
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	98	Does not know
BC3_Household_Survey_Data.dta::wheren7	BC3_Household_Survey_Data.dta::wheren7	99	Refused to answer
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	-9	skipped
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	11	permanet
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	12	duranet
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	13	interceptor
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	14	netprotect
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	15	olyset
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	21	ko net
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	22	kooper net
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	23	iconet
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	24	safi net
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	31	B52
BC3_Household_Survey_Data.dta::brand7	BC3_Household_Survey_Data.dta::brand7	32	bamboo hut
