colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesforOnt
497,,16,F4B_TRT_PRES_SLPY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015175,Selexid,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: Selexid/Pivmecillinam,0,GEMS1
498,,16,F4B_TRT_GIVE_SLPY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015153,Selexid,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: Selexid/Pivmecillinam,0,GEMS1
499,,18,F4B_TRT_PRES_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015176,Other antibiotic,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: Other antibiotic,0,GEMS1
500,,18,F4B_TRT_GIVE_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015154,Other antibiotic,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: Other antibiotic,0,GEMS1
502,,5,F4B_TRT_PRES_ZINC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015177,Zinc,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: Zinc,0,GEMS1
503,,5,F4B_TRT_GIVE_ZINC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015155,Zinc,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: Zinc,0,GEMS1
504,,2,F4B_TRT_PRES_HOME,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015178,Homemade fluid,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: A (government recommended) homemade fluid,0,GEMS1
505,,2,F4B_TRT_GIVE_HOME,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015156,Homemade fluid,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: A (government recommended) homemade fluid,0,GEMS1
506,,19,F4B_TRT_PRES_ANTI,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015179,Antimalarial,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: An antimalarial drug,0,GEMS1
507,,19,F4B_TRT_GIVE_ANTI,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015157,Antimalarial,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: An antimalarial drug,0,GEMS1
508,,20,F4B_TRT_PRES_OTHR1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015180,Other medicine,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: Other medicine,0,GEMS1
509,,20,F4B_TRT_GIVE_OTHR1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015158,Other medicine,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: Other medicine,0,GEMS1
511,,21,F4B_TRT_PRES_OTHR2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015181,Other medicine,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: Other medicine ,0,GEMS1
512,,21,F4B_TRT_GIVE_OTHR2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015159,Other medicine,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: Other medicine,0,GEMS1
514,,22,F4B_TRT_PRES_OTHR3,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015182,Other medicine,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,Given prescription for treatment at home: Other medicine,0,GEMS1
515,,22,F4B_TRT_GIVE_OTHR3,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015160,Other medicine,,Observation,Diarrhea treatment given in health center,http://purl.obolibrary.org/obo/EUPATH_0010390,Treatment given in health center: Other medicine,0,GEMS1
517,,23,F4B_TRT_NONE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015183,None prescribed or taken,,Observation,Diarrhea treatment by prescription at home,http://purl.obolibrary.org/obo/EUPATH_0010391,None prescribed/taken,0,GEMS1
518,,1,F4B_OUTCOME,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010353,Outcome leaving hospital/health center,,Observation,Outcome,http://purl.obolibrary.org/obo/EUPATH_0010026,Outcome when leaving hospital/health center,1,GEMS1
519,,2,F4B_DATE_DEATH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000150,Date of death,,Observation,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,"If the child died, what was the date of death?",Date,GEMS1
523,,1,F4B_Last_weight,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last calculated weight on form,Num,GEMS1
524,,8,F4B_Last_WAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000733,Weight for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last Weight for Age Z-Score,Num,GEMS1
525,,1,F4B_Last_WAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015121,WAZ <-6 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last Flag ZLEN<-6 or ZLEN >6,0,GEMS1
526,,9,F4B_Last_WHZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000734,Weight for length/height z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last Weight for Height Z-Score,Num,GEMS1
527,,3,F4B_Last_WHZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015123,WHZ <-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last Flag ZWFL <-5 ZWFL>5,0,GEMS1
528,,10,F4B_Last_med_WHZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010083,Weight for length/height z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last weight-median length/height Z-Score,Num,GEMS1
529,,5,F4B_Last_med_WHZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015125,WHZ <-5 or >5 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last Flag for ZWFL<-5 or ZWFL >5,0,GEMS1
530,,6,F4B_LAST_MUAC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010087,MUAC; mean (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last MUAC,,
531,,7,F4B_LAST_MUAC_MEDIAN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010088,MUAC; median (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,LAST median MUAC,,
532,,15,F4B_LAST_MUAC_AGEZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000710,MUAC for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last MUAC for Age Z-Score,,
533,,6,F4B_LAST_MUAC_AGEZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015126,MUAC for age z-score <-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last Flag MUAC for Age Z-Score,,
534,,16,F4B_LAST_MED_MUAC_AGEZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010090,MUAC for age z-score (median ac),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last median MUAC for Age Z-Score,,
535,,7,F4B_LAST_MED_MUAC_AGEZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015127,MUAC for age z-score <-5 or >5 (median ac),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last median MUAC for Age Z-Score Flag,,
536,,4,F4B_Last_BMI,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000661,BMI (kg/m**2),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last calculated BMI,Num,GEMS1
537,,13,F4B_Last_BMIZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000662,BMI for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last BMI-for-Age Z-Score,Num,GEMS1
538,,8,F4B_Last_BMIZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015128,BMI z-score<-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last Flag for Z_BMI <-5 or Z_BMI >5,0,GEMS1
539,,5,F4B_Last_med_BMI,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010093,BMI (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last calculated BMI (median height),Num,GEMS1
540,,14,F4B_Last_med_BMIZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010094,BMI for age z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Last calculated BMI-for-age z-score (median height),Num,GEMS1
541,,9,F4B_Last_med_BMIZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015129,BMI z-score<-5 or >5 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Last Flag for ZBMI<-5 or ZBMI >5 (median height),0,GEMS1
542,,7,F6_DATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010119,Date of control eligibility check,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,Eligibility for Controls Visit Date,,GEMS1
544,,3,F6_CASE_DOB,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010406,DOB of prospective case,,Participant,Corresponding case,http://purl.obolibrary.org/obo/EUPATH_0010002,Index Case: Birthdate of Index Case,Date,GEMS1
545,,1,F6_CASE_AGE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010120,Age at observation (months),,Participant,Corresponding case,http://purl.obolibrary.org/obo/EUPATH_0010002,Index Case: Age of Index Case,Num,GEMS1
546,,2,F6_CASE_GENDER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010405,Sex,,Participant,Corresponding case,http://purl.obolibrary.org/obo/EUPATH_0010002,Index Case: Gender of Index Case,0,GEMS1
547,,4,F6_CASE_ENROLL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010042,Enrollment date of case,,Participant,Corresponding case,http://purl.obolibrary.org/obo/EUPATH_0010002,Index Case: Date of enrollment of index case,Date,GEMS1
548,,5,F6_CASE_ID,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000725,Child ID of matched case,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,Index Case: Case ID Number of index case,Num,GEMS1
549,,,F6_LSD_MSD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015432,Index case enrolled as MSD or LSD,,Participant,,,Enrollment for Case MSD or LSD,0/1,
550,,2,F6_BIRTH_DATE,gems1a_case_control_study_data,http://www.ebi.ac.uk/efo/EFO_0004950,Date of birth,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Controls Information: Birthdate,Date,GEMS1
551,,,F6_AGE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Observation,,,Controls Information: Age,Num,
552,,3,F6_GENDER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Controls Information: Child's gender,0,GEMS1
576,,5,F6_DATE_ENROLL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010054,Enrollment date,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,"If child is enrolled into the study, enter the date of enrollment.",,
580,,4,F7_DATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000091,Date of visit,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Enrollment Controls Visit Date,Date,GEMS1
582,,5,F7_CASE_ID,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000725,Child ID of matched case,,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,Index Case ID,Num,GEMS1
583,,3,F7_PRIMCARE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000720,Caretaker relationship to Child,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,Who is Child's Primary Caretaker?,1,GEMS1
584,,3,F7_PRIMCARE_SPEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000720,Caretaker relationship to Child,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,"Other primary caretaker, specify",Char,GEMS1
585,,1,F7_RELATION,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee relationship to Child,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,What is your relationship to the Child?,1,GEMS1
587,,5,F7_MOM_LIVE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010127,Mother's residence,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,Where does Child's mother live?,1,GEMS1
588,,6,F7_DAD_LIVE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000676,Father's residence,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,Where does Child's father live?,1,GEMS1
589,,4,F7_PRIM_SCHL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010129,Primary caretakers education level,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,How far did the child's primary caretaker go in school?,1,GEMS1
590,,5,F7_PPL_HOUSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010230,Number of persons living in house,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many people have been living regularly in your household for the past 6 months?,Num,GEMS1
591,,4,F7_PPL_SLEEP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000714,Persons sleeping in house,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many people have been sleeping regularly in your household for the past 6 months?,Num,GEMS1
592,,6,F7_YNG_CHILDRN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010232,Number of children under 60 months in house,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many children younger than 60 months live in the household?,Num,GEMS1
593,,2,F7_SLP_ROOMS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000715,Sleeping rooms in household,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,How many rooms in your household are used for sleeping?,Num,GEMS1
594,,1,F7_FLOOR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,What is the predominant floor in the house of Child?,1,GEMS1
596,,6,F7_HOUSE_ELEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have Electricity?,0,GEMS1
597,,11,F7_HOUSE_TELE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015003,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a telephone (mobile or non-mobile)?,0,GEMS1
598,,7,F7_HOUSE_SCOOT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015006,Motorcycle/Scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Motorcycle/Scooter?,0,GEMS1
599,,8,F7_HOUSE_RADIO,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015009,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a radio?,0,GEMS1
600,,3,F7_HOUSE_BIKE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015001,Bicycle/rickshaw,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a bicycle/rickshaw?,0,GEMS1
601,,5,F7_HOUSE_CAR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015004,Car/Truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Car/Truck?,0,GEMS1
602,,9,F7_HOUSE_FRIDGE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015007,Refrigerator,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a refrigerator?,0,GEMS1
603,,4,F7_HOUSE_BOAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015010,Boat with a motor,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a boat with a motor?,0,GEMS1
604,,10,F7_HOUSE_PHONE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015002,Telephone (mobile or non-mobile),,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a telephone (mobile or non-mobile)?,0,GEMS1
605,,2,F7_HOUSE_CART,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015005,Animal-drawn cart,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Animal-drawn cart?,0,GEMS1
606,,1,F7_HOUSE_AGLAND,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015008,Agricultural Land,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have Agricultural Land?,0,GEMS1
607,,12,F7_HOUSE_NONE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have none of the above?,0,GEMS1
608,,6,F7_FUEL_ELEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015012,Electricity,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Electricity?,0,GEMS1
609,,8,F7_FUEL_PROPANE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015015,Liquid Propane Gas,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Liquid Propane Gas?,0,GEMS1
610,,9,F7_FUEL_NATGAS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015018,Natural gas,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Natural gas?,0,GEMS1
611,,7,F7_FUEL_KERO,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015021,Kerosene,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Kerosene?,0,GEMS1
612,,3,F7_FUEL_BIOGAS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015013,Biogas,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Biogas?,0,GEMS1
613,,5,F7_FUEL_COAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015016,Coal/lignite,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Coal?,0,GEMS1
614,,4,F7_FUEL_CHARCOAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015019,Charcoal,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Charcoal?,0,GEMS1
615,,11,F7_FUEL_WOOD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015022,Wood,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Wood?,0,GEMS1
616,,10,F7_FUEL_GRASS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015014,Straw/Shrubs/Grass,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Straw/Shrubs/Grass?,0,GEMS1
617,,2,F7_FUEL_DUNG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015017,Animal dung,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Animal dung?,0,GEMS1
618,,1,F7_FUEL_CROP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015020,Agricultural crop residue,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Agricultural crop residue?,0,GEMS1
619,,12,F7_FUEL_OTHER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015023,Other,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Other?,0,GEMS1
621,,5,F7_ANI_GOAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Goat?,0,GEMS1
622,,7,F7_ANI_SHEEP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Sheep?,0,GEMS1
623,,3,F7_ANI_DOG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Dog?,0,GEMS1
624,,1,F7_ANI_CAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Cat?,0,GEMS1
625,,2,F7_ANI_COW,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Cow?,0,GEMS1
626,,6,F7_ANI_RODENTS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Rodents?,0,GEMS1
627,,4,F7_ANI_FOWL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,"Do the following animals live in the compound where Child lives? Fowl (Chicken, duck or other birds)?",0,GEMS1
628,,8,F7_ANI_OTHER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015031,Other,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Other?,0,GEMS1
630,,9,F7_ANI_NO,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015032,No animals,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? No Animals?,0,GEMS1
631,,1,F7_WATER_HOUSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015033,Piped into house,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into house?",0,GEMS1
632,,3,F7_WATER_YARD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015035,Piped into yard,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into yard?",0,GEMS1
633,,5,F7_WATER_PUBTAP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015037,Public tap,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Public tap?",0,GEMS1
634,,7,F7_WATER_WELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015039,Open well in house or yard,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open well in house or yard?",0,GEMS1
635,,9,F7_WATER_PUBWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015041,Open public well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open public well?",0,GEMS1
636,,11,F7_WATER_POND,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015043,Pond or lake,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Pond or lake?",0,GEMS1
637,,13,F7_WATER_DEEPWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015045,Deep tube well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Deep tube well?",0,GEMS1
638,,15,F7_WATER_SHALLWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015047,Shallow tube well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Shallow tube well?",0,GEMS1
639,,2,F7_WATER_COVWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015034,Covered well in house or yard,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Covered well in house or yard?",0,GEMS1
640,,4,F7_WATER_COVPWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015036,Covered public well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Covered public well?",0,GEMS1
