# version-2			
health_facility::country	uganda	Uganda	
hh_member_12m::whyreferred	FOR KNEES MANAGEMENT	Knees	
hh_member_12m::whyreferred	GETTING TREAMENT FOR COUGH AND FLU	Cough and flu	
hh_member_12m::whyreferred	DIIMA H/C III	:::UNDEF:::	
hh_member_12m::whyreferred	HIS HB WAS BELOW 5 AND WAS ANEMIC	Anemia	
hh_member_12m::whyreferred	FOR CBC,LFT,RFT AND DETAILED MANAGEMENT( PRESENTS LOW HB, ORGANOMEGALLY)	Anemia, liver and renal function tests	
hh_member_12m::whyreferred	FUTHER MAGEMENNT  OF FEVER	Fever	
hh_member_12m::whyreferred	MANAGEMENT OF ANEMIA	Anemia	
hh_member_12m::whyreferred	FOR SCA ATTENTION	Cardiac arrest	
hh_member_12m::whyreferred	FOR FURTHER ASSESMENT AND MANAGEMENT OF ANEMIA	Anemia	
hh_member_12m::whyreferred	FOR WOUND CARE	Wound care	
hh_member_12m::whyreferred	FOR MANAGEMENT OF PEPTIC ENTERIC ILLNESS	Enteric illness	
hh_member_12m::whyreferred	FOR MANAGEMENT OF CO-INFERCTION	Management of co-infection	
hh_member_12m::whyreferred	FOR MANAGEMENT OF BRONCHO ILLNESS	Respiratory tract infection	
hh_member_12m::whyreferred	FOR MANAGEMENT OF CO-INFECTION	Management of co-infection	
hh_member_12m::whyreferred	FOR FURTHER MANAGEMENT OF OTHER ILLNESS	Further management	
hh_member_12m::whyreferred	DIARRHOEA	Diarrhea	
hh_member_12m::whyreferred	REFFERED TO THE HEALTH CENTER TO HAVE COUGH MANAGED	Cough	
hh_member_12m::whyreferred	TO MANAGE THE UPPER RESPIRATORY TRACT INFECTION	Respiratory tract infection	
hh_member_12m::whyreferred	TO TREAT THE UPPER RESPIRTORY TRACT INFECTION	Respiratory tract infection	
hh_member_12m::whyreferred	REFFERED TO NEAR BY HEALTH FACILITY TO TREAT THE UPPER RESPIRATORY TRACT INFECTI	Respiratory tract infection	
hh_member_12m::whyreferred	REFFERED TO TREAT URTI	Respiratory tract infection	
hh_member_12m::whyreferred	FURTHER MANEGENT OF THE FEVER AND COUGH	Fever and cough	
hh_member_12m::whyreferred	FOR NUROPATHY MANAGEMENT	Nuropathy	
hh_member_12m::whyreferred	FOR FUTHER MANAGEMENT	Further management	
hh_member_12m::whyreferred	RTI TREATMENT	Respiratory tract infection	
hh_member_12m::whyreferred	LOWER LIMB ULCER MANAGEMENT	Limb ulcer	
hh_member_12m::whyreferred	FOR RESPIRATORY TRACT INFECTION	Respiratory tract infection	
hh_member_12m::whyreferred	FOR SKIN INFECTION TREATMENT	Skin infection	
hh_member_12m::whyreferred	FOR COUGH  MEDICATION	Cough	
hh_member_12m::whyreferred	FOR HEAMATEMICS	Hematinics	
hh_member_12m::whyreferred	MANAGEMENT OF DIARRHEA	Diarrhea	
hh_member_12m::whyreferred	DERMATOLOGICAL CONDITION, MEASLES?	Possible measles	
hh_member_12m::whyreferred	FOR FURTHER INVESTIGATION AND MANAGEMENT	Further evaluation and management	
hh_member_12m::whyreferred	LOW HB AND SWOLLEN ABDOMEN	Anemia and swollen abdomen	
hh_member_12m::whyreferred	LOW HB AND LOSS OF WEIGHT ACCORDING TO WEIGHT FOR AGE PARAMETER	Anemia and low weight	
hh_member_12m::whyreferred	URTI	Respiratory tract infection	
hh_member_12m::whyreferred	DYSPNOEA, COUGH	Cough and dyspnoea	
hh_member_12m::whyreferred	ANEMIA, BURKITTT'S LYMPHOMA	Anemia and Burkitt lymphoma	
hh_member_12m::whyreferred	TO DO A CBC	CBC	
hh_member_12m::whyreferred	MODERATE ANEMIA, MALNUTRITION	Anemia and malnutrition	
hh_member_12m::whyreferred	FURTHER MANAGEMET.	Further management	
hh_member_12m::whyreferred	FURTHER MANAGEMENT	Further management	
hh_member_12m::whyreferred	FOR FURTHER MANAGEMENT	Further management	
hh_member_12m::whyreferred	ANTENATAL	Antenatal care	
hh_member_12m::whyreferred	FOLIC ACID & FANSIDAR SUPPLEMENTATION FOR SICKLERS	Sickle cell	
hh_member_12m::whyreferred	TO GO FOR ANC	Antenatal care	
hh_member_12m::whyreferred	SEVERE MALARIA	Severe malaria	
hh_member_12m::whyreferred	SEVERE ANAEMIA	Severe anemia	
hh_member_12m::whyreferred	MANAGEMENT OF EPILEPSY	Epilepsy	
hh_member_12m::whyreferred	BLOOD TRANSFUSION	Blood transfusion	
hh_member_12m::whyreferred	FUTHER MANAGEMENT OF ANEMIA	Anemia	
hh_member_12m::whyreferred	FUTHER MAGEMENT OF FEVER	Fever	
hh_member_12m::whyreferred	FUTHER MANAGEMENT OF FEVER	Fever	
hh_member_12m::whyreferred	FURTHER MANAGMENT OF CARDIAC AND RESPIRATORY DYSTRESS SYMPTOMS.	Cardiac and respiratory distress	
hh_member_12m::whyreferred	ANEMIA	Anemia	
hh_member_24m::schoolname	-9	:::UNDEF:::	
hh_member_24m::schoolname	7	:::UNDEF:::	
hh_member_24m::schoolname	12	:::UNDEF:::	
hh_member_24m::schoolname	ABAKADAK PRIMARY SCHOOL	Abakadak Primary School	
hh_member_24m::schoolname	ABILNINO PRIMARY SCHOOL	Abilnino Primary School	
hh_member_24m::schoolname	ABIM PRIMARY SCHOOL	Abim Primary School	
hh_member_24m::schoolname	ABIM SENIOR SECONDARY SCHOOL	Abim Senior Secondary School	
hh_member_24m::schoolname	ABLE NURSERY	Able Nursery	
hh_member_24m::schoolname	ABLE NURSERY AND PRIMARY SCHOOL	Able Nursery and Primary School	
hh_member_24m::schoolname	ABOK SEED SECONDARY SCHOOL	Abok Seed Secondary School	
hh_member_24m::schoolname	ABONGODERO BOYS	Abongodero Boys	
hh_member_24m::schoolname	ABONGODIC PRIMARY SCHOOL, KOLE DISTRICT	Abongodic Primary School, Kole District	
hh_member_24m::schoolname	ABONGOMOLA SEED SECONDARY SCHOOL	Abongomola Seed Secondary School	
hh_member_24m::schoolname	ABURI PRIMARY SCHOOL	Aburi Primary School	
hh_member_24m::schoolname	ABURI PRIMARY SCHOOL NYABWESO	Aburi Primary School Nyabweso	
hh_member_24m::schoolname	ACABA	Acaba	
hh_member_24m::schoolname	ACABA SECONDARY SCHOOL	Acaba Secondary School	
hh_member_24m::schoolname	Acaba Secondary school	Acaba Secondary School	
hh_member_24m::schoolname	ACAN EUNICE	Acan Eunice	
hh_member_24m::schoolname	Acet primary school	Acet Primary School	
hh_member_24m::schoolname	ACOWA PRIMARY SCHOOL	Acowa Primary School	
hh_member_24m::schoolname	ACUBANY PRIMARY SCHOOL	Acubany Primary School	
hh_member_24m::schoolname	ACULBANY SECONDARY SCHOOL	Aculbany Secondary School	
hh_member_24m::schoolname	ACUMET PRIMAR SCHOOL	Acumet Primary School	
hh_member_24m::schoolname	ACUMET PRIMARY SCHOOL	Acumet Primary School	
hh_member_24m::schoolname	ACUMET SECONDARY SCHOOL	Acumet Secondary School	
hh_member_24m::schoolname	ADEA COMPASSION SCHOOL	Adea Compassion School	
hh_member_24m::schoolname	ADETI JUNIOR SCHOOL	Adeti Junior School	
hh_member_24m::schoolname	ADILANG SENIOR SECONDARY SCHOOL	Adilang Senior Secondary School	
hh_member_24m::schoolname	ADILI PRIMARY SCHOOL	Adili Primary School	
hh_member_24m::schoolname	ADIPALA PRIMARY	Adipala Primary	
hh_member_24m::schoolname	ADIPALA PRIMARY AND NUSERY SCHOOL	Adipala Primary and Nusery School	
hh_member_24m::schoolname	ADIPALA PRIMARY SCHOOL	Adipala Primary School	
hh_member_24m::schoolname	ADRAVU PRIMARY SCHOOL	Adravu Primary School	
hh_member_24m::schoolname	ADUKU ROAD P/SCHOOL	Aduku Road Primary School	
hh_member_24m::schoolname	ADWARA SENIOR SECODARY SCHOOL	Adwara Senior Secodary School	
hh_member_24m::schoolname	ADWARI SENIOR SECONDARY SCHOOL	Adwari Senior Secondary School	
hh_member_24m::schoolname	ADYEDA P/SCHOOL	Adyeda Primary School	
hh_member_24m::schoolname	AELO PRIMARY SCHOOL	Aelo Primary School	
hh_member_24m::schoolname	AGAL LANG PRIMARY SCHOOL	Agal Lang Primary School	
hh_member_24m::schoolname	AGALA LANG PRIMARY  SCHOOL	Agala Lang Primary School	
hh_member_24m::schoolname	AGALA LANG PRIMARY SCHOOL	Agala Lang Primary School	
hh_member_24m::schoolname	AGULE PRIMARY SCHOOL	Agule Primary School	
hh_member_24m::schoolname	AGURUTO PRIMARY SCHOOL	Aguruto Primary School	
hh_member_24m::schoolname	AJALI LAJWA	Ajali Lajwa	
hh_member_24m::schoolname	AJIB	Ajib	
hh_member_24m::schoolname	AJIBU NURSERY	Ajibu Nursery	
hh_member_24m::schoolname	AJOKIS EDEKE PRIMARY SCHOOL	Ajokis Edeke Primary School	
hh_member_24m::schoolname	AJURI PRIMARY SCHOOL	Ajuri Primary School	
hh_member_24m::schoolname	AKAALO PRIMARY SCHOOL	Akaalo Primary School	
hh_member_24m::schoolname	AKABA TECHNICAL SCHOOL	Akaba Technical School	
hh_member_24m::schoolname	AKAKORO PRIMARY SCHOOL	Akakoro Primary School	
hh_member_24m::schoolname	AKALO COMPREHENSIVE PRIMARY SCHOOL	Akalo Comprehensive Primary School	
hh_member_24m::schoolname	AKALO COMPREHENSIVE SCHOOL	Akalo Comprehensive School	
hh_member_24m::schoolname	AKALO SENIOR SECONDARY SCHOOL	Akalo Senior Secondary School	
hh_member_24m::schoolname	AKAMUREI PRIMARY	Akamurei Primary	
hh_member_24m::schoolname	AKETKET NURSERY SCHOOL	Aketket Nursery School	
hh_member_24m::schoolname	AKETKET PRIMARY SCHOOL	Aketket Primary School	
hh_member_24m::schoolname	AKOKORO PRIMARY SCHOOL	Akokoro Primary School	
hh_member_24m::schoolname	AKWEE PRIMARY SCHOOL	Akwee Primary School	
hh_member_24m::schoolname	ALAWO PRIMARY SCHOOL	Alawo Primary School	
hh_member_24m::schoolname	ALCO NURSERY SCHOOL	Alco Nursery School	
hh_member_24m::schoolname	ALEKA NURSERY AND PRIMARY SCHOOL	Aleka Nursery and Primary School	
hh_member_24m::schoolname	ALENGO NURSERY AND P/S	Alengo Nursery and Primary School	
hh_member_24m::schoolname	ALERO NURSERY AND PRIMARY SCHOOL	Alero Nursery and Primary School	
hh_member_24m::schoolname	ALERO PRIMARY SCHOOL	Alero Primary School	
hh_member_24m::schoolname	ALERO SECONDARY SCHOOL	Alero Secondary School	
hh_member_24m::schoolname	ALIDO	Alido	
hh_member_24m::schoolname	ALIRI PRIMARY SCHOOL	Aliri Primary School	
hh_member_24m::schoolname	ALOKOLUM GOK PRIMARY SCHOOL	Alokolum Gok Primary School	
hh_member_24m::schoolname	ALPHA NURSERY AND P/S	Alpha Nursery and Primary School	
hh_member_24m::schoolname	ALUTIKOT PRIMARY SCHOOL	Alutikot Primary School	
hh_member_24m::schoolname	AMARE PRIMARY SCHOOL	Amare Primary School	
hh_member_24m::schoolname	AMASENIKO PRIMARY AND NURSERY SCHOOL	Amaseniko Primary and Nursery School	
hh_member_24m::schoolname	AMASENIKO PRIMARY SCHOOL	Amaseniko Primary School	
hh_member_24m::schoolname	Amaseniko primary school	Amaseniko Primary School	
hh_member_24m::schoolname	AMBASSADA PRIMARY SCHOOL	Ambassada Primary School	
hh_member_24m::schoolname	AMBASSADER PRIMARY SCHOOL	Ambassader Primary School	
hh_member_24m::schoolname	AMEN NURSERY AND PRIMARY SCHOOL	Amen Nursery and Primary School	
hh_member_24m::schoolname	AMESINKO PRIMARY SCHOOL	Amesinko Primary School	
hh_member_24m::schoolname	AMIAPRIMARY SCHOOL	Amia Primary School	
hh_member_24m::schoolname	AMINADERE ORIMARY SCHOOL	Aminadere Orimary School	
hh_member_24m::schoolname	AMOLATAR P/SCHOOL	Amolatar Primary School	
hh_member_24m::schoolname	AMONI PRIMARY SCHOOL	Amoni Primary School	
hh_member_24m::schoolname	AMUA PRIMARY SCHOOL	Amua Primary School	
hh_member_24m::schoolname	AMUCA SDA PRIMARY SCHOOL	Amuca Sda Primary School	
hh_member_24m::schoolname	AMUCA SECONDARY SCHOOL	Amuca Secondary School	
hh_member_24m::schoolname	AMUGE PRIMARY SCHOOL	Amuge Primary School	
hh_member_24m::schoolname	AMUKURAT PRIMARY SCHOOL	Amukurat Primary School	
hh_member_24m::schoolname	AMURIA PRIMARY SCHOOL	Amuria Primary School	
hh_member_24m::schoolname	AMURIA SENIOR SECONDARY SCHOOL	Amuria Senior Secondary School	
hh_member_24m::schoolname	AMURU LAMOGI	Amuru Lamogi	
hh_member_24m::schoolname	AMURU LAMOGI PRIMARY SCHOOL	Amuru Lamogi Primary School	
hh_member_24m::schoolname	AMURU LAMOGI P/S	Amuru Lamogi Primary School	
hh_member_24m::schoolname	AMWA PARENTS AND PRIMARY SCHOOL	Amwa Parents and Primary School	
hh_member_24m::schoolname	AMWA PARENTS NURSERY AND PRIMARY SCHOOL	Amwa Parents Nursery and Primary School	
hh_member_24m::schoolname	ANAI PRIMARY SCHOOL	Anai Primary School	
hh_member_24m::schoolname	ANGELICA SECONDARY SCHOOL  LIRA	Angelica Secondary School Lira	
hh_member_24m::schoolname	ANGELS MEMORIAL	Angels Memorial	
hh_member_24m::schoolname	ANGELS MEMORIAL P/S	Angels Memorial Primary School	
hh_member_24m::schoolname	ANGELS PRIMARY SCHOOL	Angels Primary School	
hh_member_24m::schoolname	ANGEREPO NURSERY AND PRIMARY SCHOOL	Angerepo Nursery and Primary School	
hh_member_24m::schoolname	ANJULETA SCHOOL FOR DISABLED LIRA	Anjuleta School For Disabled Lira	
hh_member_24m::schoolname	ANNAUAL SECONDARY	Annaual Secondary	
hh_member_24m::schoolname	ANNEX AYEYI PRIMARY SCHOOL	Annex Ayeyi Primary School	
hh_member_24m::schoolname	ANNUAL SECONDARY	Annual Secondary	
hh_member_24m::schoolname	ANYEKE	Anyeke	
hh_member_24m::schoolname	ANYEKE PRIMAR SCHOOL	Anyeke Primary School	
hh_member_24m::schoolname	ANYEKE PRIMARY  SCHOOL	Anyeke Primary School	
hh_member_24m::schoolname	ANYEKE PRIMARY SCHOOL	Anyeke Primary School	
hh_member_24m::schoolname	Anyeke primary school	Anyeke Primary School	
hh_member_24m::schoolname	ANYOMOLYEC PRIMARY SCHOOL	Anyomolyec Primary School	
hh_member_24m::schoolname	APEORI PRIMARY	Apeori Primary	
hh_member_24m::schoolname	APWORI ACD NURSERY SCHOOL	Apwori ACD Nursery School	
hh_member_24m::schoolname	APWORI NURSERY AND PRIMARY SCHOOL	Apwori Nursery and Primary School	
hh_member_24m::schoolname	APWORI PRIMARY	Apwori Primary	
hh_member_24m::schoolname	APWORI PRIMARY SCGOOL	Apwori Primary School	
hh_member_24m::schoolname	APWORI PRIMARY SCHOOL	Apwori Primary School	
hh_member_24m::schoolname	APWORI P/SCHOOL	Apwori Primary School	
hh_member_24m::schoolname	ARCHBISHOP FINT SECONDARY SCHOOL	Archbishop Fint Secondary School	
hh_member_24m::schoolname	ARIPEA PRIMARY SCHOOL	Aripea Primary School	
hh_member_24m::schoolname	ARON PRIMARY	Aron Primary	
hh_member_24m::schoolname	ASAMUK COMMUNITY SENIOR SECONDARY SCHOOL	Asamuk Community Senior Secondary School	
hh_member_24m::schoolname	ASAMUK SENIOR SECONDARY SCHOOL	Asamuk Senior Secondary School	
hh_member_24m::schoolname	ASILI PRIMARY SCHOOL	Asili Primary School	
hh_member_24m::schoolname	ATEUSO NURSERY SCHOOL	Ateuso Nursery School	
hh_member_24m::schoolname	ATEUSO PRIMARY SCHOOL	Ateuso Primary School	
hh_member_24m::schoolname	ATIRIT NURSERY SCHOOL	Atirit Nursery School	
hh_member_24m::schoolname	ATIRIT PRIMARY SCHOOL	Atirit Primary School	
hh_member_24m::schoolname	ATOMA P/SCHOOL	Atoma Primary School	
hh_member_24m::schoolname	ATUMA PRIMARY SCHOOL	Atuma Primary School	
hh_member_24m::schoolname	ATUMA P/SCHOOL	Atuma Primary School	
hh_member_24m::schoolname	ATUMO PRIMARY SCHOOL	Atumo Primary School	
hh_member_24m::schoolname	ATWOL PRIMARY SCHOOL	Atwol Primary School	
hh_member_24m::schoolname	AUNT JANE	Aunt Jane	
hh_member_24m::schoolname	AWACH CENTRAL	Awach Central	
hh_member_24m::schoolname	AWACH CENTRAL P/S	Awach Central Primary School	
hh_member_24m::schoolname	AWACH IDEAL NURSARY AND P/S	Awach Ideal Nursary and Primary School	
hh_member_24m::schoolname	AWACH P.7 P/S	Awach P.7 Primary School	
hh_member_24m::schoolname	AWACH P/S	Awach Primary School	
hh_member_24m::schoolname	AWELO PRIMARY SCHOOL	Awelo Primary School	
hh_member_24m::schoolname	AWELOBUTURYO PRIMARY SCHOOL	Awelobuturyo Primary School	
hh_member_24m::schoolname	AYAGO PRIMARY SCHOOL	Ayago Primary School	
hh_member_24m::schoolname	AYAPI PRIMARYSCHOOL	Ayapi Primaryschool	
hh_member_24m::schoolname	AYEI ANNEX PRIMARY SCHOOL	Ayei Annex Primary School	
hh_member_24m::schoolname	AYEI PRIMAR SCHOOL	Ayei Primary School	
hh_member_24m::schoolname	AYEI PRIMARY SCHOOL	Ayei Primary School	
hh_member_24m::schoolname	AYEKO P/S	Ayeko Primary School	
hh_member_24m::schoolname	AYER PRIMARY SCHOOL	Ayer Primary School	
hh_member_24m::schoolname	AYIE PRIMARY SCHOOL	Ayie Primary School	
hh_member_24m::schoolname	AYIPE PRIMARY SCCHOOL	Ayipe Primary School	
hh_member_24m::schoolname	AYIPE PRIMARY SCHOOL	Ayipe Primary School	
hh_member_24m::schoolname	AYIPE P/S	Ayipe Primary School	
hh_member_24m::schoolname	AYOLA PRIMARY SCHOOL	Ayola Primary School	
hh_member_24m::schoolname	B0I PRIMARY SCHOOL	B0i Primary School	
hh_member_24m::schoolname	BAGAYA MOSLEM PRIMARY SCHOOL	Bagaya Moslem Primary School	
hh_member_24m::schoolname	BALA PRIMARY SCHOOL	Bala Primary School	
hh_member_24m::schoolname	BAMANYA PRIMARY SCHOOL	Bamanya Primary School	
hh_member_24m::schoolname	BAPTIST PRIMARY SCHOOL	Baptist Primary School	
hh_member_24m::schoolname	BARAPWO PRIMARY SCHOOL	Barapwo Primary School	
hh_member_24m::schoolname	BARAYOM P/S	Barayom Primary School	
hh_member_24m::schoolname	BARI PRIMARY SCHOOL	Bari Primary School	
hh_member_24m::schoolname	BARLWALA	Barlwala	
hh_member_24m::schoolname	BARLWALA PRIMARY SCHOOL	Barlwala Primary School	
hh_member_24m::schoolname	BARLWARA PRIMARY SCHOOL	Barlwara Primary School	
hh_member_24m::schoolname	BATHEL PRIMARY SCHOOL	Bathel Primary School	
hh_member_24m::schoolname	BBAALE CU	Bbaale CU Primary School	
hh_member_24m::schoolname	BBAALE CU P/S	Bbaale CU Primary School	
hh_member_24m::schoolname	BBAALE Secondary School	Bbaale Secondary School	
hh_member_24m::schoolname	BBAALE SS	Bbaale Secondary School	
hh_member_24m::schoolname	BBALE C/U P/S	Bbale CU Primary School	
hh_member_24m::schoolname	BBALE P/S	Bbale Primary School	
hh_member_24m::schoolname	BBALE SECONDARY SCHOOL	Bbale Secondary School	
hh_member_24m::schoolname	BBALE SS	Bbale Secondary School	
hh_member_24m::schoolname	BERNADICT SS	Bernadict Secondary School	
hh_member_24m::schoolname	BETHEL NURSARY AND PRIMARY SCHOOL	Bethel Nursery and Primary School	
hh_member_24m::schoolname	BETHEL NURSERY AND PRIMARY	Bethel Nursery and Primary School	
hh_member_24m::schoolname	BETHEL P/S	Bethel Primary School	
hh_member_24m::schoolname	BETHEL PRIMARY SCHOOL	Bethel Primary School	
hh_member_24m::schoolname	BIDIN PRIMARY SCHOOL	Bidin Primary School	
hh_member_24m::schoolname	BISHOP ANGELO NEGRI GIRLS	Bishop Angelo Negri Girls	
hh_member_24m::schoolname	BISHOP ANJELO NIGRE SS	Bishop Anjelo Nigre Secondary School	
hh_member_24m::schoolname	BISHOP CYPRIAN  SHANGIRE	Bishop Cyprian Shangire	
hh_member_24m::schoolname	BISHOP FLYNN	Bishop Flynn	
hh_member_24m::schoolname	BISHOP FLYNN SECONDARY SCHOOL	Bishop Flynn Secondary School	
hh_member_24m::schoolname	BISHOP KAMI PRIMARY SCHOOL LIRA	Bishop Kami Primary School Lira	
hh_member_24m::schoolname	BISHOP MARAKA SECONDARY SCHOOL	Bishop Maraka Secondary School	
hh_member_24m::schoolname	BLACK ANGELS PRIMARY SCHOOL	Black Angels Primary School	
hh_member_24m::schoolname	BLEESED	Bleesed	
hh_member_24m::schoolname	BLESSED DAMIAN	Blessed Damian	
hh_member_24m::schoolname	BLESSED DEMIAN	Blessed Demian	
hh_member_24m::schoolname	BLESSED P/S	Blessed Primary School	
hh_member_24m::schoolname	BM PRIMARY	BM Primary School	
hh_member_24m::schoolname	BM PRIMARY SCHOOL	BM Primary School	
hh_member_24m::schoolname	BOBI COMMUNITY POL.	Bobi Community Polytechnic	
hh_member_24m::schoolname	BOBI COMMUNITY POLYTECHNIC	Bobi Community Polytechnic	
hh_member_24m::schoolname	BOBI P/S	Bobi Primary School	
hh_member_24m::schoolname	BODONDO P/S	Bodondo Primary School	
hh_member_24m::schoolname	BOGOYEZA SECONDARY SCHOOL	Bogoyeza Secondary School	
hh_member_24m::schoolname	BORAD WAY PRIMARY SCHOOL	Borad Way Primary School	
hh_member_24m::schoolname	BRAAKY PRIMARY SCHOOL	Braaky Primary School	
hh_member_24m::schoolname	BRACKY NURSERY AND PRIMARY SCHOOL	Bracky Nursery and Primary School	
hh_member_24m::schoolname	BRACKY PRIMARY SCHOOL	Bracky Primary School	
hh_member_24m::schoolname	BRAIN STAR PRIMARY SCHOOL	Brain Star Primary School	
hh_member_24m::schoolname	BRGHT STAR NURSERY AND PRIMARY SCHOOL	Brght Star Nursery and Primary School	
hh_member_24m::schoolname	BRIGHT FUTURE EDUCATION CENTRE	Bright Future Education Centre	
hh_member_24m::schoolname	BRIGHT FUTURE P/S	Bright Future Primary School	
hh_member_24m::schoolname	BRIGHT HOPE P/S	Bright Hope Primary School	
hh_member_24m::schoolname	BRIGHT JUNIOR PRIMARY SCHOOL	Bright Junior Primary School	
hh_member_24m::schoolname	BRIGHT JUNIOR SCHOO	Bright Junior School	
hh_member_24m::schoolname	BRIGHT JUNIOR SCHOOL	Bright Junior School	
hh_member_24m::schoolname	BRIGHT KIDS  PRIMARY SCHOOL	Bright Kids Primary School	
hh_member_24m::schoolname	BRIGHT KIDS PRIMARY	Bright Kids Primary School	
hh_member_24m::schoolname	BRIGHT KIDS PRIMARY SCH00L	Bright Kids Primary School	
hh_member_24m::schoolname	BRIGHT KIDS PRIMARY SCHOOL	Bright Kids Primary School	
hh_member_24m::schoolname	BRIGHTKIDS PRIMARY SCHOOL	Bright Kids Primary School	
hh_member_24m::schoolname	BRIGHT PRIMARY SCHOOL	Bright Primary School	
hh_member_24m::schoolname	BRIGHT STAR	Bright Star	
hh_member_24m::schoolname	BRIGHT STAR NURSERY SCHOOL	Bright Star Nursery School	
hh_member_24m::schoolname	BRIGHT STAR NUSERY SCHOOL	Bright Star Nusery School	
hh_member_24m::schoolname	BRIGHT STAR PRIMARY SCHOOL	Bright Star Primary School	
hh_member_24m::schoolname	BROAD WAY NURSARY SCHOOL	Broadway Nursery School	
hh_member_24m::schoolname	BROADWAY NURSURY SCHOOL	Broadway Nursery School	
hh_member_24m::schoolname	BUAYA MOSLEM PRIMARY SCHOOL	Buaya Moslem Primary School	
hh_member_24m::schoolname	BUBABANGULA PRIMARY SCHOOL	Bubabangula Primary School	
hh_member_24m::schoolname	BUBO PRIMARY SCHOOL	Bubo Primary School	
hh_member_24m::schoolname	BUCHWERE NURSERY AND P/S	Buchwere Nursery and Primary School	
hh_member_24m::schoolname	BUDABAGULA PRIMARY SCHOOL	Budabagula Primary School	
hh_member_24m::schoolname	BUDABANGULA PRIMARY	Budabangula Primary School	
hh_member_24m::schoolname	BUDABANGULA PRIMARY SCHOOL	Budabangula Primary School	
hh_member_24m::schoolname	BUDABUGULA PRIMARY SCHOOL	Budabugula Primary School	
hh_member_24m::schoolname	BUDEYA NURSERY SCHOOL	Budeya Nursery School	
hh_member_24m::schoolname	BUDONDO ISLAMIC SCHOOL	Budondo Islamic School	
hh_member_24m::schoolname	BUDONDO P/S	Budondo Primary School	
hh_member_24m::schoolname	BUDONDO SS	Budondo Secondary School	
hh_member_24m::schoolname	BUGAYA MOSLEM	Bugaya Moslem	
hh_member_24m::schoolname	BUGAYA MOSLEM PRIMARY SCHOOL	Bugaya Moslem Primary School	
hh_member_24m::schoolname	BUGAYA MUSLIM PRIMARY SCHOOL	Bugaya Muslem Primary School	
hh_member_24m::schoolname	BUHIMBA PRIMARY	Buhimba Primary School	
hh_member_24m::schoolname	BUJAGALI P/S	Bujagali Primary School	
hh_member_24m::schoolname	BUJUMBURA VOCATIONAL	Bujumbura Vocational	
hh_member_24m::schoolname	BUJUNE	Bujune	
hh_member_24m::schoolname	BUJUNE P/S	Bujune Primary School	
hh_member_24m::schoolname	BUJUNI	Bujuni	
hh_member_24m::schoolname	BUJUNI P/S	Bujuni Primary School	
hh_member_24m::schoolname	BUJUNI  ST THEREZA P/S	Bujuni St Thereza Primary School	
hh_member_24m::schoolname	BUKEDEA NURSERY SCHOOL	Bukedea Nursery School	
hh_member_24m::schoolname	BUKEDEA PRIMARY SCHOOL	Bukedea Primary School	
hh_member_24m::schoolname	BUKEDEA SS	Bukedea Secondary School	
hh_member_24m::schoolname	BUKEDEA SENIOR SECONDARY SCHOOL	Bukedea Senior Secondary School	
hh_member_24m::schoolname	BUKEDEA TOWNSHIO PRIMARY SCHOOL	Bukedea Townshio Primary School	
hh_member_24m::schoolname	BUKEDEA TOWNSHIP	Bukedea Township	
hh_member_24m::schoolname	BUKEDEA TOWNSHIP PRIMARY SCHOOL	Bukedea Township Primary School	
hh_member_24m::schoolname	BUKOBO PRIMARY SCHOOL	Bukobo Primary School	
hh_member_24m::schoolname	BUKOS JUNIOR PRIMARY SCHOOL	Bukos Junior Primary School	
hh_member_24m::schoolname	BUKOSE JUNIOR	Bukose Junior	
hh_member_24m::schoolname	BUKOSE JUNIOR PRIMAY SCHOOL	Bukose Junior Primay School	
hh_member_24m::schoolname	BUKOSE JUNIOR SCHOOL	Bukose Junior School	
hh_member_24m::schoolname	BUKOSE JUNOIR PRIMARY SCHOOOL	Bukose Junoir Primary Schoool	
hh_member_24m::schoolname	BUKOSE PRIMARY SCHOOL	Bukose Primary School	
hh_member_24m::schoolname	BUKWEKWE P/S	Bukwekwe Primary School	
hh_member_24m::schoolname	BULUJI PRIMARY SCHOOL	Buluji Primary School	
hh_member_24m::schoolname	BULUYA PS	Buluya Primary School	
hh_member_24m::schoolname	BULYAKU PRIMARY SCHOOL	Bulyaku Primary School	
hh_member_24m::schoolname	BULYAKUBI VICTORY NURSERY SCHOOL	Bulyakubi Victory Nursery School	
hh_member_24m::schoolname	BULYAKUBI VICTORY P/S	Bulyakubi Victory Primary School	
hh_member_24m::schoolname	BUMANYA NURSERY SCHOOL	Bumanya Nursery School	
hh_member_24m::schoolname	BUMANYA PRIMARY SCHOOL	Bumanya Primary School	
hh_member_24m::schoolname	BUMANYA P/S	Bumanya Primary School	
hh_member_24m::schoolname	BUMANYA SS	Bumanya Secondary School	
hh_member_24m::schoolname	BUMANYA SECONDARY SCHOOL	Bumanya Secondary School	
hh_member_24m::schoolname	BUNYULA BOYS P/S	Bunyula Boys Primary School	
hh_member_24m::schoolname	BUSAANA	Busaana	
hh_member_24m::schoolname	BUSAANA HAPPY TIMES	Busaana Happy Times	
hh_member_24m::schoolname	BUSAANA P/S	Busaana Primary School	
hh_member_24m::schoolname	BUSIA JUNIOR SCHOOL	Busia Junior School	
hh_member_24m::schoolname	BUSIA SS	Busia Secondary School	
