variable,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
q44reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063355,Time between consultation and exit for 5th review visit,14,How long did you spend after consultation and the point of exit? (min) Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 5,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063356,Time between consultation and exit for 6th review visit,15,How long did you spend after consultation and the point of exit? (min) Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 6,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063357,Time between consultation and exit for 7th review visit,16,How long did you spend after consultation and the point of exit? (min) Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did you spend after consultation and the point of exit? (min) Review visit 7,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063358,Time taken to get to the service provider and back for initial visit,17,How long did it take you to get to the service provider and back? (min) Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Initial visit,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063359,Time taken to get to the service provider and back for 1st review visit,18,How long did it take you to get to the service provider and back? (min) Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 1,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063360,Time taken to get to the service provider and back for 2nd review visit,19,How long did it take you to get to the service provider and back? (min) Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 2,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063361,Time taken to get to the service provider and back for 3rd review visit,20,How long did it take you to get to the service provider and back? (min) Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 3,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063362,Time taken to get to the service provider and back for 4th review visit,21,How long did it take you to get to the service provider and back? (min) Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 4,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063363,Time taken to get to the service provider and back for 5th review visit,22,How long did it take you to get to the service provider and back? (min) Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 5,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063364,Time taken to get to the service provider and back for 6th review visit,23,How long did it take you to get to the service provider and back? (min) Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 6,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063365,Time taken to get to the service provider and back for 7th review visit,24,How long did it take you to get to the service provider and back? (min) Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,How long did it take you to get to the service provider and back? (min) Review visit 7,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063366,Time family member accompanied for initial visit,25,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Initial visit",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Initial visit",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063367,Time family member accompanied for 1st review visit,26,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 1",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063368,Time family member accompanied for 2nd review visit,27,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 2",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063369,Time family member accompanied for 3rd review visit,28,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 3",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063370,Time family member accompanied for 4th review visit,29,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 4",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q48initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063371,Distance covered by family member to get to the facility for initial visit,30,What distance did family member cover in Km to get to the facility?Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Initial visit",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063372,Distance covered by family member to get to the facility for 1st review visit,31,"What distance did family member cover in
Km to get to the facility? Review visit 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 1",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063373,Distance covered by family member to get to the facility for 2nd review visit,32,"What distance did family member cover in
Km to get to the facility? Review visit 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 2",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063374,Distance covered by family member to get to the facility for 3rd review visit,33,"What distance did family member cover in
Km to get to the facility? Review visit 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 3",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063375,Distance covered by family member to get to the facility for 4th review visit,34,"What distance did family member cover in
Km to get to the facility? Review visit 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 4",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063376,Distance covered by family member to get to the facility for 5th review visit,35,"What distance did family member cover in
Km to get to the facility? Review visit 5",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 5",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063377,Distance covered by family member to get to the facility for 6th review visit,36,"What distance did family member cover in
Km to get to the facility? Review visit 6",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 6",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
q48reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063378,Distance covered by family member to get to the facility for 7th review visit,37,"What distance did family member cover in
Km to get to the facility? Review visit 7",Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,"What distance did family member cover in
Km to get to the facility? Review visit 7",,variable,,,,,jilinde_costing_survey,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0054343,HIV/AIDS and STIs,,,,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,1,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,2,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,3,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,4,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,5,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,6,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063132,Source of monetary support,1,,,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq28dotherspecify1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063136,Other sources of monetary support,2,Other sources of monetary support,Participant,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Other sources of monetary support,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq28eotherspecify2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063136,Other sources of monetary support,3,Other sources of monetary support,Participant,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Other sources of monetary support,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30gothersources1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063388,Average monthly income from other sources,4,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,1,,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
q29totalmonthlyincomeforhhold,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000727,Family income in local currency,1,"Average total monthly income for household (in local currency, Kshs)",Household,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"Average total monthly income for household (in local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30asourceofincomeagriculture,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063105,Monthly income from subsistence agriculture,2,"On average how much money per month (income) do you get from subsistence agriculture? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from subsistence agriculture? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30bsourceofincomefulltimeemploy,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063106,Monthly income from paid full-time employment,3,"On average how much money per month (income) do you get from paid full-time employment? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from paid full-time employment? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30csourceofincomeotherpaidemplo,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063107,Monthly income from other paid employment,4,"On average how much money per month (income) do you get from other paid employment? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from other paid employment? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30dsourceofincomecommercialsexw,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063108,Monthly income from commercial sex work,5,"On average how much money per month (income) do you get from commercial sex work? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from commercial sex work? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30esourceofincomerelativesandfr,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063109,Monthly income from remittance,6,"On average how much money per month (income) do you get from remittance from relatives and friends? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from remittance from relatives and friends? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30fsourceofincomefixedassets,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063110,Monthly income from fixed assets,7,"On average how much money per month (income) do you get from fixed assets (e.g. housing, land lease, etc)? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from fixed assets (e.g. housing, land lease, etc)? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30hothersource2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063111,Monthly income from other sources,8,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0011680,Income,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq10ifmarrpartneremployed,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0051716,Partner currently employed,1,"If married or staying together, is your partner currently employed? (i.e. worked or held a job in the past 7 days)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"If married or staying together, is your partner currently employed? (i.e. worked or held a job in the past 7 days)","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq11partneremplinlast12,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063117,Partner work at any time during the 12 months prior to this interview,2,"If not currently employed, did participant's spouse/partner work at any time during the 12 months prior to this interview?",Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"If not currently employed, did participant's spouse/partner work at any time during the 12 months prior to this interview?","1=Yes, 2=No",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq12apartnersoccupation,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063118,Occupation of partner,3,"In case your partner/spouse worked at any time during the 12 months prior to this interview, what is his/her Occupation? (i.e. the job held or the kind of work performed)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"In case your partner/spouse worked at any time during the 12 months prior to this interview, what is his/her Occupation? (i.e. the job held or the kind of work performed)","1=Professional/technical/managerial
2=Clerical
3=Sales and services
4=Skilled manual	
5=Un-skilled manual
6=Domestic service	
7=Commercial sex worker
8=Others (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq12bpartnersotheroccupation1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063119,Occupation of partner specified,4,Partner's other occupation specified,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,Partner's other occupation specified,,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitreason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063138,Initial visit main reason 1,1,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitreason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063139,Initial visit main reason 2,2,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitreason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063140,Initial visit main reason 3,3,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063142,Review visit 1 main reason 1,4,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063143,Review visit 1 main reason 2,5,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit1reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063144,Review visit 1 main reason 3,6,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063146,Review visit 2 main reason 1,7,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063147,Review visit 2 main reason 2,8,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit2reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063148,Review visit 2 main reason 3,9,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063150,Review visit 3 main reason 1,10,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063151,Review visit 3 main reason 2,11,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit3reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063152,Review visit 3 main reason 3,12,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit4reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063154,Review visit 4 main reason 1,13,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit4reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063155,Review visit 4 main reason 2,14,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit4reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063156,Review visit 4 main reason 3,15,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit5reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063158,Review visit 5 main reason 1,16,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
