variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdq32reviewvisit4reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 4","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit4reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 4","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit4other,jilinde_costing_survey,,"Other main reasons 
for choosing this facility/site/service provider for review visit 4 specified","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Other reason",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit5reason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for review visit 5","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit5reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 5","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit5reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 5","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit5other,jilinde_costing_survey,,"Other main reasons 
for choosing this facility/site/service provider for review visit 5 specified","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Other reason",,variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit6reason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for review visit 6","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit6reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 6","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit6reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 6","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit7reason1,jilinde_costing_survey,,"1st main reason 
for choosing this facility/site/service provider for review visit 7","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 1","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit7reason2,jilinde_costing_survey,,"2nd main reason 
for choosing this facility/site/service provider for review visit 7","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 2","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit7reason3,jilinde_costing_survey,,"3rd main reason 
for choosing this facility/site/service provider for review visit 7","What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 3","1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",variable,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,PrEP service received,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice1,jilinde_costing_survey,,First service received during initial visit  ,"Which PrEP services did you receive during each of the visits? Initial visit, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice2,jilinde_costing_survey,,Second service received during initial visit  ,"Which PrEP services did you receive during each of the visits? Initial visit, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice3,jilinde_costing_survey,,Third service received during initial visit  ,"Which PrEP services did you receive during each of the visits? Initial visit, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice4,jilinde_costing_survey,,Fourth service received during initial visit  ,"Which PrEP services did you receive during each of the visits? Initial visit, service 4",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice5,jilinde_costing_survey,,Fifth service received during initial visit  ,"Which PrEP services did you receive during each of the visits? Initial visit, service 5",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 5","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service1,jilinde_costing_survey,,First service received during review visit 1,"Which PrEP services did you receive during each of the visits? Review visit 1, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service2,jilinde_costing_survey,,Second service received during review visit 1,"Which PrEP services did you receive during each of the visits? Review visit 1, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service3,jilinde_costing_survey,,Third service received during review visit 1,"Which PrEP services did you receive during each of the visits? Review visit 1, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service4,jilinde_costing_survey,,Fourth service received during review visit 1,"Which PrEP services did you receive during each of the visits? Review visit 1, service 4",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit1service5,jilinde_costing_survey,,Fifth service received during review visit 1,"Which PrEP services did you receive during each of the visits? Review visit 1, service 5",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 1, service 5","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service1,jilinde_costing_survey,,First service received during review visit 2,"Which PrEP services did you receive during each of the visits? Review visit 2, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service2,jilinde_costing_survey,,Second service received during review visit 2,"Which PrEP services did you receive during each of the visits? Review visit 2, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service3,jilinde_costing_survey,,Third service received during review visit 2,"Which PrEP services did you receive during each of the visits? Review visit 2, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit2service4,jilinde_costing_survey,,Fourth service received during review visit 2,"Which PrEP services did you receive during each of the visits? Review visit 2, service 4",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 2, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service1,jilinde_costing_survey,,First service received during review visit 3,"Which PrEP services did you receive during each of the visits? Review visit 3, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service2,jilinde_costing_survey,,Second service received during review visit 3,"Which PrEP services did you receive during each of the visits? Review visit 3, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service3,jilinde_costing_survey,,Third service received during review visit 3,"Which PrEP services did you receive during each of the visits? Review visit 3, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit3service4,jilinde_costing_survey,,Fourth service received during review visit 3,"Which PrEP services did you receive during each of the visits? Review visit 3, service 4",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 3, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service1,jilinde_costing_survey,,First service received during review visit 4,"Which PrEP services did you receive during each of the visits? Review visit 4, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service2,jilinde_costing_survey,,Second service received during review visit 4,"Which PrEP services did you receive during each of the visits? Review visit 4, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service3,jilinde_costing_survey,,Third service received during review visit 4,"Which PrEP services did you receive during each of the visits? Review visit 4, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit4service4,jilinde_costing_survey,,Fourth service received during review visit 4,"Which PrEP services did you receive during each of the visits? Review visit 4, service 4",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 4, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service1,jilinde_costing_survey,,First service received during review visit 5,"Which PrEP services did you receive during each of the visits? Review visit 5, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service2,jilinde_costing_survey,,Second service received during review visit 5,"Which PrEP services did you receive during each of the visits? Review visit 5, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service3,jilinde_costing_survey,,Third service received during review visit 5,"Which PrEP services did you receive during each of the visits? Review visit 5, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit5service4,jilinde_costing_survey,,Fourth service received during review visit 5,"Which PrEP services did you receive during each of the visits? Review visit 5, service 4",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 5, service 4","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit6service1,jilinde_costing_survey,,First service received during review visit 6,"Which PrEP services did you receive during each of the visits? Review visit 6, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 6, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit6service2,jilinde_costing_survey,,Second service received during review visit 6,"Which PrEP services did you receive during each of the visits? Review visit 6, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 6, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit6service3,jilinde_costing_survey,,Third service received during review visit 6,"Which PrEP services did you receive during each of the visits? Review visit 6, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 6, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit7service1,jilinde_costing_survey,,First service received during review visit 7,"Which PrEP services did you receive during each of the visits? Review visit 7, service 1",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 7, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit7service2,jilinde_costing_survey,,Second service received during review visit 7,"Which PrEP services did you receive during each of the visits? Review visit 7, service 2",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 7, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33reviewvisit7service3,jilinde_costing_survey,,Third service received during review visit 7,"Which PrEP services did you receive during each of the visits? Review visit 7, service 3",Participant,,PrEP service received,"Which PrEP services did you receive during each of the visits? Review visit 7, service 3","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Whether obtain PrEP service during visit,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq34initialvisit,jilinde_costing_survey,,Initial visit,Did you obtain PrEP services during the visit to this facility/site? Initial visit,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Initial visit,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit1,jilinde_costing_survey,,Review visit 1,Did you obtain PrEP services during the visit to this facility/site? Review visit 1,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 1,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit2,jilinde_costing_survey,,Review visit 2,Did you obtain PrEP services during the visit to this facility/site? Review visit 2,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 2,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit3,jilinde_costing_survey,,Review visit 3,Did you obtain PrEP services during the visit to this facility/site? Review visit 3,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 3,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit4,jilinde_costing_survey,,Review visit 4,Did you obtain PrEP services during the visit to this facility/site? Review visit 4,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 4,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit5,jilinde_costing_survey,,Review visit 5,Did you obtain PrEP services during the visit to this facility/site? Review visit 5,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 5,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit6,jilinde_costing_survey,,Review visit 6,Did you obtain PrEP services during the visit to this facility/site? Review visit 6,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 6,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq34reviewvisit7,jilinde_costing_survey,,Review visit 7,Did you obtain PrEP services during the visit to this facility/site? Review visit 7,Participant,,Whether obtain PrEP service during visit,Did you obtain PrEP services during the visit to this facility/site? Review visit 7,"1=Yes (all)
2=Yes (some of the PrEP services)
3=No
8= Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Reason of obtaining only some PrEP services during visit,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
