variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
mmfloor,BC3_Household_Survey_Data,SKIP,,main material of the floor,"Earth or sand, earth and dung, parquet or polished wood, cement, stones, others, skipped",,,,,,mmfloor|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
mmfloordich,BC3_Household_Survey_Data,SKIP,,Materials used for floor,"0=Earth, 1=Concrete/wood/stones",,,,,,mmfloordich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
mmroof,BC3_Household_Survey_Data,SKIP,,main material of the roof.,"Thatched,mud,wood/planks,iron sheets,asbestos,other, skipped",,,,,,mmroof|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
mmroofdich,BC3_Household_Survey_Data,SKIP,,Materials used for roof,"0=Thatched, 1=Iron sheets/wood",,,,,,mmroofdich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
mnths1,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net1?,,,,,,,mnths1|BC3_Household_Survey_Data,,,,,,,variable
mnths10,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net10?,,,,,,,mnths10|BC3_Household_Survey_Data,,,,,,,variable
mnths2,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net2?,,,,,,,mnths2|BC3_Household_Survey_Data,,,,,,,variable
mnths3,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net3?,,,,,,,mnths3|BC3_Household_Survey_Data,,,,,,,variable
mnths4,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net4?,,,,,,,mnths4|BC3_Household_Survey_Data,,,,,,,variable
mnths5,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net5?,,,,,,,mnths5|BC3_Household_Survey_Data,,,,,,,variable
mnths6,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net6?,,,,,,,mnths6|BC3_Household_Survey_Data,,,,,,,variable
mnths7,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net7?,,,,,,,mnths7|BC3_Household_Survey_Data,,,,,,,variable
mnths8,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net8?,,,,,,,mnths8|BC3_Household_Survey_Data,,,,,,,variable
mnths9,BC3_Household_Survey_Data,SKIP,,how many months ago did your household obtain the mosquito net9?,,,,,,,mnths9|BC3_Household_Survey_Data,,,,,,,variable
mobile,BC3_Household_Survey_Data,SKIP,,mobile phone?,"1=Yes, 2=No, -9=Skipped",,,,,,mobile|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
mod,BC-3 mothers delivery database FINAL,keep,,Mode of delivery,"1=Vaginal, 
2=Cesarean",,,,,,mod|BC-3 mothers delivery database FINAL,,,,,,,
mode1,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,,mode1|BC-3 enrollment database FINAL,,,,,,,
mode2,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,Should we do these as separate variables? First delivery second delivery etc.?,mode2|BC-3 enrollment database FINAL,,,,,,,
mode3,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,Should we do these as separate variables? First delivery second delivery etc.?,mode3|BC-3 enrollment database FINAL,,,,,,,
mode4,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,Should we do these as separate variables? First delivery second delivery etc.?,mode4|BC-3 enrollment database FINAL,,,,,,,
mode5,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,Should we do these as separate variables? First delivery second delivery etc.?,mode5|BC-3 enrollment database FINAL,,,,,,,
mode6,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,Should we do these as separate variables? First delivery second delivery etc.?,mode6|BC-3 enrollment database FINAL,,,,,,,
mode7,BC-3 enrollment database FINAL,keep,,Mode,"0=Vigina, 1=Cesarean section",,,,,Should we do these as separate variables? First delivery second delivery etc.?,mode7|BC-3 enrollment database FINAL,,,,,,,
motherBSdich,BC-3 mothers delivery database FINAL,keep,,maternal peripheral BS dichotomized,"0,1,2",,,,,,motherBSdich|BC-3 mothers delivery database FINAL,,,,,,,
motherBSdich,Individual level database FINAL,discard,,maternal peripheral BS dichotomized,"0,1,2",,,,,Same as motherBSdich in Individual db,motherBSdich|Individual level database FINAL,,Blood smear,,,,,variable
moveout,BC-3 screening database FINAL,SKIP,,"Intention of moving outside of Busia District, Uganda","0 = No,
1=Yes",,,,,,moveout|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000375,Plan to move,Specified whether participant has any intention of moving outside of Busia district,Participant,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,variable
mseiz,BC-3 mothers all visits database FINAL,keep,,3 or more seizures over 24 hours,1=checked,,,,,,mseiz|BC-3 mothers all visits database FINAL,,,,,,,
mseiz,BC-3 mothers delivery database FINAL,keep,,3 or more seizures over 24 hours,1=checked,,,,,,mseiz|BC-3 mothers delivery database FINAL,,,,,,,
msga,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):radio?,"1=Yes, 2=No, -9=Skipped",,,,,,msga|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
msgb,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):tv?,"1=Yes, 2=No, -9=Skipped",,,,,,msgb|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
msgc,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):newspaper/leaflet?,"1=Yes, 2=No, -9=Skipped",,,,,,msgc|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msgd,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):health worker/cmd?,"1=Yes, 2=No, -9=Skipped",,,,,,msgd|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msge,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):neighbour/relative/friend,"1=Yes, 2=No, -9=Skipped",,,,,,msge|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msgf,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):community leader?,"1=Yes, 2=No, -9=Skipped",,,,,,msgf|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msgg,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):village public adress system,"1=Yes, 2=No, -9=Skipped",,,,,,msgg|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msgh,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):don't know,"1=Yes, 2=No, -9=Skipped",,,,,,msgh|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msgi,BC3_Household_Survey_Data,SKIP,,where did you hear or see message(s):other,"1=Yes, 2=No, -9=Skipped",,,,,,msgi|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
msk,BC-3 enrollment database FINAL,keep,,msk,,,,,,,msk|BC-3 enrollment database FINAL,,,,,,,
msk,BC-3 mothers all visits database FINAL,keep,,msk,,,,,,,msk|BC-3 mothers all visits database FINAL,,,,,,,
mskdur,BC-3 enrollment database FINAL,keep,,MSK Duration,,,,,,,mskdur|BC-3 enrollment database FINAL,,,,,,,
mskdur,BC-3 mothers all visits database FINAL,keep,,MSK Duration,,,,,,,mskdur|BC-3 mothers all visits database FINAL,,,,,,,
mskgrade,BC-3 enrollment database FINAL,keep,,MSK Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,mskgrade|BC-3 enrollment database FINAL,,,,,,,
mskgrade,BC-3 mothers all visits database FINAL,keep,,MSK Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,mskgrade|BC-3 mothers all visits database FINAL,,,,,,,
mspray,BC3_Household_Survey_Data,SKIP,,"in the past 12 months, have you seen or heard any messages about spraying the in",,,,,,,mspray|BC3_Household_Survey_Data,,Spraying Message,,,,,variable
mstatus,BC-3 enrollment database FINAL,keep,,Malaria status,"0=No Malaria diagnosed today,
1=Uncomplicated malaria treated with AL,
2=Complicated malaria treated with quinine",,,,,,mstatus|BC-3 enrollment database FINAL,,,,,,,
mstatus,BC-3 mothers all visits database FINAL,keep,,Malaria status,"0=No malaria,
1=Uncomplicated(AL),
2=Complicated malaria(Quinine),
3=AL treatment failure,
4=Quinine/artesunate treatment failure",,,,,,mstatus|BC-3 mothers all visits database FINAL,,,,,,,
mstatus,BC-3 mothers delivery database FINAL,keep,,Malaria status,"0=No malaria
1=Uncomplicated(AL)
2=Complicated malaria(Quinine)
3=AL treatment failure
4=Quinine/artesunate treatment failure",,,,,,mstatus|BC-3 mothers delivery database FINAL,,,,,,,
mstatus,BC-3 mothers expanded database FINAL,keep,,Malaria status,"0=No malaria,1=Uncomplicated(AL),2=Complicated malaria(Quinine),3=AL treatment failure,4=Quinine/artesunate treatment failure",,,,,,mstatus|BC-3 mothers expanded database FINAL,,,,,,,
mtest1,BC-3 mothers all visits database FINAL,discard,,1 mtest,,,,,,DROP - Use expanded,mtest1|BC-3 mothers all visits database FINAL,,,,,,,variable
mtest1,BC-3 mothers delivery database FINAL,SKIP,,Heel stick for metabolic testing,"0=Not collected, 1=Collected",,,,,What does this refer to on the CRF? I see 'Cord blood' for metabolic testing but not heel stick.,mtest1|BC-3 mothers delivery database FINAL,,,,,,,
mtest1,BC-3 mothers expanded database FINAL,SKIP,,1 mtest,"0=No,1=Yes",,,,,What does this refer to on the CRF? I see 'Cord blood' for metabolic testing but not heel stick.,mtest1|BC-3 mothers expanded database FINAL,,,,,,,
mtest2,BC-3 mothers all visits database FINAL,discard,,2 mtest,,,,,,DROP - Use expanded,mtest2|BC-3 mothers all visits database FINAL,,,,,,,variable
mtest2,BC-3 mothers delivery database FINAL,SKIP,,Heel stick for metabolic testing,"0=Not collected, 1=Collected",,,,,What does this refer to on the CRF? I see 'Cord blood' for metabolic testing but not heel stick.,mtest2|BC-3 mothers delivery database FINAL,,,,,,,
mtest2,BC-3 mothers expanded database FINAL,SKIP,,2 mtest,"0=No,1=Yes",,,,,What does this refer to on the CRF? I see 'Cord blood' for metabolic testing but not heel stick.,mtest2|BC-3 mothers expanded database FINAL,,,,,,,
mthfcty,BC3_Household_Survey_Data,SKIP,,"if you were to go this facility,how would you most likely go there?","1=car/motorcycle, 2=public transport, 4=walking, 5=bicycle, 8=Don’t know, -9=skipped",,,,,,mthfcty|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0010012,Transportation to clinic,,,Current care expenses,http://purl.obolibrary.org/obo/EUPATH_0010008,variable
multigest,BC-3 enrollment database FINAL,keep,,Multiple gestation,"0 = No,
1=Yes",,,,,,multigest|BC-3 enrollment database FINAL,,,,,,,
mwithin1d,BC-3 enrollment database FINAL,keep,,Is the mother within 1 day before or after 16 or 20 weeks gestational age?,"0 = No,
1=Yes",,,,,,mwithin1d|BC-3 enrollment database FINAL,,,,,,,
n,BC-3 mothers expanded database FINAL,discard,,day of observation,,,,,,,n|BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000191,Days since enrollment,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable
N,BC-3 mothers expanded database FINAL,keep,,total days of observation,,,,,,,N|BC-3 mothers expanded database FINAL,,,,,,,
nausdur,BC-3 enrollment database FINAL,keep,,Nausea Duration,,,,,,,nausdur|BC-3 enrollment database FINAL,,,,,,,
nausdur,BC-3 mothers all visits database FINAL,keep,,Nausea Duration,,,,,,,nausdur|BC-3 mothers all visits database FINAL,,,,,,,
nausgrade,BC-3 enrollment database FINAL,keep,,"Nausea Grade: Rank on a scale of 0-4, absent = 0, mild, = 1, moderate = 2, severe = 3 life-threatening = 4, N/A = unable to assess","0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,nausgrade|BC-3 enrollment database FINAL,,,,,,,
nausgrade,BC-3 mothers all visits database FINAL,keep,,"Nausea Grade: Rank on a scale of 0-4, absent = 0, mild, = 1, moderate = 2, severe = 3 life-threatening = 4, N/A = unable to assess","0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,nausgrade|BC-3 mothers all visits database FINAL,,,,,,,
ndiag1,BC-3 mothers delivery database FINAL,keep,,Diagnosis1,,,,,,,ndiag1|BC-3 mothers delivery database FINAL,,,,,,,
ndiag2,BC-3 mothers delivery database FINAL,keep,,Diagnosis2,,,,,,,ndiag2|BC-3 mothers delivery database FINAL,,,,,,,
ndiag3,BC-3 mothers delivery database FINAL,keep,,Diagnosis3,,,,,,,ndiag3|BC-3 mothers delivery database FINAL,,,,,,,
ndiag4,BC-3 mothers delivery database FINAL,keep,,Diagnosis4,,,,,,,ndiag4|BC-3 mothers delivery database FINAL,,,,,,,
ndiag5,BC-3 mothers delivery database FINAL,keep,,Diagnosis5,,,,,,,ndiag5|BC-3 mothers delivery database FINAL,,,,,,,
neonataldeath,BC-3 mothers delivery database FINAL,keep,,Death of live infant by 28 days,"0,1",,,,,,neonataldeath|BC-3 mothers delivery database FINAL,,,,,,,
neonataldeath,Individual level database FINAL,discard,,Death of live infant by 28 days,"0,1",,,,,,neonataldeath|Individual level database FINAL,,,,,,,
netlastnight,BC-3 enrollment database FINAL,keep,,Did you sleep under a bednet last night?,"0=No,
1=Yes,99=N/A",,,,,,netlastnight|BC-3 enrollment database FINAL,,,,,,,
netlastnight,BC3_Household_Survey_Data,SKIP,,Did you sleep under a bednet last night?,"0=No, 1=Yes      ",,,,,,netlastnight|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0024123,Bednets,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,variable
nettreated,BC-3 enrollment database FINAL,keep,,Is the bednet insectcide treated?,"0=No,
1=Yes,
9=Unknown,99=N/A",,,,,,nettreated|BC-3 enrollment database FINAL,,,,,,,
neuro,BC-3 enrollment database FINAL,keep,,Neuro,,,,,,,neuro|BC-3 enrollment database FINAL,,,,,,,
neuro,BC-3 mothers all visits database FINAL,keep,,Neuro,,,,,,,neuro|BC-3 mothers all visits database FINAL,,,,,,,
neurodur,BC-3 enrollment database FINAL,keep,,Neuro Duration,,,,,,,neurodur|BC-3 enrollment database FINAL,,,,,,,
neurodur,BC-3 mothers all visits database FINAL,keep,,Neuro Duration,,,,,,,neurodur|BC-3 mothers all visits database FINAL,,,,,,,
neurograde,BC-3 enrollment database FINAL,keep,,Neuro Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,neurograde|BC-3 enrollment database FINAL,,,,,,,
neurograde,BC-3 mothers all visits database FINAL,keep,,Neuro Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,neurograde|BC-3 mothers all visits database FINAL,,,,,,,
neutro,BC-3 enrollment database FINAL,keep,,Neutrophils,,,,,,,neutro|BC-3 enrollment database FINAL,,,,,,,
neutro,BC-3 mothers all visits database FINAL,discard,,Neutrophils result,,,,,,DROP - Use expanded,neutro|BC-3 mothers all visits database FINAL,,,Neutrophils results,Sample,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000058,variable
neutro,BC-3 mothers delivery database FINAL,discard,,Neutrophils,,,,,,DROP - Use expanded,neutro|BC-3 mothers delivery database FINAL,,,,Sample,,,variable
neutro,BC-3 mothers expanded database FINAL,keep,,Neutrophils result,,,,,,,neutro|BC-3 mothers expanded database FINAL,,,,,,,
neutrograde,BC-3 enrollment database FINAL,keep,,Neutrophils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,neutrograde|BC-3 enrollment database FINAL,,,,,,,
neutrograde,BC-3 mothers all visits database FINAL,keep,,neutropils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,neutrograde|BC-3 mothers all visits database FINAL,,,,,,,
neutrograde,BC-3 mothers delivery database FINAL,keep,,Neutrophils grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,neutrograde|BC-3 mothers delivery database FINAL,,,,,,,
nextvst,BC-3 enrollment database FINAL,discard,,Date of next scheduled clinic visit:,date,,,,,DROP,nextvst|BC-3 enrollment database FINAL,DROP,,Date of next scheduled visit,,,,variable
nextvst,BC-3 mothers all visits database FINAL,SKIP,,date of next scheduled clinic visit,date,,,,,,nextvst|BC-3 mothers all visits database FINAL,,Next visit date,,,,,variable
nextvst,BC-3 mothers delivery database FINAL,SKIP,,Date of next scheduled clinic visit,date,,,,,,nextvst|BC-3 mothers delivery database FINAL,,Next visit date,,,,,variable
nmed1,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed1|BC-3 enrollment database FINAL,,,,,,,
nmed1,BC-3 mothers all visits database FINAL,keep,,new medication1,,,,,,Repeated measure,nmed1|BC-3 mothers all visits database FINAL,,,,,,,
nmed1,BC-3 mothers delivery database FINAL,keep,,Medication at discharge1,,,,,,Repeated measure,nmed1|BC-3 mothers delivery database FINAL,,,,,,,
nmed2,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed2|BC-3 enrollment database FINAL,,,,,,,
nmed2,BC-3 mothers all visits database FINAL,keep,,new medication2,,,,,,Repeated measure,nmed2|BC-3 mothers all visits database FINAL,,,,,,,
nmed2,BC-3 mothers delivery database FINAL,keep,,Medication at discharge2,,,,,,Repeated measure,nmed2|BC-3 mothers delivery database FINAL,,,,,,,
nmed3,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed3|BC-3 enrollment database FINAL,,,,,,,
nmed3,BC-3 mothers all visits database FINAL,keep,,new medication3,,,,,,Repeated measure,nmed3|BC-3 mothers all visits database FINAL,,,,,,,
nmed3,BC-3 mothers delivery database FINAL,keep,,Medication at discharge3,,,,,,Repeated measure,nmed3|BC-3 mothers delivery database FINAL,,,,,,,
nmed4,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed4|BC-3 enrollment database FINAL,,,,,,,
nmed4,BC-3 mothers all visits database FINAL,keep,,new medication4,,,,,,Repeated measure,nmed4|BC-3 mothers all visits database FINAL,,,,,,,
nmed4,BC-3 mothers delivery database FINAL,keep,,Medication at discharge4,,,,,,Repeated measure,nmed4|BC-3 mothers delivery database FINAL,,,,,,,
nmed5,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed5|BC-3 enrollment database FINAL,,,,,,,
nmed5,BC-3 mothers all visits database FINAL,keep,,new medication5,,,,,,Repeated measure,nmed5|BC-3 mothers all visits database FINAL,,,,,,,
nmed5,BC-3 mothers delivery database FINAL,discard,,Medication at discharge5,,,,,,DROP - All NULL,nmed5|BC-3 mothers delivery database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021103,Medication provided 5,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,variable
nmed6,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed6|BC-3 enrollment database FINAL,,,,,,,
nmed6,BC-3 mothers all visits database FINAL,keep,,new medication6,,,,,,Repeated measure,nmed6|BC-3 mothers all visits database FINAL,,,,,,,
nmed7,BC-3 enrollment database FINAL,keep,,Medication Code,,,,,,Repeated measure,nmed7|BC-3 enrollment database FINAL,,,,,,,
nmed7,BC-3 mothers all visits database FINAL,keep,,new medication7,,,,,,Repeated measure,nmed7|BC-3 mothers all visits database FINAL,,,,,,,
nocord,BC-3 mothers delivery database FINAL,keep,,Number of cords collected,N/A,,,,,,nocord|BC-3 mothers delivery database FINAL,,,,,,,
noinfants,BC-3 mothers delivery database FINAL,discard,,Number of infants,,,,,,DROP - Use individual,noinfants|BC-3 mothers delivery database FINAL,,,Number of infants at birth,Observation,Labor and delivery,,variable
noinfants,Individual level database FINAL,keep,,Number of infants,"1,2",,,,,,noinfants|Individual level database FINAL,,,,,,,
nomboat,BC3_Household_Survey_Data,SKIP,,a boat without a  motor?,"1=Yes, 2=No, -9=Skipped",,,,,,nomboat|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
noplas,BC-3 mothers delivery database FINAL,discard,,Number of placentas collected,,,,,,DROP - Use individual,noplas|BC-3 mothers delivery database FINAL,,Number of placentas collected,Number of placentas collected if more than one,Observation,Labor and delivery,,variable
noplas,Individual level database FINAL,keep,,Number of placentas,"1,2",,,,,,noplas|Individual level database FINAL,,,,,,,
notapp,BC-3 mothers delivery database FINAL,keep,,Presentation to hospital is NOT Applicable,1=ticked,,,,,,notapp|BC-3 mothers delivery database FINAL,,,,,,,
nrvisit,BC-3 mothers all visits database FINAL,keep,,Type of next scheduled visit,"0=Non-routine visit,
1=Routine visit",,,,,,nrvisit|BC-3 mothers all visits database FINAL,,,,,,,
nthung1,BC3_Household_Survey_Data,SKIP,,"if net1 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung10,BC3_Household_Survey_Data,SKIP,,"if net10 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung2,BC3_Household_Survey_Data,SKIP,,"if net2 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung3,BC3_Household_Survey_Data,SKIP,,"if net3 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung4,BC3_Household_Survey_Data,SKIP,,"if net4 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung4|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung5,BC3_Household_Survey_Data,SKIP,,"if net5 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung5|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung6,BC3_Household_Survey_Data,SKIP,,"if net6 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung6|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung7,BC3_Household_Survey_Data,SKIP,,"if net7 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung7|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung8,BC3_Household_Survey_Data,SKIP,,"if net8 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung8|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
nthung9,BC3_Household_Survey_Data,SKIP,,"if net9 was not hung, why not?","1=nowhere to hung, 6=Don’t want to hang, 7=extra net/used for visitor/owner not home, 96=other, -9=skipped",,,,,,nthung9|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000226,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021107,variable
numaland,BC3_Household_Survey_Data,SKIP,,how many acres of agricultural land do members of this household own?,,,,,,,numaland|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000026,Acres,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,variable
numalandcat,BC3_Household_Survey_Data,SKIP,,how many acres of agricultural land do members of this household own?,"0=None, 1=<=2, 2= 3 or more",,,,,,numalandcat|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000026,Acres,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,variable
nuseda1,BC3_Household_Survey_Data,SKIP,,Reason why this net1 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda1|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda10,BC3_Household_Survey_Data,SKIP,,Reason why this net10 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda10|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda2,BC3_Household_Survey_Data,SKIP,,Reason why this net2 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda2|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
nuseda3,BC3_Household_Survey_Data,SKIP,,Reason why this net3 was not used : too hot,"1=yes, 2=no, -9= skipped",,,,,,nuseda3|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000217,ITN last night,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021098,variable
