variable,colOrder,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag,IRI,label,displayOrder,parentLabel,parentIRI
distress,103,prism border cohort study all visits database through october 31st 2020,discard,,Observation,severe malaria: respiratory distress,"1-Yes
0-No",value,,,,distress,prism border cohort study all visits database through october 31st 2020::distress,dbl+lbl,0,NA,NA,0 to 0,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020252,Respiratory distress,NA,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184
jaundice,104,prism border cohort study all visits database through october 31st 2020,discard,,Observation,severe malaria: jaundice,"1-Yes
0-No
9-Cannot assess",value,,,,jaundice,prism border cohort study all visits database through october 31st 2020::jaundice,dbl+lbl,0,NA,NA,0 to 0,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/HP_0000952,Jaundice,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
other,105,prism border cohort study all visits database through october 31st 2020,discard,,Observation,severe malaria: other criteria,"1-Yes
0-No",value,,,,other,prism border cohort study all visits database through october 31st 2020::other,dbl+lbl,0,NA,NA,0 to 0,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020142,Other severe disease,NA,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184
othersigns,106,prism border cohort study all visits database through october 31st 2020,discard,,Observation,other criteria for severe malaria,NA,variable,,,,othersigns,prism border cohort study all visits database through october 31st 2020::othersigns,dbl,-9,NA,NA,-9 to -9,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020143,Other severe malaria signs,4,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
bsreading,107,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Blood smear reading,"1-Urgent
0-Routine",variable,,,,bsreading,prism border cohort study all visits database through october 31st 2020::bsreading,dbl+lbl,1,NA,NA,-9 to 1,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020055,Blood smear reading,NA,Blood eukaryote testing,http://purl.obolibrary.org/obo/EUPATH_0021130
parasitedensity,108,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Parasite density by microscopy,NA,variable,,,,parasitedensity,prism border cohort study all visits database through october 31st 2020::parasitedensity,dbl,1200,NA,NA,0 to 193920,210,NA,0.114978903,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000092,"Plasmodium asexual stages (per uL blood), by microscopy",3,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
bsdich,109,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Whether parasitemic by microscopy,NA,NA,,,,BSdich,prism border cohort study all visits database through october 31st 2020::bsdich,dbl+lbl,1,NA,NA,0 to 1,2,NA,0.114978903,duplicated variable,NA,NA,NA,NA,NA
bscat,110,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,BS categories,NA,NA,,,,BScat,prism border cohort study all visits database through october 31st 2020::bscat,dbl+lbl,4,NA,NA,0 to 4,4,NA,0.114978903,duplicated variable,NA,NA,NA,NA,NA
gametocytes,111,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Gametocyte density by microscopy,NA,variable,,,,gametocytes,prism border cohort study all visits database through october 31st 2020::gametocytes,dbl,0,NA,NA,-9 to 544,11,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0023018,"Plasmodium gametocytes (per uL blood), by microscopy",6,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
hemoglobin,112,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Hemoglobin level in gm/dL,NA,variable,,,,hemoglobin,prism border cohort study all visits database through october 31st 2020::hemoglobin,dbl,12.5,NA,NA,7.30000019073486 to 20.7000007629395,104,NA,0.674578059,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),NA,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795
anemia11,113,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Hb < 11 gm/dL,,variable,,,,anemia11,prism border cohort study all visits database through october 31st 2020::anemia11,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.674578059,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0011161,Anemia (hemoglobin less than 11g/dL),NA,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795
qpcr,114,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Parasite density by qPCR,NA,variable,,,,qpcr,prism border cohort study all visits database through october 31st 2020::qpcr,dbl,146.0167542,NA,NA,0 to 177598.984375,797,NA,0.203586498,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020166,"Plasmodium (per uL), by qPCR",8,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
qpcrdich,115,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Whether parasitemic by qPCR,NA,NA,,,,qPCRdich,prism border cohort study all visits database through october 31st 2020::qpcrdich,dbl+lbl,1,NA,NA,0 to 1,2,NA,0.203586498,duplicated variable,NA,NA,NA,NA,NA
qpcrcat,116,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,qPCR categories,NA,NA,,,,qPCRcat,prism border cohort study all visits database through october 31st 2020::qpcrcat,dbl+lbl,7,NA,NA,0 to 8,9,NA,0.203586498,duplicated variable,NA,NA,NA,NA,NA
hospitalizations,117,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Whether the participant was hospitalized,NA,NA,,,,hospitalizations,prism border cohort study all visits database through october 31st 2020::hospitalizations,dbl+lbl,0,NA,NA,0 to 1,2,NA,0,duplicated variable,NA,NA,NA,NA,NA
nextvisit,118,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Date of next scheduled visit,NA,NA,,,,nextvisit,prism border cohort study all visits database through october 31st 2020::nextvisit,chr,10/19/20,date?,%Y-%m-%d,>10 unique values,40,NA,0,duplicated variable,NA,NA,NA,NA,NA
barcode,119,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Laboratory barcode,NA,NA,,,,barcode,prism border cohort study all visits database through october 31st 2020::barcode,chr,WBLQ,NA,NA,>10 unique values,1678,NA,0.114978903,duplicated variable,NA,NA,NA,NA,NA
mfdone,120,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Membrane feeding done,NA,NA,,,,MFdone,prism border cohort study all visits database through october 31st 2020::mfdone,dbl,1,NA,NA,1 to 1,1,NA,0.958860759,duplicated variable,NA,NA,NA,NA,NA
numfed,121,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Number of mosquitoes fed,NA,variable,,,,numfed,prism border cohort study all visits database through october 31st 2020::numfed,dbl,76,NA,NA,61 to 90,29,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020081,Fed mosquitoes (count),5,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
numdissected,122,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Number of mosquitoes dissected,NA,variable,,,,numdissected,prism border cohort study all visits database through october 31st 2020::numdissected,dbl,70,NA,NA,48 to 89,33,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020120,Mosquitoes dissected (count),6,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
anyoocysts,123,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Number of mosquitoes with any oocyst,,variable,,,,anyoocysts,prism border cohort study all visits database through october 31st 2020::anyoocysts,dbl,0,NA,NA,0 to 39,6,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020242,Mosquitos with oocysts (count),8,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
propinfected,124,prism border cohort study all visits database through october 31st 2020,discard,Proportion of mosquitos with oocysts to all fed mosquitos,Sample,Proportion of feed mosquitoes with oocysts,,variable,,,,propinfected,prism border cohort study all visits database through october 31st 2020::propinfected,dbl,0,NA,NA,0 to 0.549295783042908,8,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020243,Mosquitos with oocysts (proportion),9,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
anyinfections,125,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Feed resulted in any infected mosquitoes,NA,NA,,,,anyinfections,prism border cohort study all visits database through october 31st 2020::anyinfections,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.958860759,NA,NA,NA,NA,NA,NA
totaloocysts,126,prism border cohort study all visits database through october 31st 2020,discard,Total number of oocysts from all blood-fed mosquitos,Sample,Total number of oocyst,,variable,,,,totaloocysts,prism border cohort study all visits database through october 31st 2020::totaloocysts,dbl,0,NA,NA,0 to 326,8,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020251,Total oocysts,10,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
source,127,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Source of mosquitoes,"1-  Colony
2- Wild colleced",variable,,,,source,prism border cohort study all visits database through october 31st 2020::source,dbl+lbl,1,NA,NA,1 to 1,1,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020118,Mosquito source,4,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
media,128,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Type of media,"1- Whole blood
2- Serum replacement
3-  Autologous Plasma",variable,,,,media,prism border cohort study all visits database through october 31st 2020::media,dbl+lbl,1,NA,NA,1 to 1,1,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020108,Media type,3,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
feedingmethod,129,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Method of feeding,"1- Membrane feeding
2- Skin feeding",variable,,,,feedingmethod,prism border cohort study all visits database through october 31st 2020::feedingmethod,dbl+lbl,1,NA,NA,1 to 1,1,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020085,Feeding method,2,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
leaking,130,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Blood leaking from feeders,"1- Yes
0- No",variable,,,,leaking,prism border cohort study all visits database through october 31st 2020::leaking,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020054,Blood leaking from feeders,11,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
notfeeding,131,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Mosquitoes were not feeding,"1- Yes
0- No",variable,,,,notfeeding,prism border cohort study all visits database through october 31st 2020::notfeeding,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020121,Mosquitoes not feeding,12,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
deadmosq,132,prism border cohort study all visits database through october 31st 2020,discard,,Sample,Number of dead mosquitoes,NA,variable,,,,deadmosq,prism border cohort study all visits database through october 31st 2020::deadmosq,dbl,6,NA,NA,0 to 17,12,NA,0.958860759,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020067,Dead mosquitoes (count),13,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
routinestatus,133,prism border cohort study all visits database through october 31st 2020,discard,NA,NA,Infection status,NA,NA,,,,routinestatus,prism border cohort study all visits database through october 31st 2020::routinestatus,dbl+lbl,4,NA,NA,0 to 4,5,NA,0,NA,NA,NA,NA,NA,NA
cohortid,1,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Participant ID number,NA,NA,,,,cohortid,prism border cohort study expanded database through october 31st 2020::cohortid,dbl,88,NA,NA,1 to 483,483,NA,0,duplicated variable,NA,NA,NA,NA,NA
hhid,2,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Household ID number,NA,NA,,,,hhid,prism border cohort study expanded database through october 31st 2020::hhid,dbl,315023501,NA,NA,101005301 to 315032601,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
screening,3,prism border cohort study expanded database through october 31st 2020,keep,,Participant,Whether subject was enrolled during initial household enrollment or after,,variable,,,,screening,prism border cohort study expanded database through october 31st 2020::screening,dbl+lbl,1,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000219,Timing of enrollment,NA,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307
district,4,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,District,NA,NA,,,,District,prism border cohort study expanded database through october 31st 2020::district,dbl+lbl,2,NA,NA,1 to 2,2,NA,0,duplicated variable,NA,NA,NA,NA,NA
parish,5,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Parish,NA,NA,,,,Parish,prism border cohort study expanded database through october 31st 2020::parish,dbl+lbl,3,NA,NA,1 to 3,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
zones,6,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Zones,NA,NA,,,,Zones,prism border cohort study expanded database through october 31st 2020::zones,dbl+lbl,4,NA,NA,1 to 4,4,NA,0,duplicated variable,NA,NA,NA,NA,NA
village,7,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Village,NA,NA,,,,Village,prism border cohort study expanded database through october 31st 2020::village,dbl+lbl,315,NA,NA,101 to 315,10,NA,0,duplicated variable,NA,NA,NA,NA,NA
gender,8,prism border cohort study expanded database through october 31st 2020,keep,,Participant,Gender,"1-Male
2-Female",variable,,,,gender,prism border cohort study expanded database through october 31st 2020::gender,dbl+lbl,2,NA,NA,1 to 2,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/PATO_0000047,Sex,NA,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981
dob,9,prism border cohort study expanded database through october 31st 2020,keep,,Participant,Date of birth,NA,variable,,,,dob,prism border cohort study expanded database through october 31st 2020::dob,date,17897,NA,NA,-6358 to 18483,441,NA,0,duplicated variable,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,NA,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981
enrolldate,10,prism border cohort study expanded database through october 31st 2020,keep,Date of Enrollment,Participant,Date of enrollment,NA,variable,,,,enrolldate,prism border cohort study expanded database through october 31st 2020::enrolldate,date,18486,date?,NA,18484 to 18547,23,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,NA,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307
reenrolldate,11,prism border cohort study expanded database through october 31st 2020,keep,,Participant,Date participant re-enrolled,,variable,,,,reenrolldate,prism border cohort study expanded database through october 31st 2020::reenrolldate,date,NA,date?,NA,Inf to -Inf,0,NA,1,no data,http://purl.obolibrary.org/obo/EUPATH_0020258,Re-enrollment date,NA,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307
lastdate,12,prism border cohort study expanded database through october 31st 2020,keep,,Participant,Last date of observation,,variable,,,,lastdate,prism border cohort study expanded database through october 31st 2020::lastdate,date,18566,date?,NA,18566 to 18566,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000152,Last date observed,NA,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307
duration,13,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Duration of observation in days,NA,NA,,,,duration,prism border cohort study expanded database through october 31st 2020::duration,dbl,80,NA,NA,19 to 82,23,NA,0,NA,NA,NA,NA,NA,NA
n,14,prism border cohort study expanded database through october 31st 2020,keep,,Observation,day of observation,,variable,,,,n,prism border cohort study expanded database through october 31st 2020::n,dbl,47,NA,NA,0 to 82,83,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000191,Days since enrollment,4,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
date,15,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Date of observation,NA,variable,,,,date,prism border cohort study expanded database through october 31st 2020::date,date,18533,date?,NA,18484 to 18566,83,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,1,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
monthyear,16,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Month and year,NA,NA,,,,monthyear,prism border cohort study expanded database through october 31st 2020::monthyear,dbl,728,NA,NA,727 to 729,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
uniqueid,17,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Unique ID number (id+date),NA,NA,,,,uniqueid,prism border cohort study expanded database through october 31st 2020::uniqueid,dbl,8822186,NA,NA,122137 to 48322219,33255,NA,0,duplicated variable,NA,NA,NA,NA,NA
ageyrs,18,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Age in years,,variable,,,,ageyrs,prism border cohort study expanded database through october 31st 2020::ageyrs,dbl,1.742465734,NA,NA,0.0493150688707829 to 68.2849349975586,12411,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),2,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
agecat,19,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Age categories,,variable,,,,agecat,prism border cohort study expanded database through october 31st 2020::agecat,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020222,Age at visit categorization,3,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
days,20,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Value of 1 for each day of observation,NA,NA,,,,days,prism border cohort study expanded database through october 31st 2020::days,dbl,1,NA,NA,1 to 1,1,NA,0,duplicated variable,NA,NA,NA,NA,NA
visittype,21,prism border cohort study expanded database through october 31st 2020,keep,"Information about clincial history, anthropometry, vital signs, symptoms, samples, and treatment were collected at enrollment as well as routine and non-routine visits to the cinic. Information about sleeping habits and mosquito traps were collected at entomology visits to the participant's home, which occured every 2 weeks.",Observation,Type of clinic visit,"1- Routine visit (done every 28 days)
2- Non-routine visit(all unsheduled days)",variable,,,,visittype,prism border cohort study expanded database through october 31st 2020::visittype,dbl+lbl,1,NA,NA,0 to 2,3,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,1,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738
childbearing,22,prism border cohort study expanded database through october 31st 2020,keep,Only assessed for women,Observation,Whether a woman of childbearing age,"1-Yes
0-No",variable,,,,childbearing,prism border cohort study expanded database through october 31st 2020::childbearing,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.945271388,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020059,Child bearing age,5,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002
pregnant,23,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Whether pregnant if woman of childbearing age,"1-Yes
0-No",variable,,,,pregnant,prism border cohort study expanded database through october 31st 2020::pregnant,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/UBERON_0009097,Pregnant,6,Obstetrics,http://purl.obolibrary.org/obo/EUPATH_0042002
trimister,24,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Trimester if pregnant,"1- 1st Trimister
2- 2nd Trimister
3- 3rd Trimister",variable,,,,trimister,prism border cohort study expanded database through october 31st 2020::trimister,dbl+lbl,-9,NA,NA,-9 to 3,4,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/NCIT_C69121,Trimester,7,Pregnancy,http://purl.obolibrary.org/obo/EUPATH_0042004
careoutside,25,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Any outside medical care since last visit,"1-Yes
0-No",variable,,,,careoutside,prism border cohort study expanded database through october 31st 2020::careoutside,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0021099,Visited other health facility,1,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
wcaregiven1,26,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Where outside care given 1st time,NA,variable,,,,wcaregiven1,prism border cohort study expanded database through october 31st 2020::wcaregiven1,chr,-9,NA,NA,", -9, Clinic, Drug shop, Home, Private clinic, home",6,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0021100,Other health facility name,3,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
cdate1,27,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Date of outside care 1st time,NA,variable,,,,cdate1,prism border cohort study expanded database through october 31st 2020::cdate1,chr,8/31/20,date?,%Y-%m-%d,>10 unique values,13,NA,0.999488799,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020137,Other health facility visit date,4,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
diagnosis1,28,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Diagnosis given 1st time,NA,variable,,,,diagnosis1,prism border cohort study expanded database through october 31st 2020::diagnosis1,chr,-9,NA,NA,>10 unique values,10,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020135,Other health facility diagnosis,6,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
bsdone1,29,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Whether BS was done 1st time,"1-Yes
0-No
9 - Don't know",variable,,,,bsdone1,prism border cohort study expanded database through october 31st 2020::bsdone1,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020134,Other health facility blood smear done,5,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
wcaregiven2,30,prism border cohort study expanded database through october 31st 2020,keep,,NA,Where outside care given 2nd time,NA,NA,,,,wcaregiven2,prism border cohort study expanded database through october 31st 2020::wcaregiven2,dbl,-9,NA,NA,-9 to -9,1,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
cdate2,31,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Date of outside care 2nd time,NA,NA,,,,cdate2,prism border cohort study expanded database through october 31st 2020::cdate2,dbl,NA,date?,NA,Inf to -Inf,0,NA,1,no data,NA,NA,NA,NA,NA
diagnosis2,32,prism border cohort study expanded database through october 31st 2020,keep,,NA,Diagnosis given 2nd time,NA,NA,,,,diagnosis2,prism border cohort study expanded database through october 31st 2020::diagnosis2,dbl,-9,NA,NA,-9 to -9,1,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
bsdone2,33,prism border cohort study expanded database through october 31st 2020,keep,,NA,Whether BS was done 2nd time,NA,NA,,,,bsdone2,prism border cohort study expanded database through october 31st 2020::bsdone2,dbl+lbl,-9,NA,NA,-9 to -9,1,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
osantimalarial,34,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Outside antimalarial given since last visit,"1-Yes
0-No",variable,,,,osantimalarial,prism border cohort study expanded database through october 31st 2020::osantimalarial,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020168,Received antimalarial treatment,2,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
antimalarial1,35,prism border cohort study expanded database through october 31st 2020,keep,,Observation,1st antimalarial given,NA,variable,,,,antimalarial1,prism border cohort study expanded database through october 31st 2020::antimalarial1,chr,-9,NA,NA,", -9, Artemether, SP, T.AL",4,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020133,Other health facility antimalarial treatment,7,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
dose1,36,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Dose of 1st antimalarial given,NA,variable,,,,dose1,prism border cohort study expanded database through october 31st 2020::dose1,chr,-9,NA,NA,", -9, 1, 3 tabs, 300mg, 40/240mg, 40mg",6,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020132,Other health facility antimalarial dose,8,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
lgdate1,37,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Last date 1st antimalarial given,NA,variable,,,,lgdate1,prism border cohort study expanded database through october 31st 2020::lgdate1,chr,8/31/20,date?,%Y-%m-%d,", 2020-08-31, 2020-09-10, 2020-09-14, 2020-09-24, 2020-09-29",5,NA,0.999849647,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020136,Other health facility last antimalarial date,9,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
antimalarial2,38,prism border cohort study expanded database through october 31st 2020,keep,,NA,2nd antimalarial given,NA,NA,,,,antimalarial2,prism border cohort study expanded database through october 31st 2020::antimalarial2,chr,-9,NA,NA,", -9, AL",2,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
dose2,39,prism border cohort study expanded database through october 31st 2020,keep,,NA,Dose of 2nd antimalarial given,NA,NA,,,,dose2,prism border cohort study expanded database through october 31st 2020::dose2,chr,-9,NA,NA,", -9, 4 tabs",2,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
lgdate2,40,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Last date 2nd antimalarial given,NA,NA,,,,lgdate2,prism border cohort study expanded database through october 31st 2020::lgdate2,chr,9/30/20,date?,%Y-%m-%d,", 2020-09-30",1,NA,0.999969929,duplicated variable,NA,NA,NA,NA,NA
itnlastnight,41,prism border cohort study expanded database through october 31st 2020,keep,Asked at clinic visits,Observation,Did the participant sleep under an LLIN last night,"1-Yes
0-No",variable,,,,itnlastnight,prism border cohort study expanded database through october 31st 2020::itnlastnight,dbl+lbl,1,NA,NA,0 to 1,2,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000216,ITN last night,NA,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097
lastvisit,42,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Date of last visit,NA,NA,,,,lastvisit,prism border cohort study expanded database through october 31st 2020::lastvisit,chr,9/25/20,date?,%Y-%m-%d,>10 unique values,70,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
travelout,43,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Any overnight travel since last visit,NA,variable,,,,travelout,prism border cohort study expanded database through october 31st 2020::travelout,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020181,Traveled since last clinic visit,NA,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000340
headofhh,44,prism border cohort study expanded database through october 31st 2020,keep,,NA,Is this the head of the household?,NA,NA,,,,headofhh,prism border cohort study expanded database through october 31st 2020::headofhh,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
visitors,45,prism border cohort study expanded database through october 31st 2020,keep,,NA,Any overnight visitors since last clinic visit,NA,NA,,,,visitors,prism border cohort study expanded database through october 31st 2020::visitors,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0.957510149,duplicated variable,NA,NA,NA,NA,NA
temperature,46,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Measured temperature,NA,variable,,,,temperature,prism border cohort study expanded database through october 31st 2020::temperature,dbl,36.29999924,NA,NA,35 to 39.7000007629395,47,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),1,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
