"displayOrder","variable","dataFile","IRI","label","definition","category","parentLabel","parentIRI","termType","colOrder","codebookDescription","codebookValues","notesForOnt"
"","hh_12m::netsperperson","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0020227","Bednets per person","Number of bednets per person in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_12m::nettype","hh_12m","new IRI","UCC LLIN type","Type of long-lasting insecticide-treated bednets (LLINs) the household received during the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health.","Household","Universal Coverage Campaign","","variable","","What type of nets did you receive ","1 : PermaNet 2.0, 2 :PermaNet 3.0, 3 :Olyset Net, 4 :Olyset Plus, -7: Don’t Know, -8: Refused to answer","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_12m::nomboat","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000170","Boat without a motor","Whether any member of the household owned or had access to a boat without a motor.","Household","Assets","","value","","A boat without a  motor?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::nonanophfem","hh_12m","new IRI","Female non-Anopheline count","Number of female non-Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Entomology","","variable","","Number of Female Non-Anopheline","Numeric","new term, suggested parent = Entomology"
"","hh_12m::nonanophmal","hh_12m","new IRI","Male non-Anopheline count","Number of male non-Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Entomology","","variable","","Number of Male  Non-Anopheline","Numeric","new term, suggested parent = Entomology"
"","hh_12m::numaland","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000026","Acres","Number of acres of agricultural land owned by members of this household. Households where members owned more than 10,000 acres were recorded as owning 10,000 acres.","Household","Socioeconomic factors","","variable","","How many acres of agricultural land do members of this household own? IF NONE, ENTER '0', IF 10,000 OR MORE, ENTER 10,000","0-10,000, -7: Don't know, -8: Refused to answer",""
"","hh_12m::numalandcat","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0020221","Acres categorization","Categorization of the number of acres of agricultural land owned by members of this household.","Household","Socioeconomic factors","","variable","","Acres of land owned categories","",""
"","hh_12m::numpeop","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000019","Persons living in house","Number of people in this household.","Household","Socioeconomic factors","","variable","","","",""
"","hh_12m::othanophfem","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000200","Other female Anopheles species count","Number of other or unidentified female Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households.","Entomology","Anopheles results","","variable","","Number of female Anopheles -Other/Unidentified","Numeric",""
"","hh_12m::othanophmal","hh_12m","new IRI","Other male Anopheles species count","Number of other or unidentified male Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","Number of male  Anopheles -Other/Unidentified","Numeric","new term, suggested parent = Anopheles result"
"","hh_12m::othereng","hh_12m","http://purl.obolibrary.org/obo/OBI_0400065","Lighting source","Main source of artificial lighting for the household.","Household","Dwelling facilities","","variable","","Specify other source of energy for lighting","String",""
"","hh_12m::otherfcy","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000335","Human waste facilities","Main kind of toilet facilities used by the household.","Household","Waste disposal","","variable","","Specify other kind of toilet facilities","String",""
"","hh_12m::otherfuel","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000023","Cooking fuel","The main type of fuel the household used for cooking.","Household","Dwelling facilities","","variable","","Specify other type of fuel used","String",""
"","hh_12m::othermme","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000009","Wall material","Primary material of exterior walls.","Household","Dwelling characteristics","","variable","","Specify other material of the exterior walls","String",""
"","hh_12m::othermmf","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000006","Floor material","Primary material of floors.","Household","Dwelling characteristics","","variable","","Specify other material of the floor","String",""
"","hh_12m::othermmr","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000003","Roof material","Primary material of the roof.","Household","Dwelling characteristics","","variable","","Specify other material of the roof","String",""
"","hh_12m::othermth","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0020217","Transit to health facility","Method of transit used to reach the nearest health facility.","Household","Dwelling environment","","variable","","Specify other means of transport to the health facility","String",""
"","hh_12m::otherrgs","hh_12m","new IRI","Reason refused IRS","Main reason the household did not grant permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes.","Household","Household vector intervention","","variable","","Specify other reasons for not granting permission to spray the interior walls of your dwelling against mosquitoes","String","new term, suggested parent = Household vector intervention"
"","hh_12m::otherscs","hh_12m","http://purl.obolibrary.org/obo/ENVO_00003064","Drinking water source","Main source of drinking water for members of the household.","Household","Household","","variable","","Specify other source of water","String",""
"","hh_12m::pspray","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0020224","Asked permission for IRS in last 12 months","Whether anyone asked the household to grant permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes during the previous 12 months.","Household","Household vector intervention","","variable","","At any time in the past 12 months, has anyone asked permission to come into your dwelling to spray the interior walls against mosquitoes?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::radio","hh_12m","http://purl.obolibrary.org/obo/ENVO_01000577","Radio","Whether the household had a radio.","Household","Assets","","value","","Radio","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::receivenet","hh_12m","new IRI","UCC LLIN received","Whether the household received one or more long-lasting insecticide-treated bednets (LLINs) during the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health.","Household","Universal Coverage Campaign","","variable","","Bednets were distributed in your community on <<Dates >>Did you receive one or more bednets in the recent net campaign (Universal Coverage Campaign) led by the Ministry of Health?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_12m::region","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000452","Region","Because of vectors and suspected differences in insecticide resistance patterns, randomization of intervention assignment was stratified by region. 66 health sub-districts were in Western regions and 38 in Eastern regions, representing approximately half of the country.","Household","Geographic location","","variable","","","",""
"","hh_12m::rgspray","hh_12m","new IRI","Reason refused IRS","Main reason the household did not grant permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes.","Household","Household vector intervention","","variable","","What was the primary reason that you did not grant permission to spray the interior walls of your dwelling against mosquitoes? DO NOT PROMPT.","1 - had a sick person/baby, 2 - spraying not effective against mosquitoes, 3 - spraying chemicals are harmful, 4 - someone in the house was pregnant, 96 - other, -7: Don't know, -8: Refused to answer","new term, suggested parent = Household vector intervention"
"","hh_12m::scooter","hh_12m","http://purl.obolibrary.org/obo/ENVO_01000615","Motorcycle or scooter","Whether any member of the household owned or had access to a motorcycle or motor-scooter.","Household","Assets","","value","","A motorcycle or motor scooter?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::scrairbricks","hh_12m","new IRI","Screened air bricks","If there were air bricks, whether there were screens over the air bricks.","Household","Dwelling characteristics","","variable","","Screens over airbricks?","1 = Yes, 2 = No, 8 = Don’t know","new term, suggested parent = Dwelling characteristics"
"","hh_12m::sdoors","hh_12m","new IRI","Screened external doors","Whether external doors were screened.","Household","Dwelling characteristics","","variable","","Screened external doors?","1 = Yes, 2 = No, 8 = Don’t know","new term, suggested parent = Dwelling characteristics"
"","hh_12m::senergy","hh_12m","http://purl.obolibrary.org/obo/OBI_0400065","Lighting source","Main source of artificial lighting for the household.","Household","Dwelling facilities","","variable","","What is the main source of energy for lighting in the household?","1 - electricity, 2 - solar, 3 - gas, 4 - paraffin - hurricane lamp, 5 - paraffin - pressure lamp, 6 - paraffin - wick lamp, 7 - firewood, 8 - candles, 9 - torch/battery powered lamp, 96 - other, -8: Refused to answer",""
"","hh_12m::smartphone","hh_12m","new IRI","Smartphone","Whether any member of the household owned or had access to a smartphone.","Household","Assets","","value","","Smartphone","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_12m::sofa","hh_12m","http://purl.obolibrary.org/obo/ENVO_01000588","Sofa","Whether the household had a sofa set.","Household","Assets","","value","","Sofa set","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::spray","hh_12m","new IRI","Insecticide last night","Whether the household sprayed any insecticide inside of the dwelling last night.","Household","Household vector intervention","","variable","","Did you spray any insecticide in the house last night?","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_12m::spraycat","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0020250","Sprayed in the last 12 months categorization","Categorization of when indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes occurred in the past 12 months.","Household","Household vector intervention","","variable","","IRS in the prior 12 months","",""
"","hh_12m::subregions","hh_12m","new IRI","Sub-region","","Household","Geographic location","","variable, derived","","5 subregions","","new term, suggested parent = Geographic location"
"","hh_12m::survey","hh_12m","new IRI","Study timepoint for household assessment","Cross-sectional surveys were conducted at baseline (prior to distribution of long-lasting insecticide-treated bednets (LLINs) and at 6 months, 12 months, and 18 months after LLIN distribution.","Household","Household","","variable","","Survey round","1 – Baseline, 2 – 6-month, 3 – 12-month, 4 – 18-24 months 
","new term, suggested parent = Household"
"","hh_12m::swater","hh_12m","http://purl.obolibrary.org/obo/ENVO_00003064","Drinking water source","Main source of drinking water for members of the household.","Household","Household","","variable","","What is the main source of drinking water for members of your household?","10 - borehole, 11 - pipe into dwelling, 12 - piped into yard/compound, 13 - public tap, 21 - open well in yard/compound, 22 - open public well, 31 - protected well in yard/compound, 32 - protected public well, 41 - protected spring, 42 - unprotected spring, 43 - river/stream, 44 - pond/lake, 45 - dam, 51 - rainwater, 61 - water truck, 71 - bottled water, 96 - other, -8: Refused to answer",""
"","hh_12m::tablet","hh_12m","new IRI","Tablet computer","Whether any member of the household owned or had access to a tablet computer.","Household","Assets","","value","","Tablet","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_12m::tble","hh_12m","http://purl.obolibrary.org/obo/ENVO_01000584","Table","Whether the household had a table.","Household","Assets","","value","","Table ","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::tfaclty","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000335","Human waste facilities","Main kind of toilet facilities used by the household.","Household","Waste disposal","","variable","","What kind of toilet facility do members of your household usually use?","1 - flush toilet, 2 - vip latrine, 3 - covered pit latrine no slab, 4 - covered pit latrine w/slab, 5 - uncovered pit latrine no slab, 6 - uncovered pit latrine w/slab, 7 - composting  toilet, 8 - no facility/bush/field, 96 - other, -8: Refused to answer",""
"","hh_12m::tspray","hh_12m","new IRI","Months since last IRS","Number of months since indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes last occurred.","Household","Household vector intervention","","variable","","How many months ago was the dwelling last sprayed? If less than 1 month, enter 0","0-12, -8: Refused to answer","new term, suggested parent = Household vector intervention"
"","hh_12m::tv","hh_12m","http://purl.obolibrary.org/obo/ENVO_01000579","Television","Whether the household had a television.","Household","Assets","","value","","Television","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::unfedfunestus","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000204","Unfed Anopheles funestus count","Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_12m::unfedgambiae","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000205","Unfed Anopheles gambiae count","Number of unfed Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_12m::watch","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0000186","Watch","Whether any member of the household owned or had access to a watch.","Household","Assets","","value","","Watch","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_12m::whatburn","hh_12m","new IRI","Material burned","If the household burned anything last night inside of the dwelling to keep mosquitoes away, specify what was burned.","Household","Household vector intervention","","variable","","If yes, specify","1 = Coil, 2 = Herbs, 3 = Other, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_12m::whatburnother","hh_12m","new IRI","Material burned","If the household burned anything last night inside of the dwelling to keep mosquitoes away, specify what was burned.","Household","Household vector intervention","","variable","","Describe other","String","new term, suggested parent = Household vector intervention"
"","hh_12m::whynonet","hh_12m","new IRI","Reason UCC LLIN not received","The reason that the household did not receive a long-lasting insecticide treated bednet (LLIN) during the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health.","Household","Universal Coverage Campaign","","variable","","If no, why did you not receive nets?","1 – No nets were delivered to the area (village or parish) , 2 – We did not go to collect the nets, 3 – We were never told to collect the nets , 4 –We were told our household did not need nets, 5 –We were away when the nets were distributed, 6 –The local leaders refused to accept the nets, 7 – Given to a child to take to boarding school, 9 – Other, -7: Don't know, -8: Refused to answer","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_12m::whyother","hh_12m","new IRI","Reason UCC LLIN not received","The reason that the household did not receive a long-lasting insecticide treated bednet (LLIN) during the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health.","Household","Universal Coverage Campaign","","variable","","Please specify other reason","String","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_12m::windows","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0025050","Windows","Whether the dwelling has windows.","Household","Dwelling characteristics","","variable","","Does the household have windows?","1 - Yes, 0 - No",""
"","hh_18m::adequateitns","hh_18m","new IRI","1 ITN per 2 people","Whether there was at least 1 insecticide-treated bednet (ITN) per 2 people.","Household","Household vector intervention","","variable","","Whether at least 1 ITN per 2 persons","","new term, suggested parent = Household vector intervention"
"","hh_18m::adequatenets","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020219","1 bednet per 2 people","Whether there was at least 1 bednet per 2 people.","Household","Household vector intervention","","variable","","Whether at least 1 bednet per 2 persons","",""
"","hh_18m::ahwker","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020230","Community health worker present","Whether there was a community health worker (community medicine distributor, village health team, community own resource person) who distributes malaria medicines in the  community.","Household","Dwelling environment","","variable","","Is there a community health worker (community medicine distributor/CMD, village health team/VHT, community own resource person/CORP) who distributes malaria medicines in your village or community?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::airbricks","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000018","Air bricks","Whether air bricks were installed above windows.","Household","Dwelling characteristics","","variable","","Airbricks above windows?","1 = Yes, 2 = No, 8 = Don’t know",""
"","hh_18m::amchwker","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020229","Community health worker has malaria medication","Whether the community health worker had malaria medication available at the time of survey.","Household","Dwelling environment","","variable","","Does the community health worker currently have malaria medicines available?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::anophelesf","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000135","Female Anopheles count","Number of female Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","","",""
"","hh_18m::anophelesm","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0025031","Male Anopheles count","Number of male Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","","",""
"","hh_18m::anyitn","hh_18m","new IRI","Household ITNs","Whether the household has any insecticide-treated bednets (ITNs) that can be used while sleeping.","Household","Household vector intervention","","variable","","","","new term, suggested parent = Household vector intervention"
"","hh_18m::anynet","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020225","Bednet count","Number of bednets of any type in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_18m::anynetcat","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020226","Bednet count categorization","Categorization of the number of bednets of any type in the household.","Household","Household vector intervention","","variable","","Catergories of number of nets per household","",""
"","hh_18m::anynonucc","hh_18m","new IRI","Non-UCC bednets","Whether there were any bednets in the household that were not received as part of the 2016-2017 Universal Coverage Campaign (UCC) led by the Ministry of Health.","Household","Universal Coverage Campaign","","variable","","Are there any other nets in your house that were not from the campaign?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer","new term, suggested parent = Universal Coverage Campaign (new parent category)"
"","hh_18m::bankacco","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000167","Bank account","Whether any member of the household owned or had access to a bank account.","Household","Assets","","value","","A bank account?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::bed","hh_18m","http://purl.obolibrary.org/obo/ENVO_00000501","Bed","Whether the household had a bed.","Household","Assets","","value","","Bed?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::bicycle","hh_18m","http://purl.obolibrary.org/obo/ENVO_01000614","Bicycle","Whether any member of the household owned or had access to a bicycle.","Household","Assets","","value","","A bicycle?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::bloodfedfunestus","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000192","Bloodfed Anopheles funestus count","Number of female Anopheles funestus who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_18m::bloodfedgambiae","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000193","Bloodfed Anopheles gambiae count","Number of female Anopheles gambiae who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_18m::burnyn","hh_18m","new IRI","Burn to keep mosquitoes away","Whether the household burned anything last night inside of the dwelling to keep mosquitoes away.","Household","Household vector intervention","","variable","","Did you burn anything to keep away mosquitoes in the house last night?","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_18m::car","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000171","Car or truck","Whether any member of the household owned or had access to a car or truck.","Household","Assets","","value","","A car or truck?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::cassette","hh_18m","http://purl.obolibrary.org/obo/ENVO_01000578","Cassette player","Whether the household had a cassette player.","Household","Assets","","value","","Cassette player?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::ceiling","hh_18m","new IRI","Ceiling","Whether the dwelling has a ceiling or screened ceiling.","Household","Dwelling characteristics","","variable","","A ceiling (STATA label = 'Screened ceiling')","1 = Yes, 2 = No, 8 = Don’t know","new term, suggested parent = Dwelling characteristics"
"","hh_18m::chair","hh_18m","http://purl.obolibrary.org/obo/ENVO_01000586","Chair","Whether the household had chairs.","Household","Assets","","value","","Chairs?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::clock","hh_18m","http://purl.obolibrary.org/obo/ENVO_01000596","Clock","Whether the household had a clock.","Household","Assets","","value","","Clock?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::closetime","hh_18m","new IRI","Time doors and windows closed","If the doors and/or windows were closed last night to keep mosquitoes out of the house, the time at which the doors and/or windows were closed.","Household","Household vector intervention","","variable","","If yes, at what time did you close the windows / doors?","Before 6pm, 6-7pm, 7-8pm, 8-9pm, 9-10pm, After 10pm","new term, suggested parent = Household vector intervention"
"","hh_18m::closewindow","hh_18m","new IRI","Doors and windows closed","Whether the doors and/or windows were closed last night to keep mosquitoes out of the house.","Household","Household vector intervention","","variable","","Did you close the windows / doors to keep out mosquitoes last night","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_18m::cluster","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0035024","Cluster ID","Clusters--defined as one health sub-district--were randomly assigned to one of four study arms. 104 clusters cover 48 districts in Eastern and Western Uganda, and were the unit of randomization for intervention assignment.","Household","Household administrative information","","variable","","Cluster Code / Health sub-district number","Cluster codes 001-104",""
"","hh_18m::covered","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020212","Windows covered","Whether any of the windows were covered with glass, screens, or other material.","Household","Dwelling characteristics","","variable","","Are any of the windows covered?

Glass, screening, other material, etc.","1 - Yes, 0 - No",""
"","hh_18m::cupboard","hh_18m","http://purl.obolibrary.org/obo/ENVO_01000595","Cupboard","Whether the household had a cupboard.","Household","Assets","","value","","Cupboard?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::date","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0021085","Household data collection date","","Household","Household","","variable, derived","","date of start of interview","",""
"","hh_18m::desktop","hh_18m","new IRI","Desktop computer","Whether any member of the household owned or had access to a desktop computer.","Household","Assets","","value","","Desktop?","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_18m::device","hh_18m","new IRI","Internet device type","If any member of the household owned or had access to a device that can access the internet, the type of device.","Household","Socioeconomic factors","","value","","If yes, what type of device?","1 – Smartphone, 2 – Tablet, 3 – Laptop computer, 4 – Desktop computer, -7: Don't know","new term, suggested parent = Socioeconomic factors"
"","hh_18m::dhfcty","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020213","Health facility distance","Distance to the nearest health facility, in kilometers. Distances less than 1km were recorded as 0km. Distances greater than 100km were recorded as 100km.","Household","Dwelling environment","","variable","","How far is it to the nearest health facility? If less than 1 km, enter 0. If more than 100 km, enter 100","0-100, -7: Don't know, -8: Refused to answer",""
"","hh_18m::dhfctycat","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020214","Health facility distance categorization","Categorization of the distance (in kilometers) to the nearest health facility.","Household","Dwelling environment","","variable","","Distance to nearest health facility categories","",""
"","hh_18m::district","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000407","District","48 districts in Eastern and Western Uganda were included, covering a wide range of epidemiological settings with varying levels of malaria transmission and insecticide resistance.","Household","Geographic location","","variable","","","",""
"","hh_18m::dmarkt","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020215","Market distance","Distance to the nearest market, in kilometers.","Household","Dwelling environment","","variable","","How far is it to the nearest market place?","0-100, -7: Don't know, -8: Refused to answer",""
"","hh_18m::eanum","hh_18m","new IRI","Enumeration area ID","The primary sampling unit were  enumeration areas identified in the 2014 Ugandan national census. Ten enumeration areas were randomly selected in each of the health sub-districts. Within each sampled enumeration area, 5 households were randomly enrolled, for a total of 50 households sampled per cluster. .","Household","Household administrative information","","variable","","Enumeration number","1 to 10","new term, suggested parent = Household administrative information"
"","hh_18m::eaves","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000015","Eaves","Type of eaves that the dwelling had.","Household","Dwelling characteristics","","variable","","Does the household have eaves? (STATA label = 'type of eaves')","1 - Yes, 0 - No",""
"","hh_18m::electricity","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0021084","Electricity","Whether the household had electricity.","Household","Assets","","value","","Electricity?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::enrolled","hh_18m","new IRI","Household enrolled","Whether the household was enrolled in the cross-sectional household survey.","Household","Household administrative information","","variable","","Household enrolled in the survey?","1 - Yes, 0 - No","new term, suggested parent = Household administrative information"
"","hh_18m::entoinclude","hh_18m","new IRI","Entomology surveyed","Whether the household was one of the 20% of enrolled households that were randomly included in the entomology survey.","Entomology","Entomology observation details","","variable","","","","new term, suggested parent = Entomology observation details (new parent category)"
"","hh_18m::exclreason","hh_18m","new IRI","Reason household not enrolled","If the household was not enrolled in the cross-sectional household survey, the reason for exclusion.","Household","Household administrative information","","variable","","If not enrolled, reason for exclusion?","1 - Dwelling destroyed or not found, 2 - Household vacant, 3 - Unable to locate adult, 4 - No household resident between 2-10 years of age present (with an adult caregiver willing to provide informed consent for the clinical survey), 5 - No adult aged 18 years or older, 6 - Adult was not usual resident who was present in this household the previous night,7 - Adult resident not willing to provide informed consent  
","new term, suggested parent = Household administrative information"
"","hh_18m::fridge","hh_18m","http://purl.obolibrary.org/obo/ENVO_01000583","Refrigerator","Whether the household had a refrigerator.","Household","Assets","","value","","Refrigerator","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_18m::fueltype","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000023","Cooking fuel","The main type of fuel the household used for cooking.","Household","Dwelling facilities","","variable","","What type of fuel does your household mainly use for cooking?","1 - electricity, 2 - lpg/natural gas, 3 - biogas, 4 - paraffin/kerosene, 5 - charcoal, 6 - firewood, 7 - straw/shrubs/grass, 8 - animal dung, 95 - no food cooked in household, 96 - other, -8: Refused to answer",""
"","hh_18m::funestusf","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000136","Female Anopheles funestus count","Number of female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","Number of female Anopheles funestus","Numeric",""
"","hh_18m::funestusm","hh_18m","new IRI","Male Anopheles funestus count","Number of male Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","Number of male Anopheles funestus","Numeric","new term, suggested parent = Anopheles funestus results"
"","hh_18m::gambiaef","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000137","Female Anopheles gambiae count","Number of female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","Number of female anopheles gambiae","Numeric",""
"","hh_18m::gambiaem","hh_18m","new IRI","Male Anopheles gambiae count","Number of male Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","Number of male anopheles gambiae","Numeric","new term, suggested parent = Anopheles gambiae sl results"
"","hh_18m::gpspray","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000441","Sprayed in the last 12 months","Whether permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes was granted at any time in the past 12 months.","Household","Household vector intervention","","variable","","Did you grant them permission to spray the interior walls of your dwelling?","1 - Yes, 0 - No",""
"","hh_18m::gravidfunestus","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000197","Gravid Anopheles funestus count","Number of gravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_18m::gravidgambiae","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0000198","Gravid Anopheles gambiae count","Number of gravid female Anopheles funestus gambiae. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_18m::halfgravidfunestus","hh_18m","new IRI","Semigravid Anopheles funestus count","Number of semigravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","","new term, suggested parent = Anopheles funestus results"
"","hh_18m::halfgravidgambiae","hh_18m","new IRI","Semigravid Anopheles gambiae count","Number of semigravid female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","","new term, suggested parent = Anopheles gambiae sl results"
"","hh_18m::havenets","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020232","Household bednets","Whether the household has any bednets that can be used while sleeping.","Household","Household vector intervention","","variable","","Does your household have any mosquito nets that can be used while sleeping?","1 - Yes, 0 - No",""
"","hh_18m::health_sub_district","hh_18m","new IRI","Health sub-district","104 health sub-districts (each serving approximately 100,000 people) cover 48 districts in Eastern and Western Uganda.","Household","Geographic location","","variable","","","","new term, suggested parent = Geographic location"
