8sites_diet5y::agedays	OBI_0001169	na	:::UNDEF:::	
lmz::zcontin_bc_man	EUPATH_0011405	NA	:::UNDEF:::	
vax_and_titer_wdates::rotaapos	EUPATH_0011423	0	No	
vax_and_titer_wdates::rotaapos	EUPATH_0011423	1	Yes	
vax_and_titer_wdates::rotaapos	EUPATH_0011423	NA	:::UNDEF:::	
lmz::suspect_result	EUPATH_0011437	1	Yes	
lmz::suspect_result	EUPATH_0011437	NA	:::UNDEF:::	
lmz::zcontin_bc_lmr	EUPATH_0011439	NA	:::UNDEF:::	
vax_and_titer_wdates::tetpos	EUPATH_0011461	0	No	
vax_and_titer_wdates::tetpos	EUPATH_0011461	1	Yes	
vax_and_titer_wdates::tetpos	EUPATH_0011461	NA	:::UNDEF:::	
lmz::ucf_in_14d_window	EUPATH_0011465	0	No	
lmz::ucf_in_14d_window	EUPATH_0011465	1	Yes	
lmz::ucf_in_30d_window	EUPATH_0011466	0	No	
lmz::ucf_in_30d_window	EUPATH_0011466	1	Yes	
lmz::urine_collection_long	EUPATH_0011468	1	Yes, flag	
lmz::urine_collection_long	EUPATH_0011468	NA	:::UNDEF:::	
lmz::urine_collection_short	EUPATH_0011469	1	Yes, flag	
lmz::urine_collection_short	EUPATH_0011469	NA	:::UNDEF:::	
lmz::a_lac_exc_mg	EUPATH_0011475	NA	:::UNDEF:::	
lmz::lmr_bin	EUPATH_0011476	0	No	
lmz::lmr_bin	EUPATH_0011476	1	Yes	
lmz::lmr_bin	EUPATH_0011476	NA	:::UNDEF:::	
lmz::a_man_perexc	EUPATH_0011477	NA	:::UNDEF:::	
vax_and_titer_wdates::pol1npos	EUPATH_0011478	0	No	
vax_and_titer_wdates::pol1npos	EUPATH_0011478	1	Yes	
vax_and_titer_wdates::pol1npos	EUPATH_0011478	NA	:::UNDEF:::	
vax_and_titer_wdates::pol3npos	EUPATH_0011479	0	No	
vax_and_titer_wdates::pol3npos	EUPATH_0011479	1	Yes	
vax_and_titer_wdates::pol3npos	EUPATH_0011479	NA	:::UNDEF:::	
mpo_neo_ala::scoreep	EUPATH_0011539	NA	:::UNDEF:::	
mpo_neo_ala::srfrecolreq	EUPATH_0011550	0	No	
mpo_neo_ala::srfrecolreq	EUPATH_0011550	1	Yes, monthly asymptomatic stool sample weighed less than 4g	
mpo_neo_ala::srfrecolreq	EUPATH_0011550	2	Yes, diarrhea stool sample weighed less than 2g	
mpo_neo_ala::srfrecolreq	EUPATH_0011550	NA	:::UNDEF:::	
wami_0_5y::fsecloc2	EUPATH_0011586	0	No	
wami_0_5y::fsecloc2	EUPATH_0011586	1	Yes	
wami_0_5y::fsecloc2	EUPATH_0011586	NA	:::UNDEF:::	
wami_0_5y::fsemed	EUPATH_0011590	0	No	
wami_0_5y::fsemed	EUPATH_0011590	1	Yes	
wami_0_5y::fsemed	EUPATH_0011590	NA	:::UNDEF:::	
wami_0_5y::people	EUPATH_0011609	0	No	
wami_0_5y::people	EUPATH_0011609	1	Yes	
wami_0_5y::people	EUPATH_0011609	NA	:::UNDEF:::	
wami_0_5y::q3	EUPATH_0011611	0	No facility	
wami_0_5y::q3	EUPATH_0011611	1	Pit latrine or flush toilet	
wami_0_5y::q3	EUPATH_0011611	NA	:::UNDEF:::	
wami_0_5y::q4	EUPATH_0011612	0	No	
wami_0_5y::q4	EUPATH_0011612	1	Yes	
wami_0_5y::q4	EUPATH_0011612	NA	:::UNDEF:::	
wami_0_5y::q5	EUPATH_0011613	0	No	
wami_0_5y::q5	EUPATH_0011613	1	Yes	
wami_0_5y::q5	EUPATH_0011613	NA	:::UNDEF:::	
wami_0_5y::q6	EUPATH_0011614	na	:::UNDEF:::	
wami_0_5y::q7	EUPATH_0011615	0	No	
wami_0_5y::q7	EUPATH_0011615	1	Yes	
wami_0_5y::q7	EUPATH_0011615	NA	:::UNDEF:::	
wami_0_5y::sanitation	EUPATH_0011617	0	0	
wami_0_5y::sanitation	EUPATH_0011617	4	4	
wami_0_5y::sanitation	EUPATH_0011617	8	8	
whocoreallsites::animalpro	EUPATH_0011623	0	No	
whocoreallsites::animalpro	EUPATH_0011623	1	Yes	
whocoreallsites::animalpro	EUPATH_0011623	NA	:::UNDEF:::	
whocoreallsites::flesh_whocore	EUPATH_0011627	0	No	
whocoreallsites::flesh_whocore	EUPATH_0011627	1	Yes	
whocoreallsites::flesh_whocore	EUPATH_0011627	NA	:::UNDEF:::	
whocoreallsites::grainroot_whocore	EUPATH_0011628	0	No	
whocoreallsites::grainroot_whocore	EUPATH_0011628	1	Yes	
whocoreallsites::grainroot_whocore	EUPATH_0011628	NA	:::UNDEF:::	
whocoreallsites::introcomp_whocore	EUPATH_0011629	0	No	
whocoreallsites::introcomp_whocore	EUPATH_0011629	1	Yes	
whocoreallsites::introcomp_whocore	EUPATH_0011629	NA	:::UNDEF:::	
whocoreallsites::iron1_whocore	EUPATH_0011630	0	No	
whocoreallsites::iron1_whocore	EUPATH_0011630	1	Yes	
whocoreallsites::iron1_whocore	EUPATH_0011630	NA	:::UNDEF:::	
whocoreallsites::iron1a_whocore	EUPATH_0011631	0	No	
whocoreallsites::iron1a_whocore	EUPATH_0011631	1	Yes	
whocoreallsites::iron1a_whocore	EUPATH_0011631	NA	:::UNDEF:::	
whocoreallsites::iron2_whocore	EUPATH_0011632	0	No	
whocoreallsites::iron2_whocore	EUPATH_0011632	1	Yes	
whocoreallsites::iron2_whocore	EUPATH_0011632	NA	:::UNDEF:::	
whocoreallsites::iron2a_whocore	EUPATH_0011633	0	No	
whocoreallsites::iron2a_whocore	EUPATH_0011633	1	Yes	
whocoreallsites::iron2a_whocore	EUPATH_0011633	NA	:::UNDEF:::	
whocoreallsites::iron3_whocore	EUPATH_0011634	0	No	
whocoreallsites::iron3_whocore	EUPATH_0011634	1	Yes	
whocoreallsites::iron3_whocore	EUPATH_0011634	NA	:::UNDEF:::	
whocoreallsites::iron3a_whocore	EUPATH_0011635	0	No	
whocoreallsites::iron3a_whocore	EUPATH_0011635	1	Yes	
whocoreallsites::iron3a_whocore	EUPATH_0011635	NA	:::UNDEF:::	
whocoreallsites::iron4_whocore	EUPATH_0011636	0	No	
whocoreallsites::iron4_whocore	EUPATH_0011636	1	Yes	
whocoreallsites::iron4_whocore	EUPATH_0011636	NA	:::UNDEF:::	
whocoreallsites::iron4a_whocore	EUPATH_0011637	0	No	
whocoreallsites::iron4a_whocore	EUPATH_0011637	1	Yes	
whocoreallsites::iron4a_whocore	EUPATH_0011637	NA	:::UNDEF:::	
whocoreallsites::madbf_whocore	EUPATH_0011638	0	No	
whocoreallsites::madbf_whocore	EUPATH_0011638	1	Yes	
whocoreallsites::madbf_whocore	EUPATH_0011638	NA	:::UNDEF:::	
whocoreallsites::madnonbf_whocore	EUPATH_0011639	0	No	
whocoreallsites::madnonbf_whocore	EUPATH_0011639	1	Yes	
whocoreallsites::madnonbf_whocore	EUPATH_0011639	NA	:::UNDEF:::	
whocoreallsites::mdd_whocore	EUPATH_0011640	0	No	
whocoreallsites::mdd_whocore	EUPATH_0011640	1	Yes	
whocoreallsites::mdd_whocore	EUPATH_0011640	NA	:::UNDEF:::	
whocoreallsites::milkfdnonbr_whocore	EUPATH_0011642	0	No	
whocoreallsites::milkfdnonbr_whocore	EUPATH_0011642	1	Yes	
whocoreallsites::milkfdnonbr_whocore	EUPATH_0011642	NA	:::UNDEF:::	
whocoreallsites::mmealfq_whocore	EUPATH_0011643	0	No	
whocoreallsites::mmealfq_whocore	EUPATH_0011643	1	Yes	
whocoreallsites::mmealfq_whocore	EUPATH_0011643	NA	:::UNDEF:::	
whocoreallsites::moabean	EUPATH_0011644	0	No	
whocoreallsites::moabean	EUPATH_0011644	1	Yes	
whocoreallsites::moabean	EUPATH_0011644	NA	:::UNDEF:::	
whocoreallsites::moabrst	EUPATH_0011645	0	No	
whocoreallsites::moabrst	EUPATH_0011645	1	Yes	
whocoreallsites::moabrst	EUPATH_0011645	NA	:::UNDEF:::	
whocoreallsites::moacomm	EUPATH_0011648	0	No	
whocoreallsites::moacomm	EUPATH_0011648	1	Yes	
whocoreallsites::moacomm	EUPATH_0011648	NA	:::UNDEF:::	
whocoreallsites::moadai	EUPATH_0011649	0	No	
whocoreallsites::moadai	EUPATH_0011649	1	Yes	
whocoreallsites::moadai	EUPATH_0011649	NA	:::UNDEF:::	
whocoreallsites::moaegg	EUPATH_0011651	0	No	
whocoreallsites::moaegg	EUPATH_0011651	1	Yes	
whocoreallsites::moaegg	EUPATH_0011651	NA	:::UNDEF:::	
whocoreallsites::moafish	EUPATH_0011653	0	No	
whocoreallsites::moafish	EUPATH_0011653	1	Yes	
whocoreallsites::moafish	EUPATH_0011653	NA	:::UNDEF:::	
whocoreallsites::moafood	EUPATH_0011654	0	No	
whocoreallsites::moafood	EUPATH_0011654	1	Yes	
whocoreallsites::moafood	EUPATH_0011654	NA	:::UNDEF:::	
whocoreallsites::moafrveg	EUPATH_0011658	0	No	
whocoreallsites::moafrveg	EUPATH_0011658	1	Yes	
whocoreallsites::moafrveg	EUPATH_0011658	NA	:::UNDEF:::	
whocoreallsites::moagrain	EUPATH_0011659	0	No	
whocoreallsites::moagrain	EUPATH_0011659	1	Yes	
whocoreallsites::moagrain	EUPATH_0011659	NA	:::UNDEF:::	
whocoreallsites::moajuice	EUPATH_0011660	0	No	
whocoreallsites::moajuice	EUPATH_0011660	1	Yes	
whocoreallsites::moajuice	EUPATH_0011660	NA	:::UNDEF:::	
whocoreallsites::moameat	EUPATH_0011661	0	No	
whocoreallsites::moameat	EUPATH_0011661	1	Yes	
whocoreallsites::moameat	EUPATH_0011661	NA	:::UNDEF:::	
whocoreallsites::moamilk	EUPATH_0011662	0	No	
whocoreallsites::moamilk	EUPATH_0011662	1	Yes	
whocoreallsites::moamilk	EUPATH_0011662	NA	:::UNDEF:::	
whocoreallsites::moaorg	EUPATH_0011665	0	No	
whocoreallsites::moaorg	EUPATH_0011665	1	Yes	
whocoreallsites::moaorg	EUPATH_0011665	NA	:::UNDEF:::	
whocoreallsites::moaoth	EUPATH_0011666	0	No	
whocoreallsites::moaoth	EUPATH_0011666	1	Yes	
whocoreallsites::moaoth	EUPATH_0011666	NA	:::UNDEF:::	
whocoreallsites::moaroot	EUPATH_0011667	0	No	
whocoreallsites::moaroot	EUPATH_0011667	1	Yes	
whocoreallsites::moaroot	EUPATH_0011667	NA	:::UNDEF:::	
whocoreallsites::moaspi	EUPATH_0011668	0	No	
whocoreallsites::moaspi	EUPATH_0011668	1	Yes	
whocoreallsites::moaspi	EUPATH_0011668	NA	:::UNDEF:::	
whocoreallsites::moasug	EUPATH_0011669	0	No	
whocoreallsites::moasug	EUPATH_0011669	1	Yes	
whocoreallsites::moasug	EUPATH_0011669	NA	:::UNDEF:::	
whocoreallsites::moateacof	EUPATH_0011670	0	No	
whocoreallsites::moateacof	EUPATH_0011670	1	Yes	
whocoreallsites::moateacof	EUPATH_0011670	NA	:::UNDEF:::	
whocoreallsites::moawat	EUPATH_0011671	0	No	
whocoreallsites::moawat	EUPATH_0011671	1	Yes	
whocoreallsites::moawat	EUPATH_0011671	NA	:::UNDEF:::	
whocoreallsites::moayfru	EUPATH_0011672	0	No	
whocoreallsites::moayfru	EUPATH_0011672	1	Yes	
whocoreallsites::moayfru	EUPATH_0011672	NA	:::UNDEF:::	
whocoreallsites::moayveg	EUPATH_0011673	0	No	
whocoreallsites::moayveg	EUPATH_0011673	1	Yes	
whocoreallsites::moayveg	EUPATH_0011673	NA	:::UNDEF:::	
whocoreallsites::vitaavegfru	EUPATH_0011677	0	No	
whocoreallsites::vitaavegfru	EUPATH_0011677	1	Yes	
whocoreallsites::vitaavegfru	EUPATH_0011677	NA	:::UNDEF:::	
wami_0_5y::typeof	EUPATH_0011701	1	Pit latrine with slab	
wami_0_5y::typeof	EUPATH_0011701	2	Pit latrine without slab	
wami_0_5y::typeof	EUPATH_0011701	3	No facility	
wami_0_5y::ifno	EUPATH_0011702	1	Pit latrine with slab	
wami_0_5y::ifno	EUPATH_0011702	2	Pit latrine without slab	
wami_0_5y::ifno	EUPATH_0011702	3	Other	
wami_0_5y::fsetoiletmod	EUPATH_0011744	1	Unimproved: no facility, bush, field, or bucket toilet	
wami_0_5y::fsetoiletmod	EUPATH_0011744	2	Improved: pit latrine without flush but with slab or ventilated improved pit latrine	
wami_0_5y::fsetoiletmod	EUPATH_0011744	3	Improved: flush to piped sewer system	
wami_0_5y::fsetoiletmod	EUPATH_0011744	4	Improved: flush to septic tank	
wami_0_5y::fsetoiletmod	EUPATH_0011744	5	Improved: flush to pit latrine	
wami_0_5y::fsetoiletmod	EUPATH_0011744	6	Improved: flush to somewhere else (ex: flush to street or drainage ditch)	
wami_0_5y::fsetoiletmod	EUPATH_0011744	7	Improved: other	
wami_0_5y::fsetoiletmod	EUPATH_0011744	8	Unimproved: pit latrine without slab (open pit in the ground)	
mpo_neo_ala::stooltype_gf	EUPATH_0011745	0	Asymptomatic stools	
mpo_neo_ala::stooltype_gf	EUPATH_0011745	1	Other stools	
mpo_neo_ala::stooltype_gf	EUPATH_0011745	NA	:::UNDEF:::	
mpo_neo_ala::firststool	EUPATH_0011746	1	Yes	
mpo_neo_ala::firststool	EUPATH_0011746	NA	No	
mpo_neo_ala::protocol_gf	EUPATH_0011747	1	Yes	
mpo_neo_ala::protocol_gf	EUPATH_0011747	2	No	
mpo_neo_ala::protocol_gf	EUPATH_0011747	NA	:::UNDEF:::	
mn_blood::farval1	EUPATH_0011849	NA	:::UNDEF:::	
mn_blood::farval2	EUPATH_0011850	NA	:::UNDEF:::	
mpo_neo_ala::target_month	EUPATH_0011851	-1	:::UNDEF:::	
tac_60m_updated::blastocystis	EUPATH_0011854	NA	:::UNDEF:::	
tac::blastocystis	EUPATH_0011854	NA	:::UNDEF:::	
tac_60m_updated::c_difficile	EUPATH_0011855	NA	:::UNDEF:::	
tac::c_difficile	EUPATH_0011855	NA	:::UNDEF:::	
tac_60m_updated::entamoeba_pan	EUPATH_0011856	NA	:::UNDEF:::	
tac::entamoeba_pan	EUPATH_0011856	NA	:::UNDEF:::	
tac_60m_updated::epec_eae	EUPATH_0011857	NA	:::UNDEF:::	
tac::epec_eae	EUPATH_0011857	NA	:::UNDEF:::	
tac_60m_updated::etec_cfa_i	EUPATH_0011858	NA	:::UNDEF:::	
tac::etec_cfa_i	EUPATH_0011858	NA	:::UNDEF:::	
tac_60m_updated::etec_cs1	EUPATH_0011859	NA	:::UNDEF:::	
tac::etec_cs1	EUPATH_0011859	NA	:::UNDEF:::	
tac_60m_updated::etec_cs2	EUPATH_0011860	NA	:::UNDEF:::	
tac::etec_cs2	EUPATH_0011860	NA	:::UNDEF:::	
tac_60m_updated::etec_cs3	EUPATH_0011861	NA	:::UNDEF:::	
tac::etec_cs3	EUPATH_0011861	NA	:::UNDEF:::	
tac_60m_updated::etec_cs5	EUPATH_0011862	NA	:::UNDEF:::	
tac::etec_cs5	EUPATH_0011862	NA	:::UNDEF:::	
tac_60m_updated::etec_cs6	EUPATH_0011863	NA	:::UNDEF:::	
tac::etec_cs6	EUPATH_0011863	NA	:::UNDEF:::	
tac_60m_updated::hnana	EUPATH_0011864	NA	:::UNDEF:::	
tac::hnana	EUPATH_0011864	NA	:::UNDEF:::	
tac_60m_updated::m_tuberculosis	EUPATH_0011865	NA	:::UNDEF:::	
tac::m_tuberculosis	EUPATH_0011865	NA	:::UNDEF:::	
tac_60m_updated::norovirus_gi_1	EUPATH_0011866	NA	:::UNDEF:::	
tac::norovirus_gi_1	EUPATH_0011866	NA	:::UNDEF:::	
tac_60m_updated::norovirus_gii_4	EUPATH_0011867	NA	:::UNDEF:::	
tac::norovirus_gii_4	EUPATH_0011867	NA	:::UNDEF:::	
tac_60m_updated::plesiomonas	EUPATH_0011868	NA	:::UNDEF:::	
tac::plesiomonas	EUPATH_0011868	NA	:::UNDEF:::	
tac_60m_updated::rotavirus	EUPATH_0011869	NA	:::UNDEF:::	
tac::rotavirus	EUPATH_0011869	NA	:::UNDEF:::	
tac_60m_updated::schistosoma	EUPATH_0011870	NA	:::UNDEF:::	
tac::schistosoma	EUPATH_0011870	NA	:::UNDEF:::	
mn_blood::farvalmean	EUPATH_0011871	NA	:::UNDEF:::	
mn_blood::lowfar	EUPATH_0011872	0	No	
mn_blood::lowfar	EUPATH_0011872	1	Yes	
mn_blood::lowfar	EUPATH_0011872	NA	:::UNDEF:::	
mn_blood::lowrar	EUPATH_0011873	0	No	
mn_blood::lowrar	EUPATH_0011873	1	Yes	
mn_blood::lowrar	EUPATH_0011873	NA	:::UNDEF:::	
mn_blood::lowzinc	EUPATH_0011874	0	No	
mn_blood::lowzinc	EUPATH_0011874	1	Yes	
mn_blood::lowzinc	EUPATH_0011874	NA	:::UNDEF:::	
mn_blood::rarconc	EUPATH_0011875	NA	:::UNDEF:::	
micro_x::pefehistresult	EUPATH_0011882	1	Positive	
micro_x::pefehistresult	EUPATH_0011882	2	Negative	
micro_x::pefehistresult	EUPATH_0011882	3	Indeterminate	
mn_blood::adjtfr	EUPATH_0011890	NA	:::UNDEF:::	
mn_blood::adjtfrcat	EUPATH_0011891	1	2.9ug/mL or less	
mn_blood::adjtfrcat	EUPATH_0011891	2	2.9ug/mL to less than 8.3ug/mL	
mn_blood::adjtfrcat	EUPATH_0011891	3	8.3ug/mL or more	
mn_blood::adjtfrcat	EUPATH_0011891	NA	:::UNDEF:::	
tac_60m_updated::eaec_aar	EUPATH_0011892	NA	:::UNDEF:::	
tac::eaec_aar	EUPATH_0011892	NA	:::UNDEF:::	
8sites_diet5y::target_month	EUPATH_0011911	-1	:::UNDEF:::	
diet::target_month	EUPATH_0011911	-1	:::UNDEF:::	
8sites_diet5y::window	EUPATH_0011921	0	Out of target window	
8sites_diet5y::window	EUPATH_0011921	1	In target window	
8sites_diet5y::window	EUPATH_0011921	2	In extended window	
diet::window	EUPATH_0011921	0	Out of target window	
diet::window	EUPATH_0011921	1	In target window	
diet::window	EUPATH_0011921	2	In extended window	
fsq::window	EUPATH_0011922	0	Out of target window	
fsq::window	EUPATH_0011922	1	In target window	
mn_iar::urine_window	EUPATH_0011923	0	Out of target window	
mn_iar::urine_window	EUPATH_0011923	1	In target window	
mn_iar::urine_window	EUPATH_0011923	2	In extended window	
mn_blood::blood_window	EUPATH_0011924	0	Out of target window	
mn_blood::blood_window	EUPATH_0011924	1	In target window	
mn_blood::blood_window	EUPATH_0011924	2	In extended window	
mn_blood::blood_window	EUPATH_0011924	NA	:::UNDEF:::	
whocoreallsites::window	EUPATH_0011926	0	Out of target window	
whocoreallsites::window	EUPATH_0011926	1	In target window	
whocoreallsites::window	EUPATH_0011926	2	In extended window	
illnessfull::visit	EUPATH_0011927	0	No	
illnessfull::visit	EUPATH_0011927	1	Yes	
illnessfull::visit	EUPATH_0011927	NA	:::UNDEF:::	
zscores_all::uor	EUPATH_0011928	BGD	Urban	
zscores_all::uor	EUPATH_0011928	BRF	Urban	
zscores_all::uor	EUPATH_0011928	INV	Rural	
zscores_all::uor	EUPATH_0011928	NEB	Rural	
zscores_all::uor	EUPATH_0011928	PEL	Rural	
zscores_all::uor	EUPATH_0011928	PKN	Rural	
zscores_all::uor	EUPATH_0011928	SAV	Urban	
zscores_all::uor	EUPATH_0011928	TZH	Urban	
lmz::target_month	EUPATH_0011930	NA	:::UNDEF:::	
mn_iar::u_target_month	EUPATH_0011997	NA	:::UNDEF:::	
micro_x::campycult	EUPATH_0011986	0	Negative	
micro_x::campycult	EUPATH_0011986	1	Positive	
micro_x::nrvgeno1	EUPATH_0011989	0	No	
micro_x::nrvgeno1	EUPATH_0011989	1	Yes	
micro_x::nrvgeno2	EUPATH_0011990	0	No	
micro_x::nrvgeno2	EUPATH_0011990	1	Yes	
micro_x::nrvnororesult	EUPATH_0011991	0	Negative	
micro_x::nrvnororesult	EUPATH_0011991	1	Positive for genogroup I	
micro_x::nrvnororesult	EUPATH_0011991	2	Positive for genogroup II	
micro_x::nrvnororesult	EUPATH_0011991	3	Positive for genogroup I and II	
micro_x::etec	EUPATH_0011992	0	Negative	
micro_x::etec	EUPATH_0011992	1	Positive	
micro_x::rota	EUPATH_0011993	0	No	
micro_x::rota	EUPATH_0011993	1	Yes	
micro_x::aata_aaic	EUPATH_0011994	0	Negative	
micro_x::aata_aaic	EUPATH_0011994	1	Positive	
micro_x::srfstblood	EUPATH_0015217	0	No	
micro_x::srfstblood	EUPATH_0015217	1	Yes	
micro_x::srfstblood	EUPATH_0015217	NA	:::UNDEF:::	
micro_x::ecpbfpa	EUPATH_0015318	0	Negative	
micro_x::ecpbfpa	EUPATH_0015318	1	Positive	
tac_60m_updated::adenovirus_pan	EUPATH_0015330	NA	:::UNDEF:::	
tac::adenovirus_pan	EUPATH_0015330	NA	:::UNDEF:::	
tac_60m_updated::adenovirus_40_41	EUPATH_0015331	NA	:::UNDEF:::	
tac::adenovirus_40_41	EUPATH_0015331	NA	:::UNDEF:::	
tac_60m_updated::aeromonas	EUPATH_0015332	NA	:::UNDEF:::	
tac::aeromonas	EUPATH_0015332	NA	:::UNDEF:::	
tac_60m_updated::ancyclostoma	EUPATH_0015333	NA	:::UNDEF:::	
tac::ancyclostoma	EUPATH_0015333	NA	:::UNDEF:::	
tac_60m_updated::ascaris	EUPATH_0015334	NA	:::UNDEF:::	
tac::ascaris	EUPATH_0015334	NA	:::UNDEF:::	
tac_60m_updated::astrovirus	EUPATH_0015335	NA	:::UNDEF:::	
tac::astrovirus	EUPATH_0015335	NA	:::UNDEF:::	
tac_60m_updated::b_fragilis	EUPATH_0015337	NA	:::UNDEF:::	
tac::b_fragilis	EUPATH_0015337	NA	:::UNDEF:::	
tac_60m_updated::campylobacter_pan	EUPATH_0015338	NA	:::UNDEF:::	
tac::campylobacter_pan	EUPATH_0015338	NA	:::UNDEF:::	
tac_60m_updated::campylobacter_jejuni_coli	EUPATH_0015341	NA	:::UNDEF:::	
tac::campylobacter_jejuni_coli	EUPATH_0015341	NA	:::UNDEF:::	
tac_60m_updated::cryptosporidium	EUPATH_0015342	NA	:::UNDEF:::	
tac::cryptosporidium	EUPATH_0015342	NA	:::UNDEF:::	
tac_60m_updated::cryptosporidium_hominis	EUPATH_0015343	NA	:::UNDEF:::	
tac::cryptosporidium_hominis	EUPATH_0015343	NA	:::UNDEF:::	
tac_60m_updated::cryptosporidium_parvum	EUPATH_0015344	NA	:::UNDEF:::	
tac::cryptosporidium_parvum	EUPATH_0015344	NA	:::UNDEF:::	
tac_60m_updated::cyclospora	EUPATH_0015345	NA	:::UNDEF:::	
tac::cyclospora	EUPATH_0015345	NA	:::UNDEF:::	
tac_60m_updated::eaec_aaic	EUPATH_0015346	NA	:::UNDEF:::	
tac::eaec_aaic	EUPATH_0015346	NA	:::UNDEF:::	
tac_60m_updated::eaec_aata	EUPATH_0015348	NA	:::UNDEF:::	
tac::eaec_aata	EUPATH_0015348	NA	:::UNDEF:::	
tac_60m_updated::eaec_aggr	EUPATH_0015349	NA	:::UNDEF:::	
tac::eaec_aggr	EUPATH_0015349	NA	:::UNDEF:::	
tac_60m_updated::e_bieneusi	EUPATH_0015350	NA	:::UNDEF:::	
tac::e_bieneusi	EUPATH_0015350	NA	:::UNDEF:::	
tac_60m_updated::e_histolytica	EUPATH_0015351	NA	:::UNDEF:::	
tac::e_histolytica	EUPATH_0015351	NA	:::UNDEF:::	
tac_60m_updated::e_intestinalis	EUPATH_0015352	NA	:::UNDEF:::	
tac::e_intestinalis	EUPATH_0015352	NA	:::UNDEF:::	
tac_60m_updated::epec_bfpa	EUPATH_0015353	NA	:::UNDEF:::	
tac::epec_bfpa	EUPATH_0015353	NA	:::UNDEF:::	
tac_60m_updated::etec_lt	EUPATH_0015355	NA	:::UNDEF:::	
tac::etec_lt	EUPATH_0015355	NA	:::UNDEF:::	
tac_60m_updated::etec_sth	EUPATH_0015356	NA	:::UNDEF:::	
tac::etec_sth	EUPATH_0015356	NA	:::UNDEF:::	
tac_60m_updated::etec_stp	EUPATH_0015357	NA	:::UNDEF:::	
tac::etec_stp	EUPATH_0015357	NA	:::UNDEF:::	
tac_60m_updated::giardia_a	EUPATH_0015358	NA	:::UNDEF:::	
tac::giardia_a	EUPATH_0015358	NA	:::UNDEF:::	
tac_60m_updated::giardia_b	EUPATH_0015359	NA	:::UNDEF:::	
tac::giardia_b	EUPATH_0015359	NA	:::UNDEF:::	
tac_60m_updated::giardia	EUPATH_0015360	NA	:::UNDEF:::	
tac::giardia	EUPATH_0015360	NA	:::UNDEF:::	
tac_60m_updated::h_pylori	EUPATH_0015361	NA	:::UNDEF:::	
tac::h_pylori	EUPATH_0015361	NA	:::UNDEF:::	
tac_60m_updated::isospora	EUPATH_0015362	NA	:::UNDEF:::	
tac::isospora	EUPATH_0015362	NA	:::UNDEF:::	
tac_60m_updated::necator	EUPATH_0015363	NA	:::UNDEF:::	
tac::necator	EUPATH_0015363	NA	:::UNDEF:::	
tac_60m_updated::norovirus_gi	EUPATH_0015364	NA	:::UNDEF:::	
tac::norovirus_gi	EUPATH_0015364	NA	:::UNDEF:::	
tac_60m_updated::norovirus_gii	EUPATH_0015365	NA	:::UNDEF:::	
tac::norovirus_gii	EUPATH_0015365	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_old	EUPATH_0015366	NA	:::UNDEF:::	
tac::rotavirus_postrv	EUPATH_0015366	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g12	EUPATH_0015368	NA	:::UNDEF:::	
tac::rotavirus_g12	EUPATH_0015368	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g1	EUPATH_0015369	NA	:::UNDEF:::	
tac::rotavirus_g1	EUPATH_0015369	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g2	EUPATH_0015370	NA	:::UNDEF:::	
tac::rotavirus_g2	EUPATH_0015370	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g3	EUPATH_0015371	NA	:::UNDEF:::	
tac::rotavirus_g3	EUPATH_0015371	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g4	EUPATH_0015372	NA	:::UNDEF:::	
tac::rotavirus_g4	EUPATH_0015372	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g8	EUPATH_0015373	NA	:::UNDEF:::	
tac::rotavirus_g8	EUPATH_0015373	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_g9	EUPATH_0015374	NA	:::UNDEF:::	
tac::rotavirus_g9	EUPATH_0015374	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_p4	EUPATH_0015377	NA	:::UNDEF:::	
tac::rotavirus_p4	EUPATH_0015377	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_p6	EUPATH_0015378	NA	:::UNDEF:::	
tac::rotavirus_p6	EUPATH_0015378	NA	:::UNDEF:::	
tac_60m_updated::rotavirus_p8	EUPATH_0015379	NA	:::UNDEF:::	
tac::rotavirus_p8	EUPATH_0015379	NA	:::UNDEF:::	
tac_60m_updated::salmonella	EUPATH_0015381	NA	:::UNDEF:::	
tac::salmonella	EUPATH_0015381	NA	:::UNDEF:::	
tac_60m_updated::sapovirus	EUPATH_0015382	NA	:::UNDEF:::	
tac::sapovirus	EUPATH_0015382	NA	:::UNDEF:::	
tac_60m_updated::shigella_eiec	EUPATH_0015383	NA	:::UNDEF:::	
tac::shigella_eiec	EUPATH_0015383	NA	:::UNDEF:::	
tac_60m_updated::stec_stx1	EUPATH_0015384	NA	:::UNDEF:::	
tac::stec_stx1	EUPATH_0015384	NA	:::UNDEF:::	
tac_60m_updated::stec_stx2	EUPATH_0015385	NA	:::UNDEF:::	
tac::stec_stx2	EUPATH_0015385	NA	:::UNDEF:::	
tac_60m_updated::strongyloides	EUPATH_0015386	NA	:::UNDEF:::	
