overallOrder,variable,dataFile,keepDiscard,IRI,label,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag
1011,anof17bdml_univ_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #17: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof17bdml_univ_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1012,anof17bdml_hum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #17: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof17bdml_hum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1013,anof17bdml_nhum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #17: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof17bdml_nhum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1014,anof17bdml_pcr2_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #17: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof17bdml_pcr2_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1015,anof17bdml_pf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #17: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof17bdml_pf_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1016,anof18morph_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof18morph_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1017,anof18morphsp1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #18: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof18morphsp1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1018,anof18gono_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof18gono_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1019,anof18tubes_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #18: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof18tubes_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1020,anof18hthid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof18hthid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1021,anof18abid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof18abid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1022,anof18legid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof18legid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1023,anof18tubessp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #18: If no, provide explanation",NA,,,,NA,anof18tubessp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1024,anof18dnaext_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #18: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof18dnaext_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1025,anof18dnaextsp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #18: If DNA not extracted, specify why not",NA,,,,NA,anof18dnaextsp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1026,anof18pcrspec_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof18pcrspec_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1027,anof18bdml_pcr1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof18bdml_pcr1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1028,anof18bdml_univ_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof18bdml_univ_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1029,anof18bdml_hum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof18bdml_hum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1030,anof18bdml_nhum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #18: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof18bdml_nhum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1031,anof18bdml_pcr2_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof18bdml_pcr2_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1032,anof18bdml_pf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #18: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof18bdml_pf_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1033,anof19morph_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof19morph_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1034,anof19morphsp1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #19: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof19morphsp1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1035,anof19gono_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof19gono_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1036,anof19tubes_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #19: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof19tubes_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1037,anof19hthid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof19hthid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1038,anof19abid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof19abid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1039,anof19legid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof19legid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1040,anof19tubessp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #19: If no, provide explanation",NA,,,,NA,anof19tubessp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1041,anof19dnaext_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #19: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof19dnaext_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1042,anof19dnaextsp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #19: If DNA not extracted, specify why not",NA,,,,NA,anof19dnaextsp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1043,anof19pcrspec_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof19pcrspec_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1044,anof19bdml_pcr1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof19bdml_pcr1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1045,anof19bdml_univ_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof19bdml_univ_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1046,anof19bdml_hum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof19bdml_hum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1047,anof19bdml_nhum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #19: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof19bdml_nhum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1048,anof19bdml_pcr2_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof19bdml_pcr2_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1049,anof19bdml_pf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #19: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof19bdml_pf_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1050,anof20morph_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof20morph_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1051,anof20morphsp1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #20: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof20morphsp1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1052,anof20gono_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof20gono_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1053,anof20tubes_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #20: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof20tubes_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1054,anof20hthid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof20hthid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1055,anof20abid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof20abid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1056,anof20legid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof20legid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1057,anof20tubessp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #20: If no, provide explanation",NA,,,,NA,anof20tubessp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1058,anof20dnaext_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #20: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof20dnaext_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1059,anof20dnaextsp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #20: If DNA not extracted, specify why not",NA,,,,NA,anof20dnaextsp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1060,anof20pcrspec_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof20pcrspec_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1061,anof20bdml_pcr1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof20bdml_pcr1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1062,anof20bdml_univ_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof20bdml_univ_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1063,anof20bdml_hum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof20bdml_hum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1064,anof20bdml_nhum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #20: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof20bdml_nhum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1065,anof20bdml_pcr2_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof20bdml_pcr2_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1066,anof20bdml_pf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #20: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof20bdml_pf_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1067,anof21morph_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof21morph_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1068,anof21morphsp1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #21: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof21morphsp1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1069,anof21gono_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof21gono_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1070,anof21tubes_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #21: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof21tubes_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1071,anof21hthid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof21hthid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1072,anof21abid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof21abid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1073,anof21legid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof21legid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1074,anof21tubessp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #21: If no, provide explanation",NA,,,,NA,anof21tubessp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1075,anof21dnaext_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #21: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof21dnaext_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1076,anof21dnaextsp_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #21: If DNA not extracted, specify why not",NA,,,,NA,anof21dnaextsp_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1077,anof21pcrspec_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof21pcrspec_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1078,anof21bdml_pcr1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof21bdml_pcr1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1079,anof21bdml_univ_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof21bdml_univ_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1080,anof21bdml_hum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof21bdml_hum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1081,anof21bdml_nhum_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #21: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof21bdml_nhum_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1082,anof21bdml_pcr2_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof21bdml_pcr2_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1083,anof21bdml_pf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #21: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof21bdml_pf_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1084,anof22morph_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #22: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof22morph_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1085,anof22morphsp1_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #22: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof22morphsp1_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1086,anof22gono_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #22: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof22gono_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1087,anof22tubes_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #22: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof22tubes_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1088,anof22hthid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #22: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof22hthid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1089,anof22abid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof22abid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1090,anof22legid_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #22: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof22legid_cup,chr,NA,NA,NA,n/a,n/a,,0,1,no data
