variable	IRI	values	mappedTerms
f7_seek_ctr2_code	EUPATH_0010163	655	FWC/Sub-Center of Mirzapur
f7_seek_ctr2_code	EUPATH_0010163	656	FWC/Sub-Center of Kaliakoir
f7_seek_ctr2_code	EUPATH_0010163	657	Upazila Health complex Kaliakoir 
f7_seek_ctr2_code	EUPATH_0010163	658	Kaloikoir General Hospital
f7_seek_ctr2_code	EUPATH_0010163	659	Grameen Kallan
f7_seek_ctr2_code	EUPATH_0010163	660	Chandra Janasheva Clinic
f7_seek_ctr2_code	EUPATH_0010163	661	Safipur General Hospital
f7_seek_ctr2_code	EUPATH_0010163	662	Rina Diagnostic Center
f7_seek_ctr2_code	EUPATH_0010163	663	Rabia Clinic
f7_seek_ctr2_code	EUPATH_0010163	664	Al-madina Clinic
f7_seek_ctr2_code	EUPATH_0010163	665	Al-mohana Clinic
f7_seek_ctr2_code	EUPATH_0010163	666	Abe-hayet Clinic
f7_seek_ctr2_code	EUPATH_0010163	701	Rehri Goth AKU PHC Center
f7_seek_ctr2_code	EUPATH_0010163	702	Ibrahim Hyderi AKU PHC Center
f7_seek_ctr2_code	EUPATH_0010163	703	Ali Akbar Shah Goth AKU PHC Center
f7_seek_ctr2_code	EUPATH_0010163	705	National Institute of Child Health Hospital (NICH)
f7_seek_ctr2_code	EUPATH_0010163	706	Ma Aisha Charity Health Unit (MCH)
f7_seek_ctr2_code	EUPATH_0010163	707	Bhains Colony Health Unit (BHCH)
f7_seek_ctr2_code	EUPATH_0010163	731	Sindh Government Hospital
f7_seek_ctr2_code	EUPATH_0010163	704	Satari Hospital
f7_seek_ctr2_code	EUPATH_0010163	801	Amana
f7_seek_ctr2_code	EUPATH_0010163	802	Mwananyamala
f7_seek_ctr2_code	EUPATH_0010163	831	Buguruni Health Centre
f7_seek_ctr2_code	EUPATH_0010163	832	Plan Health Centre
f7_seek_ctr2_code	EUPATH_0010163	833	Mnazi Mmoja Health Centre
f7_seek_ctr2_code	EUPATH_0010163	834	Dr. Koya Dispensary
f7_seek_ctr2_code	EUPATH_0010163	835	Kigogo Dispensary
f7_seek_ctr2_code	EUPATH_0010163	836	Mico Dispensary
f7_seek_ctr2_code	EUPATH_0010163	837	Tabatamandela Dispensary
f7_seek_ctr2_code	EUPATH_0010163	838	Madona Dispensary
f7_seek_ctr2_code	EUPATH_0010163	839	Vingunguti Dispensary
f7_seek_ctr2_code	EUPATH_0010163	840	Kiwalani Dispensary
f7_seek_ctr2_code	EUPATH_0010163	841	Rugambwa Health Centre
f7_seek_ctr2_code	EUPATH_0010163	842	F.F.U. Dispensary
f7_seek_ctr2_code	EUPATH_0010163	843	Jeshini Dispensary
f7_seek_ctr2_code	EUPATH_0010163	844	Azania Dispensary
f7_seek_ctr2_code	EUPATH_0010163	845	Dr. Massawe's Dispensary
f7_seek_ctr2_code	EUPATH_0010163	846	Lugalo Hospital (Hospitali ya Jeshi)
f7_seek_ctr2_code	EUPATH_0010163	847	Magomeni Health Centre
f7_seek_ctr2_code	EUPATH_0010163	848	Marie Stopes Hospital
f7_seek_ctr2_code	EUPATH_0010163	849	Massana Dispensary
f7_seek_ctr2_code	EUPATH_0010163	850	Massana Health Centre
f7_seek_ctr2_code	EUPATH_0010163	851	Mikocheni Mission Hospital (H. Kairuki Memorial Hospital)
f7_seek_ctr2_code	EUPATH_0010163	852	Mikumi Dispensary
f7_seek_ctr2_code	EUPATH_0010163	853	Mwenge Dispensary
f7_seek_ctr2_code	EUPATH_0010163	854	Sinza Health Centre (Palestina)
f7_seek_ctr2_code	EUPATH_0010163	855	Tandale Dispensary
f7_seek_ctr2_code	EUPATH_0010163	856	TMJ Hospital
f7_seek_ctr2_shc	EUPATH_0010165	0	Not sentinel health center
f7_seek_ctr2_shc	EUPATH_0010165	1	Sentinel health center
f7_seek_ctr2_shc	EUPATH_0010165	NA	NA
f7_seek_ctr3_code	EUPATH_0010169	NA	NA
f7_seek_ctr3_code	EUPATH_0010169	303	Health Post of Ilha Josina
f7_seek_ctr3_code	EUPATH_0010169	333	Health Post Malavela
f7_seek_ctr3_code	EUPATH_0010169	236	Centre de Sante SADIA pvt HC in Banconi
f7_seek_ctr3_code	EUPATH_0010169	402	Bondo District Hospital
f7_seek_ctr3_shc	EUPATH_0010171	0	Not sentinel health center
f7_seek_ctr3_shc	EUPATH_0010171	1	Sentinel health center
f7_seek_ctr3_shc	EUPATH_0010171	NA	NA
f7_seekcare	EUPATH_0015092	0	No
f7_seekcare	EUPATH_0015092	1	Yes
f7_seekcare	EUPATH_0015092	2	Never had diarrhea
f7_skin_flaky	EUPATH_0015120	0	Absent
f7_skin_flaky	EUPATH_0015120	1	Present
f7_skin_flaky	EUPATH_0015120	NA	NA
f7_time_water	EUPATH_0000726	0	NA
f7_time_water	EUPATH_0000726	1	Less than 15 minutes
f7_time_water	EUPATH_0000726	2	15 to 29 minutes
f7_time_water	EUPATH_0000726	3	30 to 59 minutes
f7_time_water	EUPATH_0000726	4	1 to 3 hours
f7_time_water	EUPATH_0000726	5	More than 3 hours
f7_time_water	EUPATH_0000726	NA	NA
f7_trt_method	EUPATH_0000700	0	Unknown
f7_trt_method	EUPATH_0000700	3	"Chlorine liquid, powder, or tablets"
f7_trt_method	EUPATH_0000700	1	Leave water in sun to disinfect
f7_trt_method	EUPATH_0000700	2	Filter through a cloth
f7_trt_method	EUPATH_0000700	4	Boil
f7_trt_method	EUPATH_0000700	5	Ceramic or other filter
f7_trt_method	EUPATH_0000700	6	Alum
f7_trt_method	EUPATH_0000700	7	Other chemical or additive
f7_trt_method	EUPATH_0000700	NA	NA
f7_under_nutr	EUPATH_0015119	0	Absent
f7_under_nutr	EUPATH_0015119	1	Present
f7_under_nutr	EUPATH_0015119	NA	NA
f7_wash_use	EUPATH_0000681	1	Water only
f7_wash_use	EUPATH_0000681	2	Water and soap
f7_wash_use	EUPATH_0000681	3	Water and ashes
f7_wash_use	EUPATH_0000681	4	Water and mud or clay
f7_wash_use	EUPATH_0000681	NA	NA
f7_water_avail	EUPATH_0000730	1	All the time
f7_water_avail	EUPATH_0000730	2	Several hours every day
f7_water_avail	EUPATH_0000730	3	A few times per week
f7_water_avail	EUPATH_0000730	4	Less frequent than a few times per week
f7_water_avail	EUPATH_0000730	NA	NA
lab_pair	EUPATH_0010055	0	Not complete
lab_pair	EUPATH_0010055	1	Good case-control pair
p_all	EUPATH_0010052	0	Missing forms or pages
p_all	EUPATH_0010052	1	All forms complete
p_labfrm	EUPATH_0010053	0	Missing forms or pages
p_labfrm	EUPATH_0010053	1	All forms complete
site	OBI_0001627	1	The Gambia
site	OBI_0001627	2	Mali
site	OBI_0001627	3	Mozambique
site	OBI_0001627	4	Kenya
site	OBI_0001627	5	India
site	OBI_0001627	6	Bangladesh
site	OBI_0001627	7	Pakistan
study center	EUPATH_0010047	106	Koina Health Center
study center	EUPATH_0010047	101	Basse Health Center 
study center	EUPATH_0010047	102	Gambisara Dispensary 
study center	EUPATH_0010047	103	Fatoto Health Center 
study center	EUPATH_0010047	104	Garawol Hospital
study center	EUPATH_0010047	105	Demba Kunda health center
study center	EUPATH_0010047	131	Bansang Hospital
study center	EUPATH_0010047	201	CSREF Commune I
study center	EUPATH_0010047	202	ASACOBA
study center	EUPATH_0010047	235	ASACODIAN: a CSCOM Public HC in Banconi 
study center	EUPATH_0010047	236	Centre de Sante SADIA pvt HC in Banconi
study center	EUPATH_0010047	239	Centre de Sante Cherifla
study center	EUPATH_0010047	203	CSREF Commune IV
study center	EUPATH_0010047	204	ASACODJIP 
study center	EUPATH_0010047	205	ASACODJENEKA 
study center	EUPATH_0010047	206	Hopital Gabriel Toure - National Children Hospital
study center	EUPATH_0010047	232	Military Health Center: Infirmerie du camp para
study center	EUPATH_0010047	234	Iranian Health Center: Centre Iranien
study center	EUPATH_0010047	231	CVD – Mali /CNAM
study center	EUPATH_0010047	233	The Clinic Lac Tele
study center	EUPATH_0010047	237	"Cabinet TERIYA, pvt HC in Banconi"
study center	EUPATH_0010047	238	"PMI Missira, public HC in Commune I"
study center	EUPATH_0010047	301	Health Center of Manhica 
study center	EUPATH_0010047	302	Health Post of Maragra 
study center	EUPATH_0010047	303	Health Post of Ilha Josina   
study center	EUPATH_0010047	304	Health Post of Taninga 
study center	EUPATH_0010047	334	Health Post  Nwamatibyana
study center	EUPATH_0010047	333	Health Post Malavela
study center	EUPATH_0010047	331	Health Post  Maluana
study center	EUPATH_0010047	332	Health Post  Munguine
study center	EUPATH_0010047	335	Health Post  Mirona
study center	EUPATH_0010047	336	Health Post  3 de Fevereiro
study center	EUPATH_0010047	337	Health Post Calanga
study center	EUPATH_0010047	338	Rural Hospital Xinavane
study center	EUPATH_0010047	339	Maputo Central Hospital
study center	EUPATH_0010047	402	Bondo District Hospital
study center	EUPATH_0010047	404	Abidha 
study center	EUPATH_0010047	405	Akala
study center	EUPATH_0010047	407	Lwak
study center	EUPATH_0010047	408	Njejra
study center	EUPATH_0010047	409	Ong'ielo
study center	EUPATH_0010047	410	Nyawara 
study center	EUPATH_0010047	411	Rera
study center	EUPATH_0010047	438	Sarididi
study center	EUPATH_0010047	439	Uriri
study center	EUPATH_0010047	446	Sirembe
study center	EUPATH_0010047	401	Siaya District Hospital
study center	EUPATH_0010047	403	Yala Sub-District Hospital 
study center	EUPATH_0010047	406	Aluor
study center	EUPATH_0010047	431	Provincial Hospital
study center	EUPATH_0010047	432	Mahaya
study center	EUPATH_0010047	433	Ndori
study center	EUPATH_0010047	434	Nyagoko
study center	EUPATH_0010047	435	Ramula
study center	EUPATH_0010047	436	Rarieda
study center	EUPATH_0010047	437	Cliff
study center	EUPATH_0010047	440	Wagai
study center	EUPATH_0010047	441	Gobei
study center	EUPATH_0010047	442	Masala
study center	EUPATH_0010047	443	Komolo
study center	EUPATH_0010047	444	Matangwe
study center	EUPATH_0010047	445	Kisumu District Hospital
study center	EUPATH_0010047	501	Infectious Diseases Hospital   
study center	EUPATH_0010047	502	B.C. Roy Children Hospital 
study center	EUPATH_0010047	503	B.C. Roy Children Hospital 
study center	EUPATH_0010047	503	Ward 58 Health Outpost
study center	EUPATH_0010047	504	Ward 59 Health Outpost
study center	EUPATH_0010047	531	"123, Bidhan Nagar Road, Kol-67, K.M.C."
study center	EUPATH_0010047	532	"160, Beliaghata Main Road, Kol-10,K.M.C."
study center	EUPATH_0010047	533	"Health Center: 8, G.K. Road, Kol-46, K.M.C."
study center	EUPATH_0010047	534	"Health Center: Dhapa Kachari Para, K.M.C."
study center	EUPATH_0010047	535	"Metropolitan Health Center Govt. of W.B.  15, Gobinda Khatick Road, Kol-46"
study center	EUPATH_0010047	536	"P-65 Dr. Sundari Mohan Avenue Kol-14, H.C., K.M.C."
study center	EUPATH_0010047	537	"24, Gora Chand Road Kol-14, C.N.M.C."
study center	EUPATH_0010047	538	"36, Topsia Road (South), Kol-46 H.C., K.M.C."
study center	EUPATH_0010047	601	Kumudini Hospital and Medical College
study center	EUPATH_0010047	631	"Upazila (Sub-district) Health Complex, Mirzapur"
study center	EUPATH_0010047	632	FWC/Sub-Center of Gorai
study center	EUPATH_0010047	633	FWC/Sub-Center of Ajgana
study center	EUPATH_0010047	634	FWC/Sub-Center of Bahuria
study center	EUPATH_0010047	635	FWC/Sub-Center of Jamurki
study center	EUPATH_0010047	636	FWC/Sub-Center of Bhatgram
study center	EUPATH_0010047	637	FWC/Sub-Center of Uarsi
study center	EUPATH_0010047	638	FWC/Sub-Center of Banail 
study center	EUPATH_0010047	639	Dehura Sub-Center in Gorai
study center	EUPATH_0010047	640	Mirzapur General Hospital and Diagnostic Center
study center	EUPATH_0010047	641	Jamuna General Hospital and Diagnostic Center
study center	EUPATH_0010047	642	Chandramallika Hospital
study center	EUPATH_0010047	643	Doctors Clinic
study center	EUPATH_0010047	644	Mirzapur Clinic
study center	EUPATH_0010047	645	Saleha Pathological Center and Diagnostic Clinic
study center	EUPATH_0010047	646	Arif X-ray Clinic
study center	EUPATH_0010047	647	Medico Diagnostic Clinic
study center	EUPATH_0010047	648	Asia Clinic
study center	EUPATH_0010047	649	"Upazila (Sub-district) Health Complex, Dhamrai"
study center	EUPATH_0010047	650	FWC/Sub-Center of Anaitara
study center	EUPATH_0010047	651	FWC/Sub-Center of Mahera
study center	EUPATH_0010047	652	FWC/Sub-Center of Fatehpur
study center	EUPATH_0010047	653	FWC/Sub-Center of Tarappur
study center	EUPATH_0010047	654	FWC/Sub-Center of Bastail
study center	EUPATH_0010047	655	FWC/Sub-Center of Mirzapur
study center	EUPATH_0010047	656	FWC/Sub-Center of Kaliakoir
study center	EUPATH_0010047	657	Upazila Health complex Kaliakoir 
study center	EUPATH_0010047	658	Kaloikoir General Hospital
study center	EUPATH_0010047	659	Grameen Kallan
study center	EUPATH_0010047	660	Chandra Janasheva Clinic
study center	EUPATH_0010047	661	Safipur General Hospital
study center	EUPATH_0010047	662	Rina Diagnostic Center
study center	EUPATH_0010047	663	Rabia Clinic
study center	EUPATH_0010047	664	Al-madina Clinic
study center	EUPATH_0010047	665	Al-mohana Clinic
study center	EUPATH_0010047	666	Abe-hayet Clinic
study center	EUPATH_0010047	701	Rehri Goth AKU PHC Center
study center	EUPATH_0010047	702	Ibrahim Hyderi AKU PHC Center
study center	EUPATH_0010047	703	Ali Akbar Shah Goth AKU PHC Center
study center	EUPATH_0010047	705	National Institute of Child Health Hospital (NICH)
study center	EUPATH_0010047	706	Ma Aisha Charity Health Unit (MCH)
study center	EUPATH_0010047	707	Bhains Colony Health Unit (BHCH)
study center	EUPATH_0010047	731	Sindh Government Hospital
study center	EUPATH_0010047	704	Satari Hospital
study center	EUPATH_0010047	801	Amana
study center	EUPATH_0010047	802	Mwananyamala
study center	EUPATH_0010047	831	Buguruni Health Centre
study center	EUPATH_0010047	832	Plan Health Centre
study center	EUPATH_0010047	833	Mnazi Mmoja Health Centre
study center	EUPATH_0010047	834	Dr. Koya Dispensary
study center	EUPATH_0010047	835	Kigogo Dispensary
study center	EUPATH_0010047	836	Mico Dispensary
study center	EUPATH_0010047	837	Tabatamandela Dispensary
study center	EUPATH_0010047	838	Madona Dispensary
study center	EUPATH_0010047	839	Vingunguti Dispensary
study center	EUPATH_0010047	840	Kiwalani Dispensary
study center	EUPATH_0010047	841	Rugambwa Health Centre
study center	EUPATH_0010047	842	F.F.U. Dispensary
study center	EUPATH_0010047	843	Jeshini Dispensary
study center	EUPATH_0010047	844	Azania Dispensary
study center	EUPATH_0010047	845	Dr. Massawe's Dispensary
study center	EUPATH_0010047	846	Lugalo Hospital (Hospitali ya Jeshi)
study center	EUPATH_0010047	847	Magomeni Health Centre
study center	EUPATH_0010047	848	Marie Stopes Hospital
study center	EUPATH_0010047	849	Massana Dispensary
study center	EUPATH_0010047	850	Massana Health Centre
study center	EUPATH_0010047	851	Mikocheni Mission Hospital (H. Kairuki Memorial Hospital)
study center	EUPATH_0010047	852	Mikumi Dispensary
study center	EUPATH_0010047	853	Mwenge Dispensary
study center	EUPATH_0010047	854	Sinza Health Centre (Palestina)
study center	EUPATH_0010047	855	Tandale Dispensary
study center	EUPATH_0010047	856	TMJ Hospital
study_year	EUPATH_0015720	1	1
study_year	EUPATH_0015720	2	2
study_year	EUPATH_0015720	3	3
type	EUPATH_0010375	case	Case
type	EUPATH_0010375	control	Control
