"colOrder","variable","dataFile","label","IRI","definition","displayOrder","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt","notesForProvider","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
266,"included.or.excluded_pfpm2 copy number=1","wwarn_act_wide","pfpm2 copy number=1 mixed infections",,,44,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
267,"included.or.excluded_pfpm2 copy number >1","wwarn_act_wide","pfpm2 copy number>1 mixed infections",,,45,"Sample summary","Inclusion of mixed infections","http://purl.obolibrary.org/obo/EUPATH_0065005",,,"value",,,,,,,"WWARN_ACT",,,,,,,,,
231,"percentage_pfcrt 343i","wwarn_act_wide","Proportion pfcrt 343I",,"Prevalence of pfcrt 343I",1,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
232,"percentage_pfcrt 353v","wwarn_act_wide","Proportion pfcrt 353V",,"Prevalence of pfcrt 353V",2,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
203,"percentage_pfcrt 76k/t","wwarn_act_wide","Proportion pfcrt 76K/T",,"Prevalence of pfcrt 76K/T",3,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
199,"percentage_pfcrt 76t","wwarn_act_wide","Proportion pfcrt 76T",,"Prevalence of pfcrt 76T",4,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
228,"percentage_pfcrt 93s","wwarn_act_wide","Proportion pfcrt 93S",,"Prevalence of pfcrt 93S",5,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
229,"percentage_pfcrt 97y","wwarn_act_wide","Proportion pfcrt 97Y",,"Prevalence of pfcrt 97Y",6,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
226,"percentage_pfcrt cidt","wwarn_act_wide","Proportion pfcrt CIDT",,"Prevalence of pfcrt CIDT",7,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
234,"percentage_pfcrt ciek","wwarn_act_wide","Proportion pfcrt CIEK",,"Prevalence of pfcrt CIEK",8,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
213,"percentage_pfcrt ciet","wwarn_act_wide","Proportion pfcrt CIET",,"Prevalence of pfcrt CIET",9,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
216,"percentage_pfcrt cint","wwarn_act_wide","Proportion pfcrt CINT",,"Prevalence of pfcrt CINT",10,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
215,"percentage_pfcrt cmdt","wwarn_act_wide","Proportion pfcrt CMDT",,"Prevalence of pfcrt CMDT",11,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
219,"percentage_pfcrt cmet","wwarn_act_wide","Proportion pfcrt CMET",,"Prevalence of pfcrt CMET",12,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
212,"percentage_pfcrt cmnk","wwarn_act_wide","Proportion pfcrt CMNK",,"Prevalence of pfcrt CMNK",13,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
214,"percentage_pfcrt cmnt","wwarn_act_wide","Proportion pfcrt CMNT",,"Prevalence of pfcrt CMNT",14,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
230,"percentage_pfcrt f145i","wwarn_act_wide","Proportion pfcrt F145I",,"Prevalence of pfcrt F145I",15,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
238,"percentage_pfcrt i218f","wwarn_act_wide","Proportion pfcrt I218F",,"Prevalence of pfcrt I218F",16,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
211,"percentage_pfcrt k76","wwarn_act_wide","Proportion pfcrt K76",,"Prevalence of pfcrt K76",17,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
233,"percentage_pfcrt smet","wwarn_act_wide","Proportion pfcrt SMET",,"Prevalence of pfcrt SMET",18,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
196,"percentage_pfcrt smnt","wwarn_act_wide","Proportion pfcrt SMNT",,"Prevalence of pfcrt SMNT",19,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
225,"percentage_pfmdr1 copy number = 4","wwarn_act_wide","Proportion pfmdr1 copy number =4",,"Prevalence of pfmdr1 copy number=4",20,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
223,"percentage_pfmdr1 copy number = 4 or higher","wwarn_act_wide","Proportion pfmdr1 copy number >=4",,"Prevalence of pfmdr1 copy number >=4",21,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
227,"percentage_pfmdr1 copy number = 5 or higher","wwarn_act_wide","Proportion pfmdr1 copy number >=5",,"Prevalence of pfmdr1 copy number >=5",22,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
201,"percentage_pfmdr1 copy number >1","wwarn_act_wide","Proportion pfmdr1 copy number >1",,"Prevalence of pfmdr1 copy number >1",23,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
220,"percentage_pfmdr1 copy number = 2","wwarn_act_wide","Proportion pfmdr1 copy number =2",,"Prevalence of pfmdr1 copy number=2",24,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
224,"percentage_pfmdr1 copy number = 3","wwarn_act_wide","Proportion pfmdr1 copy number =3",,"Prevalence of pfmdr1 copy number=3",25,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
237,"percentage_pfmdr1 1034s/c","wwarn_act_wide","Proportion pfmdr1 1034S/C",,"Prevalence of pfmdr1 1034S/C",26,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
217,"percentage_pfmdr1 1246d/y","wwarn_act_wide","Proportion pfmdr1 1246D/Y",,"Prevalence of pfmdr1 1246D/Y",27,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
200,"percentage_pfmdr1 1246y","wwarn_act_wide","Proportion pfmdr1 1246Y",,"Prevalence of pfmdr1 1246Y",28,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
198,"percentage_pfmdr1 184f","wwarn_act_wide","Proportion pfmdr1 184F",,"Prevalence of pfmdr1 184F",29,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
207,"percentage_pfmdr1 184y/f","wwarn_act_wide","Proportion pfmdr1 184Y/F",,"Prevalence of pfmdr1 184Y/F",30,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
205,"percentage_pfmdr1 86n/y","wwarn_act_wide","Proportion pfmdr1 86N/Y",,"Prevalence of pfmdr1 86N/Y",31,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
197,"percentage_pfmdr1 86y","wwarn_act_wide","Proportion pfmdr1 86Y",,"Prevalence of pfmdr1 86Y",32,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
210,"percentage_pfmdr1 d1246","wwarn_act_wide","Proportion pfmdr1 D1246",,"Prevalence of pfmdr1 D1246",33,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
209,"percentage_pfmdr1 n1042","wwarn_act_wide","Proportion pfmdr1 N1042",,"Prevalence of pfmdr1 N1042",34,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
204,"percentage_pfmdr1 n86","wwarn_act_wide","Proportion pfmdr1 N86",,"Prevalence of pfmdr1 N86",35,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
239,"percentage_pfmdr1 nfcdd","wwarn_act_wide","Proportion pfmdr1 NFCDD",,"Prevalence of pfmdr1 NFCDD",36,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
240,"percentage_pfmdr1 nfcnd","wwarn_act_wide","Proportion pfmdr1 NFCND",,"Prevalence of pfmdr1 NFCND",37,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
236,"percentage_pfmdr1 nfd","wwarn_act_wide","Proportion pfmdr1 NFD",,"Prevalence of pfmdr1 NFD",38,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
202,"percentage_pfmdr1 nfsnd","wwarn_act_wide","Proportion pfmdr1 NFSND",,"Prevalence of pfmdr1 NFSND",39,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
208,"percentage_pfmdr1 s1034","wwarn_act_wide","Proportion pfmdr1 S1034",,"Prevalence of pfmdr1 S1034",40,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
206,"percentage_pfmdr1 y184","wwarn_act_wide","Proportion pfmdr1 Y184",,"Prevalence of pfmdr1 Y184",41,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
218,"percentage_pfmdr1 yysny","wwarn_act_wide","Proportion pfmdr1 YYSNY",,"Prevalence of pfmdr1 YYSNY",42,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
235,"percentage_pfmdr1 yyy","wwarn_act_wide","Proportion pfmdr1 YYY",,"Prevalence of pfmdr1 YYY",43,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
222,"percentage_pfpm2 copy number >1","wwarn_act_wide","Proportion pfpm2 copy number  >1",,"Prevalence of pfpm2 copy number >1",44,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
221,"percentage_pfpm2 copy number=1","wwarn_act_wide","Proportion pfpm2 copy number =1",,"Prevalence of pfpm2 copy number=1",45,"Sample summary","Proportion of isolates with drug resistance marker","http://purl.obolibrary.org/obo/EUPATH_0065001",,,"variable",,,,,,,"WWARN_ACT",,,,,,0,100,5,
51,"tested_pfcrt 343i","wwarn_act_wide","Total isolates tested for pfcrt 343I",,"number of samples tested for pfcrt 343I",1,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
52,"tested_pfcrt 353v","wwarn_act_wide","Total isolates tested for pfcrt 353V",,"number of samples tested for pfcrt 353V",2,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
23,"tested_pfcrt 76k/t","wwarn_act_wide","Total isolates tested for pfcrt 76K/T",,"number of samples tested for pfcrt 76K/T",3,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
19,"tested_pfcrt 76t","wwarn_act_wide","Total isolates tested for pfcrt 76T",,"number of samples tested for pfcrt 76T",4,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
48,"tested_pfcrt 93s","wwarn_act_wide","Total isolates tested for pfcrt 93S",,"number of samples tested for pfcrt 93S",5,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
49,"tested_pfcrt 97y","wwarn_act_wide","Total isolates tested for pfcrt 97Y",,"number of samples tested for pfcrt 97Y",6,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
46,"tested_pfcrt cidt","wwarn_act_wide","Total isolates tested for pfcrt CIDT",,"number of samples tested for pfcrt CIDT",7,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
54,"tested_pfcrt ciek","wwarn_act_wide","Total isolates tested for pfcrt CIEK",,"number of samples tested for pfcrt CIEK",8,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
33,"tested_pfcrt ciet","wwarn_act_wide","Total isolates tested for pfcrt CIET",,"number of samples tested for pfcrt CIET",9,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
36,"tested_pfcrt cint","wwarn_act_wide","Total isolates tested for pfcrt CINT",,"number of samples tested for pfcrt CINT",10,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
35,"tested_pfcrt cmdt","wwarn_act_wide","Total isolates tested for pfcrt CMDT",,"number of samples tested for pfcrt CMDT",11,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
39,"tested_pfcrt cmet","wwarn_act_wide","Total isolates tested for pfcrt CMET",,"number of samples tested for pfcrt CMET",12,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
32,"tested_pfcrt cmnk","wwarn_act_wide","Total isolates tested for pfcrt CMNK",,"number of samples tested for pfcrt CMNK",13,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
34,"tested_pfcrt cmnt","wwarn_act_wide","Total isolates tested for pfcrt CMNT",,"number of samples tested for pfcrt CMNT",14,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
50,"tested_pfcrt f145i","wwarn_act_wide","Total isolates tested for pfcrt F145I",,"number of samples tested for pfcrt F145I",15,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
58,"tested_pfcrt i218f","wwarn_act_wide","Total isolates tested for pfcrt I218F",,"number of samples tested for pfcrt I218F",16,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
31,"tested_pfcrt k76","wwarn_act_wide","Total isolates tested for pfcrt K76",,"number of samples tested for pfcrt K76",17,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
53,"tested_pfcrt smet","wwarn_act_wide","Total isolates tested for pfcrt SMET",,"number of samples tested for pfcrt SMET",18,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
16,"tested_pfcrt smnt","wwarn_act_wide","Total isolates tested for pfcrt SMNT",,"number of samples tested for pfcrt SMNT",19,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
45,"tested_pfmdr1 copy number = 4","wwarn_act_wide","Total isolates tested for pfmdr1 copy number =4",,"number of samples tested for pfmdr1 copy number=4",20,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
43,"tested_pfmdr1 copy number = 4 or higher","wwarn_act_wide","Total isolates tested for pfmdr1 copy number >=4",,"number of samples tested for pfmdr1 copy number >=4",21,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
47,"tested_pfmdr1 copy number = 5 or higher","wwarn_act_wide","Total isolates tested for pfmdr1 copy number >=5",,"number of samples tested for pfmdr1 copy number >=5",22,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
21,"tested_pfmdr1 copy number >1","wwarn_act_wide","Total isolates tested for pfmdr1 copy number >1",,"number of samples tested for pfmdr1 copy number >1",23,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
40,"tested_pfmdr1 copy number = 2","wwarn_act_wide","Total isolates tested for pfmdr1 copy number =2",,"number of samples tested for pfmdr1 copy number=2",24,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
44,"tested_pfmdr1 copy number = 3","wwarn_act_wide","Total isolates tested for pfmdr1 copy number =3",,"number of samples tested for pfmdr1 copy number=3",25,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
57,"tested_pfmdr1 1034s/c","wwarn_act_wide","Total isolates tested for pfmdr1 1034S/C",,"number of samples tested for pfmdr1 1034S/C",26,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
37,"tested_pfmdr1 1246d/y","wwarn_act_wide","Total isolates tested for pfmdr1 1246D/Y",,"number of samples tested for pfmdr1 1246D/Y",27,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
20,"tested_pfmdr1 1246y","wwarn_act_wide","Total isolates tested for pfmdr1 1246Y",,"number of samples tested for pfmdr1 1246Y",28,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
18,"tested_pfmdr1 184f","wwarn_act_wide","Total isolates tested for pfmdr1 184F",,"number of samples tested for pfmdr1 184F",29,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
27,"tested_pfmdr1 184y/f","wwarn_act_wide","Total isolates tested for pfmdr1 184Y/F",,"number of samples tested for pfmdr1 184Y/F",30,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
25,"tested_pfmdr1 86n/y","wwarn_act_wide","Total isolates tested for pfmdr1 86N/Y",,"number of samples tested for pfmdr1 86N/Y",31,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
17,"tested_pfmdr1 86y","wwarn_act_wide","Total isolates tested for pfmdr1 86Y",,"number of samples tested for pfmdr1 86Y",32,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
30,"tested_pfmdr1 d1246","wwarn_act_wide","Total isolates tested for pfmdr1 D1246",,"number of samples tested for pfmdr1 D1246",33,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
29,"tested_pfmdr1 n1042","wwarn_act_wide","Total isolates tested for pfmdr1 N1042",,"number of samples tested for pfmdr1 N1042",34,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
24,"tested_pfmdr1 n86","wwarn_act_wide","Total isolates tested for pfmdr1 N86",,"number of samples tested for pfmdr1 N86",35,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
59,"tested_pfmdr1 nfcdd","wwarn_act_wide","Total isolates tested for pfmdr1 NFCDD",,"number of samples tested for pfmdr1 NFCDD",36,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
60,"tested_pfmdr1 nfcnd","wwarn_act_wide","Total isolates tested for pfmdr1 NFCND",,"number of samples tested for pfmdr1 NFCND",37,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
56,"tested_pfmdr1 nfd","wwarn_act_wide","Total isolates tested for pfmdr1 NFD",,"number of samples tested for pfmdr1 NFD",38,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
22,"tested_pfmdr1 nfsnd","wwarn_act_wide","Total isolates tested for pfmdr1 NFSND",,"number of samples tested for pfmdr1 NFSND",39,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
28,"tested_pfmdr1 s1034","wwarn_act_wide","Total isolates tested for pfmdr1 S1034",,"number of samples tested for pfmdr1 S1034",40,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
26,"tested_pfmdr1 y184","wwarn_act_wide","Total isolates tested for pfmdr1 Y184",,"number of samples tested for pfmdr1 Y184",41,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
38,"tested_pfmdr1 yysny","wwarn_act_wide","Total isolates tested for pfmdr1 YYSNY",,"number of samples tested for pfmdr1 YYSNY",42,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
55,"tested_pfmdr1 yyy","wwarn_act_wide","Total isolates tested for pfmdr1 YYY",,"number of samples tested for pfmdr1 YYY",43,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
42,"tested_pfpm2 copy number >1","wwarn_act_wide","Total isolates tested for pfpm2 copy number >1",,"number of samples tested for pfpm2 copy number >1",44,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
41,"tested_pfpm2 copy number=1","wwarn_act_wide","Total isolates tested for pfpm2 copy number =1",,"number of samples tested for pfpm2 copy number=1",45,"Sample summary","Total isolates tested","http://purl.obolibrary.org/obo/EUPATH_0065002",,,"variable",,,,,,,"WWARN_ACT",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"geohash1",,"geohash1","http://purl.obolibrary.org/obo/EUPATH_0043203",,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,,,,,,,,,,,,,,,,,
,"geohash2",,"geohash2","http://purl.obolibrary.org/obo/EUPATH_0043204",,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,,,,,,,,,,,,,,,,,
,"geohash3",,"geohash3","http://purl.obolibrary.org/obo/EUPATH_0043205",,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,,,,,,,,,,,,,,,,,
,"geohash4",,"geohash4","http://purl.obolibrary.org/obo/EUPATH_0043206",,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,,,,,,,,,,,,,,,,,
,"geohash5",,"geohash5","http://purl.obolibrary.org/obo/EUPATH_0043207",,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,,,,,,,,,,,,,,,,,
,"geohash6",,"geohash6","http://purl.obolibrary.org/obo/EUPATH_0043208",,,,"Geolocation","http://purl.obolibrary.org/obo/EUPATH_0043212",,,,,,,,,,,,,,,,,,,
