variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1_huas label
hometrt_milk,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,169,NA,NA,,,38. Home treatment/Milk or formula
hometrt_none,gems1_huas_data.sas7bdat,,,num,"E38.8: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? No special remedies given. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,172,NA,NA,,,38. Home treatment/No remedies given
hometrt_ors,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,167,NA,NA,,,38. Home treatment/ORS
hometrt_othr1,gems1_huas_data.sas7bdat,,,num,"E38.5: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #1. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,177,NA,NA,,,38. Home treatment/Other 1
hometrt_othr2,gems1_huas_data.sas7bdat,,,num,"E38.7: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Other home remedy #2. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,179,NA,NA,,,38. Home treatment/Other 2
hometrt_othrliq,gems1_huas_data.sas7bdat,,,num,"E38.3: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Any other liquids. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,173,NA,NA,,,38. Home treatment/Other liquids
hometrt_zinc,gems1_huas_data.sas7bdat,,,num,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Zinc (tablet/syrup). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,171,NA,NA,,,38. Home treatment/Zinc
hospab_spec,gems1_huas_data.sas7bdat,Discard,,chr,E41.2: Health care utilization. Specify antibiotics (if hosptrt_ab=1). Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,,,,,,194,NA,NA,,,41. Specify antibiotics treatment
hospcare,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,409,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
hospctr1,gems1_huas_data.sas7bdat,,,num,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,,,,,,142,NA,NA,,,31. 1st choice center code
hospctr2,gems1_huas_data.sas7bdat,,,num,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,,,,,,144,NA,NA,,,31. 2nd choice center code
hospctr3,gems1_huas_data.sas7bdat,,,num,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,,,,,,146,NA,NA,,,31. 3rd choice center code
hospothr_spec,gems1_huas_data.sas7bdat,Discard,,chr,E41.4: Health care utilization. Specify other treatment (if hosptrt_othr=1). Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,,,,,,196,NA,NA,,,41. Specify other treatment
hosptrt_ab,gems1_huas_data.sas7bdat,,,num,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,193,NA,NA,,,41. Hospital treatment/Antibiotics
hosptrt_dk,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,191,NA,NA,,,41. Hospital treatment/Don't know
hosptrt_intfld,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,188,NA,NA,,,41. Hospital treatment/IV fluids
hosptrt_medinj,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,189,NA,NA,,,41. Hospital treatment/Med injection
hosptrt_ors,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,190,NA,NA,,,41. Hospital treatment/ORS
hosptrt_othr,gems1_huas_data.sas7bdat,,,num,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,195,NA,NA,,,41. Hospital treatment/Other
hosptrt_zinc,gems1_huas_data.sas7bdat,,,num,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,"0=No, 1=Yes, NA=NA",,,,,192,NA,NA,,,41. Hospital treatment/Zinc
house_bike,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,51,NA,NA,,,17. Household has bike
house_boat,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,55,NA,NA,,,17. Household has boat
house_car,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,52,NA,NA,,,17. Household has car
house_elec,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  Electricity. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,47,NA,NA,,,17. Household has electricity
house_fridge,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,54,NA,NA,,,17. Household has fridge
house_none,gems1_huas_data.sas7bdat,,,num,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,56,NA,NA,,,17. Household has none of the above
house_phone,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,53,NA,NA,,,17. Household has phone
house_radio,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,50,NA,NA,,,17. Household has a radio
house_scoot,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,49,NA,NA,,,17. Household has a scooter
house_tele,gems1_huas_data.sas7bdat,,,num,B17: Household information. Multifilter: Does your house have:  A television. Must be functioning. Select all that apply.,"0=No, 1=Yes",,,,,48,NA,NA,,,17. Household has television
hsize,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,419,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
i,gems1_huas_data.sas7bdat,Discard,,num,,"21, 7",,,,,373,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
id_child,gems1_huas_data.sas7bdat,Discard,,num,"A02: Eligibility information. Have you been able to identify the child. If ""no"" or ""died"", stop here","1=No, 2=Yes, 3=Died",,,,,12,NA,NA,,,2. Identify the child
int_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.3: Eligibility information. Interviewer name (staff code).,,,,,,23,15,16,,,Interviewer's staff code
int_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.4: Eligibility information. Interviewer name 2 (staff code).,,,,,,354,73,5,,,Interviewer's staff code
interview,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A07.2: Eligibility information. Interview status (Conducted if status=1 & id_child=2 & consent=1 & agecat=1,2,3).","1=Conducted, 10=Child >59 months, 11=Interview date missing, 12=Birthdate missing or invalid, 2=Not identified, 3=Child died, 4=Refused consent, 5=Not available after 3 attempts, 6=Not conducted - other, 7=Consent question not answered, 8=ID child question not answered, 9=Interview status question nt answered, 0=NOT IN CODEBOOK",,,,,365,12,13,variables 'interview' & 'reason' should map to the same display label & IRI,,
iv_hosp,gems1_huas_data.sas7bdat,,,num,E34.1: Health care utilization. IV & hospital admission. Only complete for children who had diarrhea in the last 2 weeks,"1=IV only, 2=Hospital admission only, 3=IV & hospital admission, 4=Neither, 5=Unknown",,,,,377,NA,NA,,,
lbpar,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,417,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
licprac,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,407,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
licprov,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,411,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
lose_earn,gems1_huas_data.sas7bdat,,,num,"F44: Health care expenses. Did you lose some earnings due to seeking or providing care during your child's illness. Only complete part F if the answer to E29 is ""yes"". Use local currency","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,267,NA,NA,,response value 0 not in codebook,44. Loss of earning for seeking care
lose_total,gems1_huas_data.sas7bdat,,,num,"F44: Health care expenses. If yes, how much? (if lose_earn=2). Only complete part F if the answer to E29 is ""yes"". Use local currency",,,,,,268,NA,NA,,,44. Loss of earning seeking care/Total
lowcost,gems1_huas_data.sas7bdat,,,num,"H63: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the lowest costs. Select only 1","1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,,,,349,NA,NA,,,63. Pay for medical care/lowest cost
lst_dangr,gems1_huas_data.sas7bdat,,,num,H61 : Attitudes about diarrheal illness. Which of the following is the least dangerous for a child. Select only 1,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,,,,344,NA,NA,,,61. Least dangerous for a child
max_stools,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=3-6 times per dy, 2=7-10 times per day, 3=More than 10 times per day, 4=Don't know, NA=NA",,,,,100,20,19,,response value 0 not in codebook,26. Max number of loose stools per day
mght1_op,gems1_huas_data.sas7bdat,,,num,G52.1: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #1. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",,,,,310,NA,NA,,response value 0 not in codebook,52. Opinion of care/Center 1
mght2_op,gems1_huas_data.sas7bdat,,,num,G52.3: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #2. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",,,,,312,NA,NA,,response value 0 not in codebook,52. Opinion of care/Center 2
mght3_op,gems1_huas_data.sas7bdat,,,num,G52.4: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #3. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",,,,,314,NA,NA,,response value 0 not in codebook,52. Opinion of care/Center 3
mghtrec1,gems1_huas_data.sas7bdat,,,num,G52: Health care attitudes. Sentinel health center code #1 (for mght1_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,,,,,,309,NA,NA,,,52. Health center 1 code
mghtrec2,gems1_huas_data.sas7bdat,,,num,G52.2: Health care attitudes. Sentinel health center code #2 (for mght2_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,,,,,,311,NA,NA,,,52. Health center 2 code
mghtrec3,gems1_huas_data.sas7bdat,,,num,G52.4: Health care attitudes. Sentinel health center code #3 (for mght3_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,,,,,,313,NA,NA,,,52. Health center 3 code
mod_severe,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",,,num,D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks,"1=Moderate to severe diarrhea, 2=Had diarrhea, not moderate to severe, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,375,NA,75,,,
mom_live,gems1_huas_data.sas7bdat,,,num,B09: Household information. Where does the child's mother live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,,,,35,NA,NA,,,9. Where does mother live
mony_asset,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Selling assets. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,262,NA,NA,,,43. Selling assets
mony_borrow,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Borrowing. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,261,NA,NA,,,43. Borrowing
mony_donat,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Asking for donations outside of the household. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,263,NA,NA,,,43. Asking for donations outside house
mony_meal,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down expenses from meals. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,258,NA,NA,,,43. Cutting down expenses from meal
mony_othexp,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Cutting down other expenses. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,259,NA,NA,,,43. Cutting down from other expenses
mony_othr,gems1_huas_data.sas7bdat,,,num,"F43.1: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Other, specify. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,265,NA,NA,,,43. Other money
mony_relative,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Relative or friend paid on your behalf. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,264,NA,NA,,,43. Relative or friend pays on behalf
mony_spec,gems1_huas_data.sas7bdat,Discard,,chr,"F43.2: Health care expenses. Specify (if mony_othr=1). Only complete part F if the answer to E29 is ""yes"".",,,,,,266,NA,NA,,,43. Specify other money
mony_svngs,gems1_huas_data.sas7bdat,,,num,"F43: Health care expenses. Multifilter: Where did the money forhealth care expenses come from? Using savings. Only complete part F if the answer to E29 is ""yes"". Mark all that apply","0=No, 1=Yes, NA=NA",,,,,260,NA,NA,,,43. Using savings
mst_dangr,gems1_huas_data.sas7bdat,,,num,H60: Attitudes about diarrheal illness. Whh of the following is the most dangerous for a child. Select only 1,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,,,,343,NA,NA,,,60. Most dangerous for a child
newseekcare,gems1_huas_lite_data_kenya.sas7bdat,Discard,,num,,"1, 2",,,,,NA,NA,76,,variable not in HUAS codebook (CRF01 HUAS),
nocare,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,413,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
nohosp,gems1_huas_data.sas7bdat,,,num,E37: Health care utilization. What was the single most important reason that the child not taken to the hospital. Skip if E36=no. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Could not take time off from work, 5=Local situation (weather, natural, or political reasons), 6=Cost for treatment too high, 7=Other children at home could not be left alone, 8=Did not think child was sick enough, 9=Not happy with care provided at the hospital, NA=NA",,,,,165,NA,NA,,response value 0 not in codebook,37. Why was child not taken to hospital
nohosp_spec,gems1_huas_data.sas7bdat,Discard,,chr,E37.1: Health care utilization. Specify (if nohosp=10). Skip if E36=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,166,NA,NA,,,37. Child not taken to hospital/Specify
noseek_noneed,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Child did not seem to need care. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,120,35,34,,,30. Reason: Child didn't need care
noseek_nothappy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Not happy with clinical services in the area. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,128,42,41,,,30. Reason: Not happy w/clinical service
noseek_othr,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,num,"E30.1: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other, specify. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,129,44,43,variables 'noseek_othr' & 'noseek_other' should map to the same display label & IRI,,30. Reason: Other
noseek_othrchld,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other children at home could not be left alone. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,127,40,39,,,30. Reason: Other children at home
noseek_politic,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,124,46,45,"combine 'noseek_politic' & 'noseek_weather' where 'noseek_weather'==1: if noseek_weather==1, noseek_politic==1; if noseek_weather==0, do not change noseek_politic",,30. Reason: Local situation
noseek_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,"E30.02: Health care utilization. Specify (noseek_other=1). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks",,,,,,130,45,44,,,30. Specify other reason
noseek_toofar,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Clinic too far from home. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,121,37,36,,,30. Reason: Clinic too far from home
noseek_trnsprt,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Unable to find transport. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,122,39,38,,,30. Reason: Unable to find transport
noseek_trtmtcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for treatment too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,126,38,37,,,30. Reason: Cost for treatment too high
noseek_trvlcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for travel too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,125,36,35,,,30. Reason: Cost for travel too high
noseek_weather,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,NA,43,42,"combine 'noseek_weather' into 'noseek_politic' (see notes in 'noseek_politic'), then drop 'noseek_weather",,
noseek_work,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Could not take time off from work. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",,,,,123,41,40,,,30. Reason: Couldn't take time off work
notagree,gems1_huas_data.sas7bdat,,,num,"G50: Health care attitudes. If you would not agree with the doctor/nurse to take your child for care at the nearest sentinel center, why. Skip if G49=""yes"". Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Not happy with care provided at the hospital, 11=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Cannot take time off from work, 5=Most diarrheas are not serious enough, 6=Local situation (weather, natural, or political reasons), 7=Cost for treatment too high, 8=Other children at home could not be left alone, 9=Not confident about the care from the center, NA=NA",,,,,294,NA,NA,,response value 0 not in codebook,50. If no why
notagree_spec,gems1_huas_data.sas7bdat,Discard,,chr,"G50.1: Health care attitudes. Specify (if notagree=11). Skip if G49=""yes"". Section G: skip for children who had diarrhea in the last 2 weeks. There are a maimum of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility coding list. Use 010=licenced or private practitiner; 020=pharmacy; 030=friend/relative; 040=traditional healer; 050=unlicenced practitioner/village doctor/bush doctor; 060=buy medication at shop/market; 090=other facilities not coded.",,,,,,295,NA,NA,,,50. If no specify other reason
offr_drink,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK",,,,,184,71,70,variables 'offr_drink' & 'offer_drink' should map to the same display label & IRI,response values 0 & 4 not in codebook. Categories may be different in lite/kenya as compared to huas.,39. Offered to drink during illness
offr_eat,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.,"0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK, 5=NOT IN CODEBOOK",,,,,186,72,71,variables 'offr_eat' & 'offer_eat' should map to the same display label & IRI,"response values 0, 4, & 5 not in codebook. Categories may be different in lite/kenya as compared to huas.",40. Offered to eat during illness
ors_work,gems1_huas_data.sas7bdat,,,num,"H59: Attitudes about diarrheal illness. In your opinion, does ORS work well to treat diarrhea.","1=No, 2=Yes, 3=Don't know, NA=NA",,,,,342,NA,NA,,,59. Does ORS work to treat diarrhea
other_consult,gems1_huas_data.sas7bdat,,,num,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,249,NA,NA,,,42i. Expenses: Other/Consultation
other_diag,gems1_huas_data.sas7bdat,,,num,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,251,NA,NA,,,42i. Expenses: Other/Diagnostics
other_drug,gems1_huas_data.sas7bdat,,,num,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,250,NA,NA,,,42i. Expenses: Other/Drugs
other_othr,gems1_huas_data.sas7bdat,,,num,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,253,NA,NA,,,42i. Expenses: Other/Other
