colOrder,variable,IRI,label,definition,parentIRI,parentLabel,category,dataset,codebookDescription,notesForOnt,values,multifilter,duplicated,notesForDL,,
268,chld_mc_why_no_bednet___4,,There are not enough bed nets for everyone,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___4,,,
269,chld_mc_why_no_bednet___5,,It does not protect against mosquitoes,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___5,,,
270,chld_mc_why_no_bednet___6,,No mosquitoes around,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___6,,,
271,chld_mc_why_no_bednet___8,,It is too expensive,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___8,,,
272,chld_mc_why_no_bednet___9,,It is not the rainy or malaria season,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___9,,,
273,chld_mc_why_no_bednet___10,,Cannot hang it over my sleeping place,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___10,,,
274,chld_mc_why_no_bednet___11,,Sleep outside,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___11,,,
275,chld_mc_why_no_bednet___12,,Change my sleeping place too often,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___12,,,
276,chld_mc_why_no_bednet___13,,Net is itchy,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___13,,,
277,chld_mc_why_no_bednet___14,,Don't know,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___14,,,
278,chld_mc_why_no_bednet___15,,Other,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___15,,,
279,chld_mc_time_own_bednet,,Time owned personal bednet,"If participant uses a bednet, length of time they've owned it",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_time_own_bednet,,,
280,chld_mc_last_treat_bednet,,Last personal bednet treatment,"If participant uses a bednet, last time it was treated with insecticide",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_last_treat_bednet,,,
281,chld_mc_wash_bednet,,Number of times bednet washed ,"If participant uses a bednet, number of times it has been washed",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_wash_bednet,,,
282,chld_mc_wash_bednet_dk,,Number of times bednet washed ,"If participant uses a bednet, number of times it has been washed",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_wash_bednet_dk,,,
283,chld_mc_bednet_over_bed,,Bednet over bed,"If participant uses a bednet, does it hang over a bed",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,binary,,mc_bednet_over_bed,,,
284,chld_mc_bednet_brand,,Bednet brand,"If participant uses a bednet, the bednet brand",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_bednet_brand,,,
285,chld_mc_bednet_cond,,Bednet condition,"If participant uses a bednet, the bednet condition as assessed by the interviewer",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_bednet_cond,,,
286,chld_mc_net_holes_2cm,,Bednet holes <2 cm count,Number of holes in bednet smaller than a thumb (0.5 to 2.0 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_net_holes_2cm,,,
287,chld_mc_net_holes_10cm,,Bednet holes <10 cm count,Number of holes in bednet larger than a thumb but smaller than a fist (2 to 10 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_net_holes_10cm,,,
288,chld_mc_net_holes_25cm,,Bednet holes <25 cm count,Number of holes in bednet larger than a fist but smaller than a head (10 to 25 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_net_holes_25cm,,,
289,chld_mc_net_holes_gt25cm,,Bednet holes >25 cm count,Number of holes in bednet larger than a head (> 25 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_net_holes_gt25cm,,,
290,chld_mc_bednet_repairs,,Bednet repaired,"If participant uses a bednet, have any repairs been made to the net",EUPATH_0021097,Personal vector intervention,Observation,Household member,,,binary,,mc_bednet_repairs,,,
291,chld_mc_house_spray,,Indoor residual spraying (IRS),Inside of participant's house has been sprayed with insecticide for mosquitoes before. Excludes use of DOOM to collect mosquitos in this study,EUPATH_0021097,Personal vector intervention,Observation,Household member,,Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,,,mc_house_spray,,,
292,chld_mc_house_spray_time,EUPATH_0000390,Last fumigation date,"If home has been sprayed, last time it was done",EUPATH_0021097,Personal vector intervention,Observation,Household member,,Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,,,mc_house_spray_time,,,
293,chld_mv_did_sleep_away,,Slept elsewhere in last 4 weeks,Slept overnight in a location away from home in the past 4 weeks,EUPATH_0000340,Travel details,Observation,Household member,,,binary,,mv_did_sleep_away,,,
294,chld_mv_number_trips,,Trips in last 4 weeks (count),"If slept elsewhere in last 4 weeks, number of times traveled in last 4 weeks",EUPATH_0000340,Travel details,Observation,Household member,,,,,mv_number_trips,,,
295,chld_mv_number_nights,,Nights slept elsewhere (count),"If slept elsewhere in last 4 weeks, number of nights away on most recent trip",EUPATH_0000340,Travel details,Observation,Household member,,,,,mv_number_nights,,,
296,chld_mv_sleep_home_type___1,,Family or friends,,,Overnight lodgings ,Observation,Household member,,,binary,value,mv_sleep_home_type___1,,,
297,chld_mv_sleep_home_type___2,,"Rest house, guest house, lodge or motel",,,Overnight lodgings ,Observation,Household member,,,binary,value,mv_sleep_home_type___2,,,
298,chld_mv_sleep_home_type___3,,School,,,Overnight lodgings ,Observation,Household member,,,binary,value,mv_sleep_home_type___3,,,
299,chld_mv_sleep_home_type___4,,Church,,,Overnight lodgings ,Observation,Household member,,,binary,value,mv_sleep_home_type___4,,,
300,chld_mv_sleep_home_type___5,,Outdoors,,,Overnight lodgings ,Observation,Household member,,,binary,value,mv_sleep_home_type___5,,,
301,chld_mv_sleep_home_type___6,,Other: specify,,,Overnight lodgings ,Observation,Household member,,,binary,value,mv_sleep_home_type___6,,,
302,chld_mv_mal_diag_return,,Malaria diagnosed after traveling,,,,Observation,Household member,,,binary,value,mv_mal_diag_return,,,
303,chld_mv_mal_diag_after_days,,Time to diagnosis (days),,,,Observation,Household member,,,,,mv_mal_diag_after_days,,,
304,chld_mv_mal_diag_aft_v_0,,Time to diagnosis (days),,,,Observation,Household member,,,,,mv_mal_diag_after_days_dk___1,,,
305,chld_cough_fast,,Fast breathing and cough,"If the participant had a cough within the past 2 weeks, did they breathe faster than usual with short, fast breaths. Asked only of participants <16 years old",,,Observation,Household member,"Q17. When your child had a cough, did your child breathe faster than usual with short, fast breaths?",,"0 - no, 1 - yes, 2 - Don't know",,,,,
306,chld_cough_nose,,Cause of cough,"If the participant had a cough within the past 2 weeks, what caused it. Asked only of participants <16 years old",,,Observation,Household member,Q18. Was the difficult breathing due to a problem in the chest or to a blocked or runny nose?,,"1. Problem in the chest
2. Blocked nose
3. Both
4. Other
5. Do not know",,,,,
307,chld_cough_treat,,Seek cough care,"If the participant had a cough in the past 2 weeks, did they seek advice or treatment from outside the home. Asked only of participants <16 years old",,,Observation,Household member,Q19. Did you seek advice or treatment for the cough?,,"0 - no, 1 - yes, 2 - Don't know",,,,,
308,chld_cough_treat_where,,Cough care source,"If the participant sought advice or treatment for cough, where they sought treatment. Asked only of participants <16 years old",,,Observation,Household member,Q20. Where did you seek advice or treatment?,,"1. Health post 2. Health center 3. Hospital 4. Traditional healer 5. Had it in the home 6. Relative or friend 7. Local chemist, shop or market 8. Do not know 9. Other ",,,,,
309,chld_dia_start,,Time since diarrhea onset,,,,Observation,Household member,,,,,dia_start,,,
310,chld_dia_stop,,Diarrhea stopped,,,,Observation,Household member,,, ,,dia_stop,,,
311,chld_dia_stop_days,,Time since diarrhea stopped,,,,Observation,Household member,,,,,dia_stop_days,,,
312,chld_dia_stop_days_dk,,Time since diarrhea stopped,,,,Observation,Household member,,,2 = Do not know,,dia_stop_days_dk,,,
313,chld_dia_blood,,Blood in stool,,,,Observation,Household member,,,,,dia_blood,,,
314,chld_dia_fever,,Fever and diarrhea,,,,Observation,Household member,,,,,dia_fever,,,
315,chld_dia_vomit,,Vomiting and diarrhea,,,,Observation,Household member,,,,,dia_vomit,,,
316,chld_dia_thirsty,,Thirsty,"If the participant had diarrhea within the past 2 weeks, were they very thirsty. Asked only of participants <16 years old",,,Observation,Household member,Q26. Was the child very thirsty?,,"0 - no, 1 - yes, 2 - Don't know",,,,,
317,chld_dia_lethargic,,Lethargic,"If the participant had diarrhea within the past 2 weeks, were they lethargic or irritable. Asked only of participants <16 years old",,,Observation,Household member,Q27. Was the child lethargic or irritable?,,"0 - no, 1 - yes, 2 - Don't know",,,,,
318,chld_dia_sunken,,Sunken eyes,"If the participant had diarrhea within the past 2 weeks, did they have sunken eyes. Asked only of participants <16 years old",,,Observation,Household member,Q28. Did your child have sunken eyes?,,"0 - no, 1 - yes, 2 - Don't know",,,,,
319,chld_dia_dehyd,,Dehydrated,"If the participant had diarrhea within the past 2 weeks, were they dehydrated. Asked only of participants <16 years old",,,Observation,Household member,Q29. Did your child have dehydration?,,"0 - no, 1 - yes, 2 - Don't know",,,,,
320,chld_dia_loose_num,,Max loose stools per day,,,,Observation,Household member,,,,,dia_loose_num,,,
321,chld_dia_loose_num_dk,,Max loose stools per day,,,,Observation,Household member,,,,,dia_loose_num_dk,,,
322,chld_dia_drink,,Fluid intake,"If the participant had diarrhea within the past 2 weeks, how much did they drink. Asked only of participants <16 years old",,,Observation,Household member,Q31. How much did the child drink during this illness?,,"1. None
2. Less than normal
3. Same as normal
4. More than normal
5. Do not know",,,,,
323,chld_dia_food,,Food intake,"If the participant had diarrhea within the past 2 weeks, how much did the participant eat. Asked only of participants <16 years old",,,Observation,Household member,Q32. Did you offer the child food and did the child eat during this illness?,,"1. Did not offer and did not eat
2. Ate less than normal
3. Ate the same as normal
4. Ate more than normal
5. Do not know",,,,,
324,chld_dia_seek,,Seek diarrhea care,,,,Observation,Household member,,,,,dia_seek,,,
325,chld_dia_seek_whom,,Diarrhea care source,,,,Observation,Household member,,,,,dia_seek_whom,,,
326,chld_rdt_results,,"Plasmodium parasites present, by RDT",,NCBITaxon_5820,Plasmodium,Sample,Household member,,,,,rdt_results,,,
327,chld_hemo_results,EUPATH_0000047,Hemoglobin (g/dL),,EUPATH_0011795,Blood test,Sample,Household member,,,,,hemo_results,,,
328,chld_temp_results,EUPATH_0000110,Temperature (C),,OGMS_0000083,Physical examination,Observation,Household member,,,,,temp_results,,,
329,chld_weight_results,EUPATH_0000732,Weight (kg),,EUPATH_0000649,Anthropometry ,Observation,Household member,,,,,weight_results,,,
330,chld_rdt_treat_child,EUPATH_0000740,Malaria treatment,,OGMS_0000090,Treatment,Observation,Household member,,,"1	Treated with Coartem
2	Refused Treatment",,"rdt_treat_male, rdt_treat_preg, and chld_rdt_treat_not_preg",,,
331,thk_par_pres_ex1,,"Plasmodium present, by thick smear microscopy",Malaria parasites present on thick blood smear,NCBITaxon_5820,Plasmodium,Sample,Household member,"Thick Film
Are malaria parasites present?",,binary,,thk_par_pres_ex,,,
332,asex_par_ex1,,"Asexual Plasmodium parasite density (per 500 WBC), by microscopy",Asexual parasites per 500 white blood cells,NCBITaxon_5820,Plasmodium,Sample,Household member,"Asexual parasites:
parasites/ 500 WBC",,,,asex_par_ex,,,
333,gametocyt_ex1,,"Plasmodium gametocyte density (per 500 WBC), by microscopy",Gametocytes per 500 white blood cells,NCBITaxon_5820,Plasmodium,Sample,Household member,"Gametocytes:
gametocytes/ 500 WBC",,,,gametocyt_ex,,,
334,num_wbc_ex1,,"White blood cell count, by microscopy",Number of white blood cells counted,EUPATH_0011795,Blood test,Sample,Household member,Number of WBC counted,,,,num_wbc_ex,,,
335,thn_par_pres_ex1,,"Plasmodium present, by thin smear microscopy",Malaria parasites present on thin blood smear,NCBITaxon_5820,Plasmodium,Sample,Household member,Thin Film: Are malaria parasites present?,,binary,,thn_par_pres_ex,,,
336,thn_species_ex1,EUPATH_0023033,"Plasmodium species, by thin smear microscopy ","Parasite species, microscopy - thin smear",NCBITaxon_5820,Plasmodium,Sample,Household member,Species:,,"1	P. falciparum
2	P. malariae
3	P. ovale
4	P. vivax",,thn_species_ex,,,
337,thk_par_pres_ex2,,"Plasmodium present, by thick smear microscopy",Malaria parasites present on thick blood smear,NCBITaxon_5820,Plasmodium,Sample,Household member,"Thick Film
Are malaria parasites present?",,binary,,,,,
338,asex_par_ex2,,"Asexual Plasmodium parasite density (per 500 WBC), by microscopy",Asexual parasites per 500 white blood cells,NCBITaxon_5820,Plasmodium,Sample,Household member,"Asexual parasites:
parasites/ 500 WBC",,,,,,,
339,gametocyt_ex2,,"Plasmodium gametocyte density (per 500 WBC), by microscopy",Gametocytes per 500 white blood cells,NCBITaxon_5820,Plasmodium,Sample,Household member,"Gametocytes:
gametocytes/ 500 WBC",,,,,,,
340,num_wbc_ex2,,"White blood cell count, by microscopy",Number of white blood cells counted,EUPATH_0011795,Blood test,Sample,Household member,Number of WBC counted,,,,,,,
341,thn_par_pres_ex2,,"Plasmodium present, by thin smear microscopy",Malaria parasites present on thin blood smear,NCBITaxon_5820,Plasmodium,Sample,Household member,Thin Film: Are malaria parasites present?,,binary,,,,,
342,thn_species_ex2,EUPATH_0023033,"Plasmodium species, by thin smear microscopy ","Parasite species, microscopy - thin smear",NCBITaxon_5820,Plasmodium,Sample,Household member,Species:,,"1	P. falciparum
2	P. malariae
3	P. ovale
4	P. vivax",,,,,
343,thk_par_pres_ex3,,"Plasmodium present, by thick smear microscopy",Malaria parasites present on thick blood smear,NCBITaxon_5820,Plasmodium,Sample,Household member,"Thick Film
Are malaria parasites present?",,binary,,,,,
344,asex_par_ex3,,"Asexual Plasmodium parasite density (per 500 WBC), by microscopy",Asexual parasites per 500 white blood cells,NCBITaxon_5820,Plasmodium,Sample,Household member,"Asexual parasites:
parasites/ 500 WBC",,,,,,,
345,gametocyt_ex3,,"Plasmodium gametocyte density (per 500 WBC), by microscopy",Gametocytes per 500 white blood cells,NCBITaxon_5820,Plasmodium,Sample,Household member,"Gametocytes:
gametocytes/ 500 WBC",,,,,,,
346,num_wbc_ex3,,"White blood cell count, by microscopy",Number of white blood cells counted,EUPATH_0011795,Blood test,Sample,Household member,Number of WBC counted,,,,,,,
347,thn_par_pres_ex3,,"Plasmodium present, by thin smear microscopy",Malaria parasites present on thin blood smear,NCBITaxon_5820,Plasmodium,Sample,Household member,Thin Film: Are malaria parasites present?,,binary,,,,,
348,thn_species_ex3,EUPATH_0023033,"Plasmodium species, by thin smear microscopy ","Parasite species, microscopy - thin smear",NCBITaxon_5820,Plasmodium,Sample,Household member,Species:,,"1	P. falciparum
2	P. malariae
3	P. ovale
4	P. vivax",,,,,
